ID,Date,Element,Data_Value
RSM00034838,2009-12-31,TMAX,103
RSM00034838,2012-11-06,TMIN,76
RSM00034838,2008-02-21,TMIN,-35
RSM00034838,2011-05-27,TMAX,223
RSM00034838,2011-05-27,TMIN,116
RSM00034838,2009-07-27,TMAX,289
RSM00034838,2008-02-22,TMIN,0
RSM00034838,2007-01-23,TMIN,30
RSM00034838,2012-11-06,TMAX,236
RSM00034838,2011-08-18,TMIN,187
RSM00034838,2009-10-04,TMIN,129
RSM00034838,2014-07-21,TMIN,188
RSM00034838,2007-01-22,TMAX,89
RSM00034838,2008-05-05,TMAX,168
RSM00034838,2011-08-21,TMAX,289
RSM00034838,2009-12-31,TMIN,-6
RSM00034838,2009-09-26,TMIN,122
RSM00034838,2012-05-09,TMAX,302
RSM00034838,2014-08-31,TMIN,146
RSM00034838,2007-01-23,TMAX,87
RSM00034838,2007-08-23,TMAX,336
RSM00034838,2007-08-10,TMIN,178
RSM00034838,2006-07-04,TMAX,259
RSM00034838,2013-02-01,TMIN,-2
RSM00034838,2007-01-21,TMIN,0
RSM00034838,2006-07-04,TMIN,116
RSM00034838,2009-09-14,TMIN,172
RSM00034838,2012-11-28,TMAX,137
RSM00034838,2006-01-22,TMAX,-148
RSM00034838,2010-07-30,TMIN,235
RSM00034838,2011-08-21,TMIN,142
RSM00034838,2011-08-18,TMAX,272
RSM00034838,2014-08-10,TMIN,218
RSM00034838,2014-05-10,TMIN,145
RSM00034838,2008-05-05,TMIN,70
RSM00034838,2008-02-21,TMAX,50
RSM00034838,2010-08-05,TMIN,238
RSM00034838,2009-09-14,TMAX,233
RSM00034838,2011-08-08,TMIN,176
RSM00034838,2012-11-28,TMIN,44
RSM00034838,2010-01-05,TMAX,-40
RSM00034838,2015-12-15,TMAX,32
RSM00034838,2008-08-23,TMAX,359
RSM00034838,2008-02-22,TMAX,90
RSM00034838,2008-01-13,TMAX,42
RSM00034838,2011-05-04,TMIN,134
RSM00034838,2005-11-03,TMAX,93
RSM00034838,2010-09-04,TMAX,299
RSM00034838,2006-04-29,TMIN,42
RSM00034838,2012-01-22,TMAX,-5
RSM00034838,2006-08-23,TMAX,325
RSM00034838,2012-01-22,TMIN,-42
RSM00034838,2012-04-16,TMAX,242
RSM00034838,2012-05-05,TMAX,291
RSM00034838,2013-12-17,TMIN,-151
RSM00034838,2007-08-10,TMAX,276
RSM00034838,2012-05-13,TMAX,287
RSM00034838,2009-04-28,TMIN,94
RSM00034838,2015-02-09,TMIN,-34
RSM00034838,2009-09-15,TMAX,191
RSM00034838,2010-08-31,TMAX,344
RSM00034838,2011-10-21,TMIN,59
RSM00034838,2006-01-12,TMAX,16
RSM00034838,2008-01-06,TMAX,-82
RSM00034838,2008-08-02,TMAX,287
RSM00034838,2008-01-13,TMIN,-97
RSM00034838,2010-08-31,TMIN,204
RSM00034838,2008-08-23,TMIN,223
RSM00034838,2012-04-12,TMAX,122
RSM00034838,2009-04-28,TMAX,239
RSM00034838,2010-01-09,TMAX,84
RSM00034838,2006-02-16,TMAX,-65
RSM00034838,2011-05-04,TMAX,262
RSM00034838,2006-10-02,TMAX,218
RSM00034838,2013-02-04,TMAX,173
RSM00034838,2007-05-09,TMIN,146
RSM00034838,2011-08-08,TMAX,312
RSM00034838,2012-05-05,TMIN,135
RSM00034838,2006-10-01,TMAX,211
RSM00034838,2014-05-24,TMIN,150
RSM00034838,2008-08-02,TMIN,151
RSM00034838,2009-09-15,TMIN,165
RSM00034838,2009-10-04,TMAX,216
RSM00034838,2007-08-13,TMIN,208
RSM00034838,2010-01-05,TMIN,-99
RSM00034838,2014-09-20,TMIN,92
RSM00034838,2008-08-15,TMAX,368
RSM00034838,2011-06-28,TMIN,145
RSM00034838,2011-06-28,TMAX,247
RSM00034838,2011-10-21,TMAX,115
RSM00034838,2008-10-26,TMAX,142
RSM00034838,2013-08-09,TMIN,167
RSM00034838,2009-08-12,TMAX,240
RSM00034838,2009-08-12,TMIN,106
RSM00034838,2015-12-12,TMIN,-4
RSM00034838,2008-08-15,TMIN,250
RSM00034838,2015-01-27,TMIN,-11
RSM00034838,2008-05-28,TMAX,189
RSM00034838,2006-06-04,TMAX,353
RSM00034838,2006-10-02,TMIN,105
RSM00034838,2009-05-09,TMAX,134
RSM00034838,2015-02-09,TMAX,42
RSM00034838,2011-08-11,TMAX,336
RSM00034838,2012-04-16,TMIN,137
RSM00034838,2010-04-15,TMAX,165
RSM00034838,2009-03-08,TMAX,111
RSM00034838,2010-07-30,TMAX,367
RSM00034838,2009-11-15,TMIN,60
RSM00034838,2007-08-13,TMAX,339
RSM00034838,2006-04-29,TMAX,140
RSM00034838,2011-08-11,TMIN,191
RSM00034838,2010-04-13,TMAX,98
RSM00034838,2009-11-15,TMAX,85
RSM00034838,2009-05-09,TMIN,76
RSM00034838,2015-12-12,TMAX,55
RSM00034838,2006-06-04,TMIN,193
RSM00034838,2007-05-07,TMAX,205
RSM00034838,2006-10-01,TMIN,135
RSM00034838,2010-04-13,TMIN,63
RSM00034838,2010-04-15,TMIN,22
RSM00034838,2008-12-19,TMAX,7
RSM00034838,2006-05-01,TMAX,150
RSM00034838,2006-10-06,TMIN,116
RSM00034838,2012-08-03,TMAX,358
RSM00034838,2012-04-07,TMAX,217
RSM00034838,2008-04-14,TMAX,184
RSM00034838,2007-08-11,TMAX,323
RSM00034838,2007-05-12,TMAX,253
RSM00034838,2007-08-11,TMIN,180
RSM00034838,2007-06-22,TMIN,137
