ID,Date,Element,Data_Value
RSM00034072,2014-12-11,TMIN,-109
RSM00034072,2014-09-07,TMIN,91
RSM00034072,2015-04-29,TMAX,245
RSM00034072,2012-07-01,TMAX,246
RSM00034072,2014-03-29,TMIN,-72
RSM00034072,2012-07-01,TMIN,134
RSM00034072,2012-10-10,TMAX,106
RSM00034072,2012-06-09,TMIN,118
RSM00034072,2012-08-29,TMIN,154
RSM00034072,2015-11-02,TMAX,29
RSM00034072,2012-09-10,TMIN,64
RSM00034072,2015-11-02,TMIN,-6
RSM00034072,2013-08-29,TMIN,86
RSM00034072,2012-05-27,TMAX,234
RSM00034072,2012-08-18,TMAX,198
RSM00034072,2013-05-07,TMIN,70
RSM00034072,2013-04-09,TMIN,-3
RSM00034072,2015-10-27,TMAX,65
RSM00034072,2014-03-31,TMIN,-49
RSM00034072,2012-06-01,TMAX,211
RSM00034072,2012-10-10,TMIN,60
RSM00034072,2015-01-23,TMIN,-229
RSM00034072,2014-07-16,TMIN,148
RSM00034072,2012-06-09,TMAX,207
RSM00034072,2014-09-04,TMIN,99
RSM00034072,2014-04-12,TMIN,-30
RSM00034072,2014-01-08,TMIN,-32
RSM00034072,2015-02-11,TMAX,-96
RSM00034072,2012-09-19,TMIN,81
RSM00034072,2012-08-03,TMAX,318
RSM00034072,2014-07-30,TMIN,148
RSM00034072,2012-07-29,TMIN,111
RSM00034072,2013-11-27,TMIN,-8
RSM00034072,2012-04-09,TMIN,32
RSM00034072,2013-05-22,TMIN,62
RSM00034072,2013-08-23,TMIN,131
RSM00034072,2015-05-08,TMAX,169
RSM00034072,2012-10-17,TMAX,114
RSM00034072,2012-10-17,TMIN,83
RSM00034072,2014-03-23,TMIN,7
RSM00034072,2013-02-27,TMIN,-143
RSM00034072,2013-10-18,TMIN,46
RSM00034072,2014-08-21,TMIN,151
RSM00034072,2014-12-09,TMIN,-128
RSM00034072,2014-04-04,TMIN,-16
RSM00034072,2012-04-09,TMAX,132
RSM00034072,2015-03-10,TMAX,36
RSM00034072,2013-02-27,TMAX,-41
