ID,Date,Element,Data_Value
ROE00108900,2005-10-17,TMIN,24
ROE00108900,2006-07-01,TMIN,186
ROE00108900,2006-08-09,TMAX,276
ROE00108900,2006-06-07,TMIN,101
ROE00108900,2009-06-25,TMAX,285
ROE00108900,2005-05-28,TMAX,279
ROE00108900,2005-06-29,TMIN,161
ROE00108900,2006-06-07,TMAX,220
ROE00108900,2009-08-14,TMIN,155
ROE00108900,2005-01-07,TMIN,7
ROE00108900,2008-06-22,TMIN,178
ROE00108900,2009-05-25,TMAX,276
ROE00108900,2005-01-04,TMAX,56
ROE00108900,2006-03-06,TMIN,14
ROE00108900,2006-10-28,TMIN,43
ROE00108900,2005-09-12,TMAX,305
ROE00108900,2005-05-22,TMAX,235
ROE00108900,2008-08-10,TMAX,288
ROE00108900,2006-03-06,TMAX,79
ROE00108900,2006-04-28,TMAX,181
ROE00108900,2005-05-28,TMIN,145
ROE00108900,2008-02-19,TMIN,-59
ROE00108900,2006-11-11,TMIN,-2
ROE00108900,2006-08-09,TMIN,140
ROE00108900,2006-11-27,TMIN,22
ROE00108900,2007-02-13,TMAX,125
ROE00108900,2006-11-11,TMAX,102
ROE00108900,2005-10-17,TMAX,130
ROE00108900,2009-12-08,TMIN,15
ROE00108900,2007-07-03,TMIN,170
ROE00108900,2007-11-25,TMIN,-12
ROE00108900,2006-01-02,TMIN,1
ROE00108900,2009-06-25,TMIN,135
ROE00108900,2005-03-26,TMAX,180
ROE00108900,2008-06-22,TMAX,332
ROE00108900,2006-03-20,TMIN,1
ROE00108900,2005-04-23,TMAX,124
ROE00108900,2007-10-02,TMIN,82
ROE00108900,2007-09-22,TMIN,114
ROE00108900,2007-03-28,TMAX,118
ROE00108900,2009-09-16,TMIN,140
ROE00108900,2008-03-10,TMIN,24
ROE00108900,2006-07-01,TMAX,287
ROE00108900,2009-01-31,TMIN,-3
ROE00108900,2005-04-23,TMIN,-2
ROE00108900,2007-03-23,TMAX,128
ROE00108900,2007-03-23,TMIN,40
ROE00108900,2009-08-14,TMAX,324
ROE00108900,2007-10-02,TMAX,252
ROE00108900,2008-05-07,TMIN,65
ROE00108900,2005-06-21,TMAX,272
ROE00108900,2006-03-29,TMAX,228
ROE00108900,2006-03-29,TMIN,115
ROE00108900,2005-09-12,TMIN,145
ROE00108900,2007-02-28,TMIN,-4
ROE00108900,2007-09-26,TMAX,260
ROE00108900,2007-07-03,TMAX,359
ROE00108900,2009-10-20,TMIN,87
ROE00108900,2006-01-02,TMAX,65
ROE00108900,2008-03-10,TMAX,155
ROE00108900,2007-02-28,TMAX,91
ROE00108900,2008-09-14,TMAX,202
ROE00108900,2008-08-27,TMAX,331
ROE00108900,2009-11-30,TMIN,0
ROE00108900,2009-09-15,TMIN,142
ROE00108900,2009-11-30,TMAX,128
ROE00108900,2006-01-23,TMIN,-156
ROE00108900,2008-08-10,TMIN,169
ROE00108900,2007-12-20,TMIN,-131
ROE00108900,2009-03-03,TMAX,93
ROE00108900,2005-11-29,TMIN,-7
ROE00108900,2005-05-04,TMIN,119
ROE00108900,2006-02-15,TMIN,-73
ROE00108900,2005-01-04,TMIN,-22
ROE00108900,2009-10-20,TMAX,145
ROE00108900,2009-09-02,TMIN,121
ROE00108900,2005-03-26,TMIN,40
