ID,Date,Element,Data_Value
RSM00024125,2014-06-25,TMIN,62
RSM00024125,2012-04-03,TMIN,-185
RSM00024125,2012-08-14,TMAX,160
RSM00024125,2009-12-13,TMIN,-501
RSM00024125,2009-07-10,TMAX,241
RSM00024125,2005-09-09,TMIN,16
RSM00024125,2011-07-19,TMAX,259
RSM00024125,2005-09-09,TMAX,170
RSM00024125,2015-06-25,TMAX,100
RSM00024125,2012-08-14,TMIN,61
RSM00024125,2012-05-10,TMAX,-30
RSM00024125,2007-03-16,TMAX,-110
RSM00024125,2005-01-31,TMAX,-222
RSM00024125,2010-10-23,TMIN,-146
RSM00024125,2006-05-24,TMAX,64
RSM00024125,2015-08-13,TMAX,95
RSM00024125,2010-07-28,TMIN,69
RSM00024125,2011-10-16,TMAX,-46
RSM00024125,2011-12-21,TMIN,-341
RSM00024125,2015-08-20,TMAX,76
RSM00024125,2011-08-12,TMIN,121
RSM00024125,2006-04-05,TMAX,-207
RSM00024125,2014-06-08,TMIN,59
RSM00024125,2007-03-16,TMIN,-234
RSM00024125,2012-05-11,TMIN,-77
RSM00024125,2008-06-25,TMAX,238
RSM00024125,2011-08-12,TMAX,248
RSM00024125,2006-03-21,TMAX,-187
RSM00024125,2011-07-10,TMAX,178
RSM00024125,2010-10-28,TMIN,-232
RSM00024125,2015-05-24,TMAX,23
RSM00024125,2015-07-12,TMAX,209
RSM00024125,2011-09-13,TMAX,67
RSM00024125,2006-12-13,TMAX,-393
RSM00024125,2014-01-04,TMIN,-457
RSM00024125,2011-01-05,TMIN,-195
RSM00024125,2012-03-27,TMAX,-165
RSM00024125,2013-10-30,TMAX,-162
RSM00024125,2013-11-16,TMIN,-337
RSM00024125,2015-05-24,TMIN,-50
RSM00024125,2007-04-18,TMIN,-96
RSM00024125,2012-01-15,TMIN,-470
RSM00024125,2012-01-15,TMAX,-431
RSM00024125,2005-05-08,TMAX,134
RSM00024125,2008-05-18,TMIN,-79
RSM00024125,2010-05-18,TMAX,55
RSM00024125,2008-02-06,TMAX,-131
RSM00024125,2007-11-27,TMAX,-313
RSM00024125,2005-07-18,TMIN,101
RSM00024125,2005-04-18,TMIN,-63
RSM00024125,2012-06-04,TMAX,262
RSM00024125,2005-09-11,TMIN,70
RSM00024125,2007-05-24,TMIN,54
RSM00024125,2014-03-11,TMAX,-115
RSM00024125,2015-05-28,TMIN,-9
RSM00024125,2007-08-07,TMAX,193
RSM00024125,2005-04-18,TMAX,22
RSM00024125,2010-07-28,TMAX,161
RSM00024125,2008-11-25,TMAX,-329
RSM00024125,2005-09-11,TMAX,178
RSM00024125,2007-12-11,TMIN,-369
RSM00024125,2007-08-07,TMIN,119
RSM00024125,2014-06-25,TMAX,132
RSM00024125,2013-01-04,TMIN,-445
RSM00024125,2007-04-18,TMAX,18
RSM00024125,2013-11-13,TMIN,-288
RSM00024125,2013-01-04,TMAX,-391
RSM00024125,2012-01-06,TMIN,-370
RSM00024125,2014-03-28,TMIN,-236
RSM00024125,2009-10-02,TMAX,86
RSM00024125,2006-12-13,TMIN,-459
RSM00024125,2009-01-06,TMAX,-181
RSM00024125,2011-06-10,TMAX,138
RSM00024125,2008-01-13,TMIN,-299
RSM00024125,2013-11-16,TMAX,-285
RSM00024125,2011-07-18,TMAX,237
RSM00024125,2010-01-23,TMAX,-247
RSM00024125,2009-10-02,TMIN,-24
RSM00024125,2013-10-30,TMIN,-191
RSM00024125,2008-05-18,TMAX,-2
RSM00024125,2007-09-17,TMIN,1
RSM00024125,2010-02-01,TMIN,-312
RSM00024125,2010-03-20,TMIN,-281
RSM00024125,2011-07-18,TMIN,158
RSM00024125,2009-12-13,TMAX,-466
RSM00024125,2007-01-28,TMIN,-443
RSM00024125,2010-06-15,TMIN,70
RSM00024125,2010-10-09,TMAX,-124
RSM00024125,2011-06-22,TMAX,140
RSM00024125,2007-09-17,TMAX,19
RSM00024125,2015-01-17,TMAX,-334
RSM00024125,2006-09-23,TMAX,124
RSM00024125,2006-07-21,TMAX,277
RSM00024125,2005-02-26,TMAX,-234
RSM00024125,2006-03-21,TMIN,-267
RSM00024125,2013-08-26,TMAX,118
RSM00024125,2012-02-10,TMAX,-280
RSM00024125,2012-01-06,TMAX,-316
RSM00024125,2005-05-08,TMIN,57
RSM00024125,2010-06-15,TMAX,181
RSM00024125,2013-03-02,TMAX,-120
RSM00024125,2014-10-11,TMAX,-16
RSM00024125,2007-11-09,TMAX,-34
RSM00024125,2013-03-04,TMAX,-248
RSM00024125,2011-05-07,TMIN,-53
RSM00024125,2013-07-03,TMAX,146
RSM00024125,2011-03-24,TMAX,-42
RSM00024125,2007-11-09,TMIN,-156
RSM00024125,2015-01-17,TMIN,-374
RSM00024125,2005-04-15,TMIN,-151
RSM00024125,2011-05-07,TMAX,36
RSM00024125,2013-08-26,TMIN,45
RSM00024125,2010-08-15,TMAX,207
RSM00024125,2014-04-23,TMAX,-62
RSM00024125,2013-11-13,TMAX,-216
RSM00024125,2009-07-10,TMIN,144
RSM00024125,2006-07-21,TMIN,130
RSM00024125,2015-11-30,TMIN,-401
RSM00024125,2012-05-11,TMAX,12
RSM00024125,2013-08-11,TMAX,158
RSM00024125,2008-11-20,TMAX,-267
RSM00024125,2009-07-12,TMIN,132
RSM00024125,2011-03-22,TMAX,-50
RSM00024125,2015-01-19,TMAX,-316
RSM00024125,2011-07-10,TMIN,81
RSM00024125,2011-06-03,TMIN,95
RSM00024125,2013-03-02,TMIN,-212
RSM00024125,2011-06-10,TMIN,70
RSM00024125,2014-03-28,TMAX,-130
RSM00024125,2007-08-26,TMAX,110
RSM00024125,2006-05-24,TMIN,20
RSM00024125,2007-10-06,TMAX,4
RSM00024125,2008-05-30,TMIN,56
RSM00024125,2010-08-10,TMIN,45
RSM00024125,2006-12-09,TMAX,-217
RSM00024125,2008-06-25,TMIN,99
RSM00024125,2012-07-15,TMIN,62
RSM00024125,2015-06-28,TMIN,83
RSM00024125,2008-01-08,TMAX,-520
RSM00024125,2012-07-15,TMAX,159
RSM00024125,2007-01-28,TMAX,-361
RSM00024125,2006-12-09,TMIN,-314
RSM00024125,2011-07-19,TMIN,117
RSM00024125,2007-07-03,TMAX,218
RSM00024125,2011-10-16,TMIN,-66
RSM00024125,2010-05-18,TMIN,-6
RSM00024125,2012-04-03,TMAX,-84
RSM00024125,2006-01-25,TMAX,-182
RSM00024125,2010-01-23,TMIN,-349
RSM00024125,2012-05-10,TMIN,-94
RSM00024125,2011-03-22,TMIN,-156
RSM00024125,2011-03-24,TMIN,-180
RSM00024125,2013-03-04,TMIN,-402
RSM00024125,2008-05-30,TMAX,150
RSM00024125,2007-10-06,TMIN,-54
RSM00024125,2005-04-15,TMAX,13
RSM00024125,2013-10-16,TMAX,45
RSM00024125,2013-07-20,TMIN,110
RSM00024125,2007-08-26,TMIN,65
RSM00024125,2012-02-10,TMIN,-341
RSM00024125,2010-02-01,TMAX,-222
RSM00024125,2010-10-27,TMIN,-215
RSM00024125,2010-06-26,TMIN,112
RSM00024125,2008-04-09,TMIN,-298
RSM00024125,2013-10-16,TMIN,-28
RSM00024125,2014-03-11,TMIN,-261
RSM00024125,2009-07-12,TMAX,286
RSM00024125,2013-08-11,TMIN,100
RSM00024125,2006-04-05,TMIN,-285
RSM00024125,2006-03-03,TMIN,-355
RSM00024125,2011-01-05,TMAX,-151
RSM00024125,2013-07-20,TMAX,259
RSM00024125,2010-03-20,TMAX,-183
RSM00024125,2010-08-10,TMAX,95
RSM00024125,2013-07-03,TMIN,18
RSM00024125,2010-06-26,TMAX,162
RSM00024125,2006-09-23,TMIN,78
RSM00024125,2013-06-21,TMIN,134
RSM00024125,2013-06-21,TMAX,239
RSM00024125,2015-08-23,TMAX,160
RSM00024125,2012-06-04,TMIN,96
RSM00024125,2006-02-18,TMIN,-378
RSM00024125,2009-12-31,TMIN,-322
RSM00024125,2011-08-15,TMIN,73
RSM00024125,2011-01-19,TMIN,-374
RSM00024125,2015-02-26,TMAX,-287
RSM00024125,2005-11-24,TMAX,-323
RSM00024125,2012-12-12,TMAX,-277
RSM00024125,2015-07-30,TMAX,173
RSM00024125,2012-02-24,TMIN,-414
RSM00024125,2012-12-12,TMIN,-401
RSM00024125,2008-03-10,TMAX,-183
RSM00024125,2011-01-19,TMAX,-271
RSM00024125,2009-12-20,TMIN,-310
RSM00024125,2008-03-10,TMIN,-302
RSM00024125,2014-12-16,TMIN,-449
RSM00024125,2008-07-09,TMIN,154
RSM00024125,2005-11-25,TMIN,-412
RSM00024125,2011-02-04,TMAX,-374
RSM00024125,2014-07-16,TMAX,290
RSM00024125,2010-09-16,TMIN,-10
RSM00024125,2007-06-20,TMIN,148
RSM00024125,2012-12-28,TMAX,-294
RSM00024125,2009-04-11,TMAX,-69
RSM00024125,2005-11-25,TMAX,-370
RSM00024125,2013-02-06,TMIN,-491
RSM00024125,2011-11-02,TMIN,-304
RSM00024125,2014-08-13,TMIN,35
RSM00024125,2014-10-07,TMIN,-31
RSM00024125,2014-08-13,TMAX,124
RSM00024125,2007-03-07,TMAX,-185
RSM00024125,2012-08-30,TMAX,73
RSM00024125,2012-02-24,TMAX,-333
RSM00024125,2015-07-30,TMIN,77
RSM00024125,2014-10-07,TMAX,9
RSM00024125,2009-12-31,TMAX,-261
RSM00024125,2008-04-09,TMAX,-96
RSM00024125,2010-06-02,TMAX,85
RSM00024125,2013-10-11,TMAX,-71
RSM00024125,2008-04-27,TMIN,-25
RSM00024125,2011-02-04,TMIN,-436
RSM00024125,2010-01-17,TMAX,-303
RSM00024125,2010-11-11,TMIN,-213
RSM00024125,2015-03-29,TMAX,-122
RSM00024125,2009-11-14,TMAX,-108
RSM00024125,2012-07-28,TMIN,173
RSM00024125,2010-01-17,TMIN,-381
RSM00024125,2012-12-30,TMIN,-422
RSM00024125,2008-03-03,TMAX,-123
RSM00024125,2007-01-25,TMAX,-108
RSM00024125,2007-01-25,TMIN,-167
RSM00024125,2006-04-06,TMIN,-284
RSM00024125,2007-11-04,TMIN,-288
RSM00024125,2011-09-16,TMIN,52
RSM00024125,2012-04-07,TMAX,-18
RSM00024125,2014-09-14,TMAX,86
RSM00024125,2007-11-04,TMAX,-220
RSM00024125,2012-07-28,TMAX,322
RSM00024125,2007-05-07,TMIN,-76
RSM00024125,2011-09-16,TMAX,99
RSM00024125,2008-03-03,TMIN,-244
RSM00024125,2008-07-09,TMAX,226
RSM00024125,2012-12-28,TMIN,-358
RSM00024125,2006-04-06,TMAX,-218
RSM00024125,2008-04-27,TMAX,49
RSM00024125,2009-12-20,TMAX,-265
RSM00024125,2005-02-22,TMIN,-396
RSM00024125,2012-09-26,TMAX,75
RSM00024125,2005-11-15,TMIN,-224
RSM00024125,2005-02-22,TMAX,-312
RSM00024125,2011-07-16,TMIN,162
RSM00024125,2007-12-10,TMAX,-289
RSM00024125,2011-08-15,TMAX,185
RSM00024125,2012-09-26,TMIN,49
RSM00024125,2005-11-15,TMAX,-164
RSM00024125,2009-11-14,TMIN,-173
RSM00024125,2012-12-30,TMAX,-377
RSM00024125,2011-07-16,TMAX,208
RSM00024125,2007-02-26,TMIN,-443
RSM00024125,2010-09-22,TMIN,-40
RSM00024125,2011-05-26,TMIN,64
RSM00024125,2005-10-01,TMAX,-3
RSM00024125,2010-11-12,TMAX,-211
RSM00024125,2011-12-17,TMIN,-223
RSM00024125,2005-07-28,TMAX,110
RSM00024125,2007-06-26,TMAX,217
RSM00024125,2011-05-26,TMAX,214
RSM00024125,2013-12-29,TMIN,-438
RSM00024125,2005-10-13,TMAX,-20
