ID,Date,Element,Data_Value
SUM00062801,2009-10-09,TMAX,350
SUM00062801,2006-11-03,TMIN,205
SUM00062801,2007-11-28,TMAX,373
SUM00062801,2009-07-22,TMIN,238
SUM00062801,2008-10-14,TMAX,325
SUM00062801,2006-08-01,TMAX,353
SUM00062801,2005-05-20,TMAX,433
SUM00062801,2009-09-12,TMAX,375
SUM00062801,2009-03-01,TMAX,324
SUM00062801,2009-02-24,TMAX,407
SUM00062801,2009-04-18,TMIN,270
SUM00062801,2009-03-28,TMAX,380
SUM00062801,2007-03-04,TMIN,172
SUM00062801,2006-02-11,TMAX,353
SUM00062801,2010-02-10,TMAX,350
SUM00062801,2009-12-15,TMIN,165
SUM00062801,2008-12-05,TMIN,200
SUM00062801,2009-11-20,TMIN,227
SUM00062801,2007-04-29,TMIN,305
SUM00062801,2009-11-20,TMAX,356
SUM00062801,2007-01-26,TMIN,167
SUM00062801,2007-06-20,TMAX,323
SUM00062801,2007-01-06,TMIN,155
SUM00062801,2010-01-19,TMIN,190
SUM00062801,2010-01-19,TMAX,360
SUM00062801,2006-02-11,TMIN,190
SUM00062801,2005-09-10,TMAX,330
SUM00062801,2007-03-22,TMAX,424
SUM00062801,2009-12-05,TMIN,192
SUM00062801,2010-05-09,TMIN,290
SUM00062801,2009-10-09,TMIN,215
SUM00062801,2007-02-03,TMIN,143
SUM00062801,2006-01-08,TMAX,375
SUM00062801,2008-11-04,TMIN,159
SUM00062801,2005-09-10,TMIN,212
SUM00062801,2008-04-30,TMAX,408
SUM00062801,2007-01-06,TMAX,290
SUM00062801,2008-05-04,TMAX,417
SUM00062801,2010-01-06,TMAX,362
SUM00062801,2009-07-17,TMAX,360
SUM00062801,2007-11-30,TMAX,382
SUM00062801,2006-10-17,TMAX,380
SUM00062801,2008-08-20,TMAX,330
SUM00062801,2006-01-17,TMIN,143
SUM00062801,2010-01-06,TMIN,160
SUM00062801,2010-02-09,TMAX,367
SUM00062801,2006-10-17,TMIN,230
SUM00062801,2008-03-28,TMIN,283
SUM00062801,2007-10-14,TMAX,380
SUM00062801,2008-11-04,TMAX,355
SUM00062801,2008-04-30,TMIN,242
SUM00062801,2009-02-14,TMAX,395
SUM00062801,2006-02-09,TMAX,405
SUM00062801,2006-02-09,TMIN,215
SUM00062801,2007-10-14,TMIN,230
SUM00062801,2007-03-23,TMAX,424
SUM00062801,2006-08-01,TMIN,230
SUM00062801,2008-11-06,TMAX,350
SUM00062801,2009-10-01,TMIN,230
SUM00062801,2007-04-29,TMAX,410
SUM00062801,2009-10-18,TMAX,378
SUM00062801,2009-01-22,TMAX,362
SUM00062801,2009-05-12,TMIN,245
SUM00062801,2005-03-11,TMIN,265
SUM00062801,2009-07-22,TMAX,350
SUM00062801,2009-02-23,TMAX,353
SUM00062801,2009-05-12,TMAX,380
SUM00062801,2010-02-09,TMIN,180
SUM00062801,2008-05-04,TMIN,293
SUM00062801,2008-09-23,TMIN,238
SUM00062801,2006-07-28,TMIN,216
SUM00062801,2006-12-15,TMAX,325
SUM00062801,2006-12-15,TMIN,175
SUM00062801,2005-11-09,TMIN,210
SUM00062801,2005-11-09,TMAX,383
SUM00062801,2007-11-28,TMIN,210
SUM00062801,2006-11-03,TMAX,390
SUM00062801,2007-05-26,TMIN,210
SUM00062801,2008-11-03,TMAX,357
SUM00062801,2008-11-03,TMIN,190
SUM00062801,2006-10-21,TMAX,385
SUM00062801,2009-02-16,TMAX,410
SUM00062801,2005-08-07,TMAX,332
SUM00062801,2006-10-21,TMIN,240
SUM00062801,2009-02-14,TMIN,225
SUM00062801,2009-10-18,TMIN,227
SUM00062801,2007-09-09,TMAX,320
SUM00062801,2009-05-15,TMAX,405
SUM00062801,2006-12-27,TMAX,334
SUM00062801,2009-12-25,TMIN,168
SUM00062801,2006-12-08,TMIN,150
SUM00062801,2007-03-13,TMIN,270
SUM00062801,2006-02-22,TMIN,200
SUM00062801,2006-12-08,TMAX,310
SUM00062801,2005-12-23,TMIN,210
SUM00062801,2006-12-26,TMIN,163
SUM00062801,2006-05-14,TMAX,394
SUM00062801,2009-01-11,TMAX,358
SUM00062801,2007-10-07,TMAX,370
SUM00062801,2009-08-17,TMIN,232
SUM00062801,2009-02-04,TMIN,185
SUM00062801,2007-03-27,TMAX,425
SUM00062801,2010-03-01,TMAX,325
SUM00062801,2009-08-17,TMAX,357
SUM00062801,2006-02-22,TMAX,400
SUM00062801,2007-03-27,TMIN,250
SUM00062801,2010-02-24,TMAX,417
SUM00062801,2009-01-05,TMIN,166
SUM00062801,2005-11-18,TMIN,185
SUM00062801,2006-10-26,TMAX,335
SUM00062801,2007-11-18,TMAX,390
SUM00062801,2006-02-02,TMAX,410
SUM00062801,2007-10-07,TMIN,228
SUM00062801,2008-11-18,TMAX,377
SUM00062801,2005-08-14,TMAX,336
SUM00062801,2005-08-14,TMIN,197
SUM00062801,2007-09-09,TMIN,215
SUM00062801,2010-07-23,TMAX,306
SUM00062801,2010-01-24,TMIN,167
