ID,Date,Element,Data_Value
USS0063P01S,2008-11-19,TMIN,-208
USS0063P01S,2014-07-23,TMIN,46
USS0063P01S,2008-06-09,TMIN,3
USS0063P01S,2009-09-11,TMAX,95
USS0063P01S,2009-04-09,TMIN,-173
USS0063P01S,2006-10-28,TMAX,61
USS0063P01S,2015-06-06,TMIN,-10
USS0063P01S,2010-04-12,TMAX,4
USS0063P01S,2010-10-13,TMAX,29
USS0063P01S,2014-05-12,TMIN,-25
USS0063P01S,2009-05-03,TMAX,42
USS0063P01S,2005-04-09,TMIN,-90
USS0063P01S,2014-12-01,TMIN,-78
USS0063P01S,2008-06-09,TMAX,41
USS0063P01S,2013-05-24,TMAX,70
USS0063P01S,2014-08-23,TMAX,201
USS0063P01S,2014-12-01,TMAX,-48
USS0063P01S,2012-01-10,TMAX,-249
USS0063P01S,2013-10-01,TMAX,36
USS0063P01S,2008-11-19,TMAX,-58
USS0063P01S,2006-02-23,TMAX,-117
USS0063P01S,2006-10-28,TMIN,17
USS0063P01S,2009-09-11,TMIN,48
USS0063P01S,2009-04-11,TMIN,-186
USS0063P01S,2007-07-23,TMAX,165
USS0063P01S,2014-05-16,TMIN,-5
USS0063P01S,2006-11-21,TMAX,-57
USS0063P01S,2007-08-23,TMAX,189
USS0063P01S,2009-06-19,TMIN,53
USS0063P01S,2014-07-23,TMAX,78
USS0063P01S,2006-06-13,TMIN,57
USS0063P01S,2007-11-09,TMIN,-84
USS0063P01S,2006-11-26,TMIN,-121
USS0063P01S,2006-11-21,TMIN,-125
USS0063P01S,2012-01-01,TMIN,-380
USS0063P01S,2015-06-06,TMAX,92
USS0063P01S,2005-09-28,TMIN,-15
USS0063P01S,2006-03-10,TMIN,-306
USS0063P01S,2007-11-22,TMAX,-33
USS0063P01S,2012-01-01,TMAX,-328
USS0063P01S,2006-07-22,TMAX,133
USS0063P01S,2015-09-24,TMAX,74
USS0063P01S,2006-06-13,TMAX,108
USS0063P01S,2006-01-05,TMAX,-71
USS0063P01S,2015-06-07,TMAX,86
USS0063P01S,2006-03-10,TMAX,-137
USS0063P01S,2005-04-09,TMAX,-31
USS0063P01S,2012-01-10,TMIN,-323
USS0063P01S,2009-06-19,TMAX,163
USS0063P01S,2015-09-24,TMIN,39
USS0063P01S,2010-12-29,TMAX,-247
USS0063P01S,2013-02-26,TMAX,-157
USS0063P01S,2009-05-10,TMIN,-8
USS0063P01S,2005-09-28,TMAX,62
USS0063P01S,2010-08-19,TMIN,49
USS0063P01S,2007-08-21,TMIN,113
USS0063P01S,2014-05-16,TMAX,24
USS0063P01S,2006-07-22,TMIN,93
USS0063P01S,2007-06-23,TMAX,119
USS0063P01S,2008-06-06,TMAX,84
USS0063P01S,2008-06-06,TMIN,0
USS0063P01S,2006-02-23,TMIN,-230
USS0063P01S,2006-06-15,TMAX,210
USS0063P01S,2011-01-15,TMIN,-181
USS0063P01S,2015-05-28,TMAX,78
USS0063P01S,2011-10-20,TMAX,-9
USS0063P01S,2005-05-26,TMAX,212
USS0063P01S,2009-02-25,TMIN,-128
USS0063P01S,2010-10-08,TMIN,-28
USS0063P01S,2014-08-23,TMIN,41
USS0063P01S,2011-04-03,TMIN,-128
USS0063P01S,2012-03-13,TMIN,-231
USS0063P01S,2011-04-03,TMAX,-68
USS0063P01S,2005-12-10,TMIN,-223
USS0063P01S,2008-05-22,TMIN,6
USS0063P01S,2011-06-18,TMAX,221
USS0063P01S,2008-02-13,TMIN,-297
USS0063P01S,2010-03-11,TMAX,-220
USS0063P01S,2007-04-04,TMAX,-48
USS0063P01S,2006-11-11,TMIN,-136
USS0063P01S,2006-04-26,TMIN,-146
USS0063P01S,2011-01-15,TMAX,-84
USS0063P01S,2007-04-04,TMIN,-124
USS0063P01S,2012-09-11,TMIN,-8
USS0063P01S,2013-08-06,TMAX,174
USS0063P01S,2006-04-26,TMAX,-61
USS0063P01S,2008-06-07,TMIN,15
USS0063P01S,2014-05-22,TMIN,-36
USS0063P01S,2007-03-11,TMAX,-152
USS0063P01S,2012-03-13,TMAX,-139
USS0063P01S,2014-07-30,TMAX,154
USS0063P01S,2011-06-18,TMIN,95
USS0063P01S,2012-05-02,TMIN,-144
USS0063P01S,2010-04-25,TMAX,-37
USS0063P01S,2011-10-20,TMIN,-93
USS0063P01S,2011-08-15,TMIN,53
USS0063P01S,2006-07-31,TMIN,40
USS0063P01S,2006-07-31,TMAX,107
USS0063P01S,2012-08-23,TMIN,74
USS0063P01S,2010-02-03,TMIN,-213
USS0063P01S,2009-02-25,TMAX,-27
USS0063P01S,2012-08-23,TMAX,101
USS0063P01S,2010-10-08,TMAX,53
USS0063P01S,2013-10-08,TMIN,13
USS0063P01S,2010-05-12,TMAX,88
USS0063P01S,2013-10-08,TMAX,36
USS0063P01S,2010-11-27,TMIN,-147
USS0063P01S,2008-10-06,TMIN,-94
USS0063P01S,2011-11-10,TMAX,-8
USS0063P01S,2009-05-03,TMIN,-28
