ID,Date,Element,Data_Value
CA008206240,2008-12-30,TMIN,-65
CA008206240,2007-03-29,TMIN,-27
CA008206240,2009-10-01,TMIN,51
CA008206240,2015-05-27,TMAX,125
CA008206240,2006-06-10,TMAX,141
CA008206240,2008-11-07,TMAX,130
CA008206240,2011-09-26,TMIN,158
CA008206240,2012-10-27,TMAX,163
CA008203100,2011-05-12,TMAX,155
CA008206240,2009-10-01,TMAX,166
CA008203100,2005-09-15,TMIN,140
CA008206240,2006-06-10,TMIN,110
CA008203100,2011-08-18,TMAX,270
CA008206240,2011-06-18,TMAX,147
CA008206240,2010-03-04,TMAX,8
CA008206240,2014-12-23,TMAX,35
CA008206240,2009-02-07,TMIN,-103
CA008206240,2011-01-28,TMAX,13
CA008203100,2005-04-22,TMIN,-25
CA008206240,2012-10-27,TMIN,42
CA008206240,2014-08-28,TMAX,222
CA008206240,2006-08-14,TMIN,100
CA008206240,2011-06-18,TMIN,107
CA008206240,2011-10-22,TMIN,66
CA008203100,2009-12-28,TMAX,65
CA008206240,2014-12-23,TMIN,-9
CA008206240,2013-01-11,TMAX,34
CA008203100,2006-01-15,TMAX,125
CA008206240,2012-01-31,TMIN,-101
CA008206240,2006-08-14,TMAX,208
CA008206240,2007-03-18,TMIN,12
CA008203100,2011-05-20,TMIN,115
CA008206240,2010-04-09,TMAX,86
CA008206240,2010-01-29,TMAX,11
CA008206240,2011-09-26,TMAX,261
CA008206240,2014-08-10,TMIN,124
CA008203100,2012-04-19,TMAX,158
CA008206240,2011-05-28,TMIN,91
CA008203120,2005-04-28,TMAX,110
CA008206240,2010-03-04,TMIN,-9
CA008206240,2015-10-06,TMIN,90
CA008206240,2014-08-10,TMAX,229
CA008203100,2010-04-15,TMAX,75
CA008206240,2013-06-18,TMIN,107
CA008206240,2008-10-02,TMAX,169
CA008206240,2009-03-11,TMIN,-34
CA008206240,2013-06-18,TMAX,180
CA008206240,2010-06-13,TMIN,105
CA008206240,2013-05-27,TMIN,59
CA008206240,2007-03-08,TMIN,-163
CA008206240,2007-03-12,TMIN,-8
CA008203100,2010-05-20,TMAX,175
CA008203100,2011-04-25,TMAX,185
CA008203100,2006-01-15,TMIN,75
CA008203100,2006-02-08,TMIN,-70
CA008206240,2014-09-30,TMIN,130
CA008206240,2011-01-03,TMAX,47
CA008203100,2010-06-26,TMAX,225
CA008203100,2012-06-13,TMAX,233
CA008206240,2009-12-09,TMIN,-74
CA008206240,2005-11-24,TMIN,-3
CA008206240,2009-04-16,TMAX,91
CA008206240,2010-07-22,TMIN,128
CA008203100,2011-03-02,TMIN,-110
CA008206240,2011-05-06,TMIN,45
CA008206240,2012-03-29,TMIN,-7
CA008203100,2006-02-24,TMIN,-80
CA008206240,2005-04-29,TMAX,77
CA008206240,2013-11-06,TMAX,116
CA008203120,2005-04-27,TMIN,-10
CA008206240,2013-11-06,TMIN,-4
CA008206240,2013-07-14,TMIN,134
CA008206240,2011-05-06,TMAX,96
CA008203100,2010-05-08,TMIN,78
CA008206240,2013-05-27,TMAX,151
CA008206240,2012-03-29,TMAX,15
CA008203100,2010-10-08,TMIN,90
CA008206240,2015-10-06,TMAX,173
CA008206240,2012-12-19,TMAX,69
CA008206240,2010-02-18,TMAX,24
CA008206240,2011-05-28,TMAX,120
CA008203100,2010-02-22,TMAX,20
CA008206240,2005-10-27,TMAX,101
CA008203100,2012-09-06,TMAX,200
CA008206240,2011-10-11,TMAX,174
CA008206240,2007-03-08,TMAX,-45
CA008206240,2014-08-03,TMAX,179
CA008203100,2006-02-24,TMAX,30
CA008206240,2013-12-31,TMAX,-74
CA008206240,2013-07-14,TMAX,244
CA008206240,2014-08-03,TMIN,144
CA008206240,2011-10-11,TMIN,67
CA008203100,2005-12-12,TMIN,-40
CA008203120,2005-06-27,TMAX,300
CA008206240,2009-11-23,TMIN,25
CA008206240,2010-06-13,TMAX,164
CA008203100,2011-06-21,TMIN,95
CA008206240,2008-07-01,TMIN,120
CA008206240,2010-04-28,TMIN,-7
CA008206240,2007-10-13,TMAX,164
CA008206240,2015-02-25,TMAX,40
CA008203100,2010-06-26,TMIN,115
CA008206240,2008-07-01,TMAX,171
CA008206240,2009-12-09,TMAX,112
CA008206240,2010-08-26,TMAX,203
CA008203100,2012-09-06,TMIN,160
CA008206240,2012-12-19,TMIN,9
CA008203100,2010-02-22,TMIN,-15
CA008203100,2005-02-25,TMIN,-90
CA008206240,2008-11-17,TMAX,105
CA008203100,2011-03-21,TMIN,-90
CA008206240,2005-04-05,TMIN,17
CA008203100,2011-03-21,TMAX,65
CA008206240,2009-11-23,TMAX,75
CA008206240,2008-03-22,TMAX,13
CA008206240,2006-08-12,TMIN,103
CA008206240,2015-02-25,TMIN,-55
CA008203100,2009-09-27,TMIN,45
CA008206240,2009-09-12,TMIN,111
CA008206240,2010-08-26,TMIN,165
CA008206240,2009-03-11,TMAX,51
CA008206240,2013-10-10,TMIN,9
CA008206240,2006-05-03,TMAX,75
CA008206240,2005-05-04,TMIN,17
CA008206240,2006-06-25,TMIN,105
CA008206240,2007-10-17,TMIN,49
CA008203120,2005-01-12,TMAX,15
CA008203100,2005-03-31,TMIN,0
CA008206240,2011-11-28,TMAX,144
CA008203100,2009-12-08,TMIN,-25
CA008203100,2012-01-25,TMIN,15
CA008203100,2009-12-08,TMAX,15
CA008206240,2006-05-19,TMIN,68
CA008206240,2015-11-23,TMAX,138
CA008206240,2006-12-05,TMAX,-24
CA008203100,2006-02-16,TMIN,-20
CA008206240,2008-06-23,TMAX,175
CA008206240,2011-11-28,TMIN,70
CA008203100,2005-10-10,TMAX,205
CA008206240,2007-03-29,TMAX,63
CA008206240,2007-10-17,TMAX,164
CA008203120,2005-04-15,TMIN,-40
CA008203120,2005-04-01,TMIN,0
CA008206240,2015-11-23,TMIN,5
CA008206240,2006-01-08,TMAX,17
CA008206240,2006-05-19,TMAX,124
CA008206240,2008-03-27,TMIN,-22
CA008203100,2010-04-09,TMAX,145
CA008203100,2011-08-18,TMIN,95
CA008203100,2011-01-15,TMIN,-45
CA008203100,2010-12-15,TMAX,55
CA008203100,2010-10-08,TMAX,160
CA008203100,2012-01-25,TMAX,35
CA008206240,2008-12-02,TMAX,92
CA008203100,2005-06-26,TMIN,160
CA008203100,2005-06-02,TMIN,70
CA008206240,2005-10-18,TMAX,130
CA008203100,2006-02-08,TMAX,-25
CA008203100,2010-05-10,TMAX,105
CA008206240,2013-07-09,TMIN,157
CA008206240,2006-08-12,TMAX,223
CA008206240,2008-07-23,TMAX,185
CA008206240,2013-06-17,TMIN,108
CA008206240,2011-07-20,TMIN,130
CA008206240,2011-07-20,TMAX,203
CA008203100,2010-05-10,TMIN,5
CA008206240,2015-11-20,TMAX,103
CA008203100,2012-02-16,TMIN,-25
CA008206240,2015-04-24,TMAX,81
CA008203120,2005-05-10,TMAX,140
CA008206240,2006-12-05,TMIN,-51
CA008206240,2008-07-23,TMIN,155
CA008203100,2010-08-17,TMIN,155
CA008203120,2005-03-15,TMAX,55
CA008203100,2005-10-10,TMIN,120
CA008206240,2015-04-24,TMIN,11
CA008203120,2005-04-27,TMAX,70
CA008206240,2013-12-23,TMIN,14
CA008206240,2013-06-17,TMAX,165
