ID,Date,Element,Data_Value
CD000004758,2015-11-19,TMIN,230
CD000004758,2007-09-13,TMIN,225
CD000004758,2005-12-07,TMIN,235
CD000004758,2014-04-19,TMIN,265
CD000004758,2014-08-15,TMIN,195
CD000004758,2015-11-25,TMIN,200
CD000004758,2014-01-28,TMIN,180
CD000004758,2007-01-07,TMIN,145
CD000004758,2007-04-16,TMIN,265
CD000004758,2006-09-09,TMIN,210
CD000004758,2006-02-20,TMIN,215
CD000004758,2015-04-10,TMIN,265
CD000004758,2015-06-01,TMIN,215
CD000004758,2015-12-22,TMIN,160
CD000004758,2007-05-22,TMIN,265
CD000004758,2015-07-04,TMIN,215
CD000004758,2006-05-19,TMIN,265
CD000004758,2006-04-05,TMIN,245
CD000004758,2014-12-03,TMIN,205
CD000004758,2006-05-22,TMIN,270
CD000004758,2015-06-03,TMIN,260
CD000004758,2007-03-04,TMIN,180
CD000004758,2007-03-12,TMIN,240
CD000004758,2007-11-07,TMIN,235
CD000004758,2007-11-18,TMIN,235
CD000004758,2007-10-15,TMIN,240
CD000004758,2007-02-07,TMIN,180
CD000004758,2014-12-11,TMIN,185
CD000004758,2005-08-13,TMIN,210
CD000004758,2007-04-12,TMIN,245
CD000004758,2006-03-25,TMIN,265
CD000004758,2006-05-12,TMIN,265
CD000004758,2006-10-07,TMIN,245
CD000004758,2014-10-10,TMIN,225
CD000004758,2014-02-25,TMIN,215
CD000004758,2014-12-13,TMIN,210
CD000004758,2005-10-07,TMIN,225
CD000004758,2007-04-08,TMIN,265
CD000004758,2015-06-18,TMIN,265
CD000004758,2007-01-24,TMIN,165
CD000004758,2014-09-10,TMIN,215
CD000004758,2015-02-17,TMIN,200
CD000004758,2006-03-12,TMIN,260
CD000004758,2014-09-23,TMIN,230
CD000004758,2006-06-25,TMIN,270
CD000004758,2014-03-15,TMIN,255
CD000004758,2006-05-23,TMIN,285
CD000004758,2014-11-04,TMIN,225
CD000004758,2014-03-04,TMIN,215
CD000004758,2014-09-18,TMIN,225
CD000004758,2014-09-09,TMIN,210
CD000004758,2015-06-09,TMIN,245
CD000004758,2014-05-16,TMIN,280
CD000004758,2015-06-12,TMIN,260
CD000004758,2015-07-22,TMIN,220
CD000004758,2014-12-31,TMIN,190
CD000004758,2015-09-19,TMIN,220
CD000004758,2014-01-30,TMIN,200
CD000004758,2006-07-26,TMIN,235
CD000004758,2007-03-24,TMIN,255
CD000004758,2007-11-06,TMIN,230
CD000004758,2015-11-05,TMIN,210
CD000004758,2006-05-06,TMIN,262
CD000004758,2005-10-10,TMIN,220
CD000004758,2014-05-14,TMIN,255
CD000004758,2014-04-15,TMIN,270
CD000004758,2005-10-14,TMIN,220
CD000004758,2006-06-08,TMIN,275
CD000004758,2014-11-07,TMIN,225
CD000004758,2014-10-14,TMIN,235
CD000004758,2014-12-20,TMIN,150
CD000004758,2015-10-08,TMIN,230
CD000004758,2006-05-07,TMIN,265
CD000004758,2015-10-22,TMIN,230
CD000004758,2014-03-26,TMIN,220
CD000004758,2006-03-29,TMIN,230
CD000004758,2015-12-15,TMIN,120
CD000004758,2007-03-09,TMIN,235
CD000004758,2015-11-03,TMIN,215
CD000004758,2014-01-17,TMIN,185
CD000004758,2014-10-21,TMIN,220
CD000004758,2014-08-28,TMIN,210
CD000004758,2007-02-26,TMIN,220
CD000004758,2014-09-20,TMIN,210
CD000004758,2014-03-28,TMIN,265
CD000004758,2006-05-02,TMIN,270
CD000004758,2006-07-11,TMIN,250
CD000004758,2015-10-15,TMIN,240
CD000004758,2015-12-17,TMIN,120
CD000004758,2014-08-16,TMIN,195
CD000004758,2015-05-16,TMIN,260
CD000004758,2015-11-11,TMIN,230
CD000004758,2015-05-26,TMIN,265
CD000004758,2015-06-17,TMIN,270
CD000004758,2015-02-24,TMIN,220
CD000004758,2006-03-15,TMIN,230
CD000004758,2006-06-10,TMIN,235
CD000004758,2006-01-06,TMIN,235
CD000004758,2005-08-23,TMIN,220
CD000004758,2007-01-25,TMIN,175
CD000004758,2015-12-12,TMIN,120
CD000004758,2014-06-23,TMIN,245
CD000004758,2014-01-10,TMIN,180
CD000004758,2015-12-24,TMIN,150
CD000004758,2005-10-28,TMIN,230
CD000004758,2015-02-18,TMIN,220
CD000004758,2015-01-29,TMIN,180
CD000004758,2006-09-30,TMIN,210
CD000004758,2014-09-24,TMIN,235
CD000004758,2014-02-22,TMIN,220
CD000004758,2014-11-19,TMIN,205
CD000004758,2007-06-02,TMIN,265
CD000004758,2015-09-16,TMIN,215
CD000004758,2006-09-12,TMIN,230
CD000004758,2015-07-30,TMIN,215
CD000004758,2014-11-20,TMIN,210
CD000004758,2015-03-10,TMIN,245
CD000004758,2006-10-26,TMIN,240
CD000004758,2007-11-29,TMIN,200
CD000004758,2008-01-16,TMIN,140
CD000004758,2006-02-25,TMIN,255
CD000004758,2015-01-21,TMIN,165
CD000004758,2015-04-02,TMIN,255
CD000004758,2014-05-29,TMIN,280
CD000004758,2015-05-29,TMIN,280
CD000004758,2014-04-22,TMIN,275
CD000004758,2006-06-12,TMIN,235
CD000004758,2015-06-24,TMIN,190
CD000004758,2015-06-16,TMIN,265
CD000004758,2015-05-13,TMIN,260
CD000004758,2014-10-01,TMIN,225
CD000004758,2014-05-15,TMIN,270
CD000004758,2006-04-06,TMIN,250
CD000004758,2014-05-12,TMIN,265
CD000004758,2007-10-04,TMIN,230
CD000004758,2006-05-13,TMIN,275
CD000004758,2007-02-15,TMIN,175
CD000004758,2005-09-29,TMIN,200
CD000004758,2015-05-19,TMIN,275
CD000004758,2007-04-23,TMIN,285
CD000004758,2006-10-27,TMIN,245
CD000004758,2015-06-06,TMIN,265
CD000004758,2014-01-31,TMIN,210
CD000004758,2006-03-30,TMIN,265
CD000004758,2014-03-08,TMIN,250
CD000004758,2015-04-18,TMIN,260
CD000004758,2014-04-28,TMIN,225
CD000004758,2015-07-10,TMIN,250
CD000004758,2014-04-21,TMIN,265
CD000004758,2014-04-26,TMIN,275
CD000004758,2015-10-07,TMIN,220
CD000004758,2014-01-24,TMIN,175
CD000004758,2015-07-07,TMIN,220
CD000004758,2005-12-18,TMIN,220
CD000004758,2015-10-20,TMIN,230
CD000004758,2008-01-27,TMIN,140
CD000004758,2015-07-11,TMIN,260
CD000004758,2006-11-15,TMIN,245
CD000004758,2005-09-26,TMIN,225
CD000004758,2006-02-28,TMIN,260
CD000004758,2015-10-06,TMIN,220
CD000004758,2015-01-30,TMIN,180
CD000004758,2015-02-27,TMIN,210
CD000004758,2014-02-08,TMIN,190
CD000004758,2014-02-11,TMIN,175
CD000004758,2007-11-12,TMIN,225
CD000004758,2006-06-05,TMIN,275
CD000004758,2014-02-14,TMIN,190
CD000004758,2014-05-31,TMIN,260
CD000004758,2005-10-26,TMIN,215
CD000004758,2015-11-26,TMIN,200
CD000004758,2014-05-05,TMIN,215
CD000004758,2014-02-12,TMIN,200
CD000004758,2006-02-24,TMIN,250
CD000004758,2015-10-16,TMIN,225
CD000004758,2014-10-29,TMIN,200
CD000004758,2015-12-08,TMIN,150
CD000004758,2006-11-03,TMIN,220
CD000004758,2015-02-06,TMIN,210
CD000004758,2005-12-13,TMIN,230
CD000004758,2007-01-11,TMIN,150
CD000004758,2015-09-15,TMIN,220
CD000004758,2006-11-17,TMIN,190
CD000004758,2006-10-01,TMIN,205
CD000004758,2014-12-23,TMIN,140
CD000004758,2006-06-11,TMIN,255
CD000004758,2006-02-18,TMIN,260
CD000004758,2005-09-10,TMIN,230
CD000004758,2015-01-16,TMIN,125
CD000004758,2014-05-07,TMIN,280
CD000004758,2015-02-14,TMIN,200
CD000004758,2014-02-10,TMIN,175
CD000004758,2014-01-27,TMIN,175
CD000004758,2007-11-17,TMIN,235
CD000004758,2005-06-27,TMIN,235
CD000004758,2014-08-27,TMIN,215
CD000004758,2005-09-27,TMIN,225
CD000004758,2006-01-07,TMIN,200
CD000004758,2015-02-20,TMIN,220
CD000004758,2015-09-10,TMIN,210
CD000004758,2007-11-05,TMIN,235
CD000004758,2015-05-09,TMIN,265
CD000004758,2014-09-26,TMIN,230
CD000004758,2007-05-16,TMIN,255
CD000004758,2015-06-05,TMIN,265
CD000004758,2015-09-12,TMIN,220
CD000004758,2007-11-13,TMIN,235
CD000004758,2015-02-19,TMIN,230
CD000004758,2015-12-16,TMIN,120
CD000004758,2015-03-13,TMIN,225
CD000004758,2005-10-06,TMIN,210
CD000004758,2015-11-04,TMIN,235
CD000004758,2015-12-03,TMIN,205
CD000004758,2007-12-15,TMIN,185
CD000004758,2015-11-24,TMIN,195
CD000004758,2006-05-15,TMIN,275
CD000004758,2005-12-09,TMIN,200
CD000004758,2007-10-29,TMIN,240
CD000004758,2014-12-04,TMIN,175
CD000004758,2014-01-22,TMIN,165
