ID,Date,Element,Data_Value
MXM00076113,2013-10-30,TMIN,110
MXM00076113,2009-06-12,TMIN,150
MXM00076113,2011-11-07,TMIN,78
MXM00076113,2011-11-07,TMAX,220
MXM00076113,2014-05-05,TMIN,172
MXM00076113,2005-03-15,TMIN,88
MXM00076113,2015-08-25,TMAX,405
MXM00076113,2010-08-25,TMIN,265
MXM00076113,2009-06-12,TMAX,360
MXM00076113,2014-02-06,TMAX,220
MXM00076113,2013-09-04,TMIN,240
MXM00076113,2010-08-10,TMIN,245
MXM00076113,2009-10-28,TMAX,330
MXM00076113,2014-08-21,TMIN,240
MXM00076113,2010-01-21,TMAX,230
MXM00076113,2014-08-09,TMIN,238
MXM00076113,2012-08-01,TMIN,248
MXM00076113,2011-02-10,TMAX,235
MXM00076113,2014-05-28,TMAX,430
MXM00076113,2011-04-29,TMIN,162
MXM00076113,2011-04-29,TMAX,370
MXM00076113,2011-08-16,TMAX,355
MXM00076113,2009-10-28,TMIN,110
MXM00076113,2014-05-05,TMAX,390
MXM00076113,2014-08-21,TMAX,358
MXM00076113,2014-07-21,TMIN,262
MXM00076113,2013-09-04,TMAX,405
MXM00076113,2010-08-20,TMIN,275
MXM00076113,2010-06-10,TMIN,230
MXM00076113,2010-02-26,TMAX,250
MXM00076113,2011-02-10,TMIN,26
MXM00076113,2011-10-06,TMIN,160
MXM00076113,2014-04-22,TMIN,152
MXM00076113,2010-03-04,TMAX,250
MXM00076113,2009-10-08,TMAX,290
MXM00076113,2011-09-29,TMAX,380
MXM00076113,2011-09-29,TMIN,192
MXM00076113,2014-07-18,TMAX,410
MXM00076113,2011-04-06,TMAX,350
MXM00076113,2013-12-12,TMIN,36
MXM00076113,2014-06-11,TMAX,435
MXM00076113,2013-05-20,TMIN,165
MXM00076113,2005-04-21,TMAX,306
MXM00076113,2011-10-07,TMAX,280
MXM00076113,2011-07-08,TMIN,230
MXM00076113,2013-09-11,TMIN,222
MXM00076113,2009-10-08,TMIN,125
MXM00076113,2010-09-13,TMAX,405
MXM00076113,2013-05-20,TMAX,365
MXM00076113,2013-09-11,TMAX,355
MXM00076113,2013-12-12,TMAX,215
MXM00076113,2010-07-21,TMIN,280
MXM00076113,2010-09-13,TMIN,245
MXM00076113,2014-07-12,TMIN,252
MXM00076113,2014-07-18,TMIN,242
MXM00076113,2005-04-21,TMIN,84
MXM00076113,2011-10-07,TMIN,128
MXM00076113,2015-12-09,TMIN,62
MXM00076113,2012-02-11,TMIN,70
MXM00076113,2014-07-12,TMAX,404
MXM00076113,2012-03-30,TMAX,325
MXM00076113,2014-04-22,TMAX,380
MXM00076113,2014-03-25,TMIN,114
MXM00076113,2014-07-15,TMIN,260
MXM00076113,2014-03-25,TMAX,325
MXM00076113,2012-04-14,TMIN,122
MXM00076113,2012-04-14,TMAX,282
MXM00076113,2009-06-25,TMIN,230
MXM00076113,2015-03-24,TMAX,325
MXM00076113,2014-11-29,TMIN,74
MXM00076113,2009-11-19,TMAX,290
MXM00076113,2010-03-09,TMAX,240
MXM00076113,2013-05-30,TMAX,375
MXM00076113,2012-11-08,TMIN,132
MXM00076113,2009-06-25,TMAX,420
MXM00076113,2015-02-24,TMIN,84
