ID,Date,Element,Data_Value
KZ000036870,2013-11-02,TMIN,47
KZ000036870,2014-09-19,TMAX,128
KZ000036870,2010-09-04,TMAX,223
KZ000036870,2013-04-02,TMIN,0
KZ000036870,2009-02-06,TMAX,-11
KZ000036870,2014-05-21,TMAX,180
KZ000036870,2006-09-11,TMAX,271
KZ000036870,2012-04-26,TMAX,262
KZ000036870,2012-11-05,TMAX,54
KZ000036870,2013-11-02,TMAX,130
KZ000036870,2011-02-22,TMIN,-20
KZ000036870,2005-02-18,TMIN,-177
KZ000036870,2014-03-27,TMAX,113
KZ000036870,2014-11-27,TMAX,-20
KZ000036870,2005-09-29,TMIN,99
KZ000036870,2014-04-04,TMAX,200
KZ000036870,2008-03-08,TMAX,147
KZ000036870,2006-08-29,TMAX,288
KZ000036870,2009-11-12,TMAX,29
KZ000036870,2012-11-22,TMAX,0
KZ000036870,2014-05-06,TMIN,160
KZ000036870,2006-03-27,TMAX,193
KZ000036870,2010-10-03,TMAX,280
KZ000036870,2009-01-17,TMAX,10
KZ000036870,2007-02-15,TMAX,43
KZ000036870,2007-04-29,TMIN,69
KZ000036870,2005-10-12,TMIN,4
KZ000036870,2007-04-29,TMAX,227
KZ000036870,2006-07-01,TMAX,287
KZ000036870,2013-12-13,TMIN,-27
KZ000036870,2011-04-22,TMAX,280
KZ000036870,2014-06-20,TMAX,295
KZ000036870,2006-07-01,TMIN,186
KZ000036870,2005-06-28,TMIN,204
KZ000036870,2006-12-13,TMAX,35
KZ000036870,2006-05-07,TMAX,136
KZ000036870,2015-07-16,TMAX,370
KZ000036870,2009-06-15,TMIN,150
KZ000036870,2006-05-07,TMIN,49
KZ000036870,2006-12-13,TMIN,-75
KZ000036870,2010-12-14,TMAX,54
KZ000036870,2010-01-12,TMAX,72
KZ000036870,2005-10-12,TMAX,141
KZ000036870,2015-02-22,TMIN,9
KZ000036870,2014-06-20,TMIN,173
KZ000036870,2015-02-22,TMAX,40
KZ000036870,2005-06-28,TMAX,271
KZ000036870,2013-09-16,TMAX,200
KZ000036870,2006-03-29,TMIN,62
KZ000036870,2014-04-09,TMAX,190
KZ000036870,2005-06-30,TMIN,178
KZ000036870,2005-06-30,TMAX,281
KZ000036870,2013-06-01,TMAX,296
KZ000036870,2006-12-26,TMAX,-3
KZ000036870,2007-11-12,TMAX,128
KZ000036870,2006-12-26,TMIN,-22
KZ000036870,2015-05-18,TMAX,225
KZ000036870,2014-04-04,TMIN,49
KZ000036870,2011-01-08,TMAX,-96
KZ000036870,2014-06-08,TMAX,250
KZ000036870,2010-03-08,TMAX,160
KZ000036870,2005-10-26,TMIN,10
KZ000036870,2005-10-26,TMAX,140
KZ000036870,2008-01-02,TMAX,-8
KZ000036870,2005-05-10,TMIN,119
KZ000036870,2012-04-22,TMAX,182
KZ000036870,2012-02-04,TMAX,-55
KZ000036870,2015-09-06,TMAX,210
KZ000036870,2015-12-15,TMAX,42
KZ000036870,2009-12-26,TMAX,-28
KZ000036870,2006-03-29,TMAX,176
KZ000036870,2006-06-16,TMIN,124
KZ000036870,2005-11-10,TMIN,50
KZ000036870,2014-05-06,TMAX,269
KZ000036870,2005-11-10,TMAX,116
KZ000036870,2006-08-29,TMIN,149
KZ000036870,2006-06-16,TMAX,229
KZ000036870,2014-08-08,TMAX,307
KZ000036870,2014-08-08,TMIN,176
KZ000036870,2014-05-08,TMIN,124
KZ000036870,2014-05-08,TMAX,260
KZ000036870,2010-02-02,TMAX,71
KZ000036870,2011-02-25,TMAX,-88
KZ000036870,2013-03-05,TMAX,135
KZ000036870,2005-12-17,TMAX,30
KZ000036870,2015-07-16,TMIN,240
KZ000036870,2008-05-08,TMIN,114
KZ000036870,2005-09-17,TMIN,170
KZ000036870,2012-02-24,TMAX,-27
KZ000036870,2007-01-30,TMAX,143
KZ000036870,2009-11-23,TMAX,99
KZ000036870,2010-11-02,TMAX,192
KZ000036870,2008-02-06,TMAX,-68
KZ000036870,2013-09-01,TMIN,98
KZ000036870,2005-08-23,TMIN,126
KZ000036870,2007-06-23,TMAX,376
KZ000036870,2007-05-16,TMAX,295
KZ000036870,2014-05-25,TMIN,167
KZ000036870,2005-08-23,TMAX,254
KZ000036870,2006-09-23,TMAX,221
KZ000036870,2010-10-11,TMAX,180
KZ000036870,2006-09-22,TMIN,77
KZ000036870,2006-09-22,TMAX,198
KZ000036870,2006-09-23,TMIN,69
KZ000036870,2014-12-21,TMIN,-28
KZ000036870,2009-11-11,TMAX,-10
