ID,Date,Element,Data_Value
ASN00004020,2005-06-09,TMAX,260
ASN00004020,2005-06-09,TMIN,161
ASN00004106,2008-01-13,TMIN,308
ASN00004106,2015-05-03,TMIN,223
ASN00004106,2007-09-13,TMIN,148
ASN00004106,2006-04-11,TMIN,219
ASN00004106,2015-04-28,TMAX,305
ASN00004106,2009-06-10,TMAX,290
ASN00004106,2014-02-20,TMIN,215
ASN00004020,2006-01-26,TMAX,370
ASN00004106,2006-02-17,TMIN,286
ASN00004106,2007-09-13,TMAX,334
ASN00004106,2005-12-16,TMAX,424
ASN00004106,2011-07-29,TMIN,131
ASN00004106,2006-01-17,TMIN,283
ASN00004106,2007-10-18,TMIN,211
ASN00004106,2007-10-18,TMAX,419
ASN00004106,2006-01-09,TMIN,262
ASN00004106,2006-01-09,TMAX,322
ASN00004020,2006-02-11,TMAX,350
ASN00004020,2005-06-30,TMAX,259
ASN00004106,2010-05-15,TMIN,196
ASN00004020,2005-03-17,TMAX,408
ASN00004106,2005-05-14,TMIN,195
ASN00004106,2005-06-13,TMAX,238
ASN00004106,2007-09-22,TMAX,398
ASN00004106,2014-12-02,TMIN,220
ASN00004106,2011-05-13,TMIN,163
ASN00004106,2006-04-11,TMAX,326
ASN00004020,2005-03-17,TMIN,294
ASN00004106,2006-01-17,TMAX,438
ASN00004106,2012-10-22,TMAX,429
ASN00004106,2005-06-13,TMIN,132
ASN00004106,2014-02-20,TMAX,384
ASN00004106,2011-07-29,TMAX,309
ASN00004020,2005-06-30,TMIN,119
ASN00004106,2008-05-17,TMIN,160
ASN00004106,2005-05-14,TMAX,354
ASN00004106,2011-08-23,TMIN,127
ASN00004106,2015-04-28,TMIN,182
ASN00004106,2014-09-27,TMIN,151
ASN00004106,2007-09-22,TMIN,193
ASN00004106,2014-09-27,TMAX,377
ASN00004106,2010-05-15,TMAX,274
ASN00004106,2011-08-23,TMAX,320
ASN00004106,2006-02-17,TMAX,426
ASN00004106,2005-11-18,TMAX,450
ASN00004106,2012-05-30,TMIN,127
ASN00004106,2010-09-02,TMIN,183
ASN00004106,2005-12-16,TMIN,245
ASN00004106,2011-01-19,TMIN,212
ASN00004106,2011-01-19,TMAX,401
ASN00004106,2011-08-04,TMAX,279
ASN00004106,2011-04-23,TMIN,227
ASN00004106,2010-12-27,TMIN,282
ASN00004106,2009-10-11,TMIN,217
ASN00004106,2013-10-05,TMAX,405
ASN00004020,2006-07-31,TMAX,320
ASN00004106,2008-03-09,TMIN,247
ASN00004106,2009-07-04,TMIN,144
ASN00004106,2006-03-04,TMAX,398
ASN00004020,2006-02-11,TMIN,245
ASN00004106,2009-07-04,TMAX,277
ASN00004106,2008-03-09,TMAX,414
ASN00004106,2014-04-04,TMAX,407
ASN00004106,2014-06-21,TMAX,317
ASN00004106,2014-04-21,TMIN,171
ASN00004106,2008-09-16,TMIN,152
ASN00004106,2011-08-04,TMIN,143
ASN00004106,2007-05-18,TMAX,307
ASN00004106,2009-03-23,TMIN,245
ASN00004106,2010-06-15,TMIN,134
ASN00004106,2011-04-23,TMAX,356
ASN00004106,2007-01-17,TMAX,425
ASN00004106,2013-08-29,TMIN,123
ASN00004106,2010-06-15,TMAX,297
ASN00004106,2013-12-06,TMAX,402
ASN00004106,2013-08-29,TMAX,324
ASN00004106,2015-04-15,TMIN,255
ASN00004106,2006-03-26,TMAX,391
ASN00004106,2010-12-27,TMAX,467
ASN00004106,2012-05-30,TMAX,254
ASN00004106,2010-04-06,TMAX,367
ASN00004106,2014-07-13,TMIN,76
ASN00004106,2011-09-20,TMAX,325
ASN00004106,2007-05-01,TMAX,345
ASN00004106,2011-09-20,TMIN,122
ASN00004106,2014-09-03,TMAX,370
ASN00004106,2014-06-21,TMIN,86
ASN00004106,2014-09-03,TMIN,133
ASN00004106,2007-05-01,TMIN,205
ASN00004106,2006-08-11,TMIN,113
ASN00004106,2006-08-11,TMAX,295
ASN00004106,2007-03-18,TMAX,339
ASN00004106,2008-01-13,TMAX,459
ASN00004106,2010-03-23,TMAX,421
ASN00004106,2006-03-04,TMIN,269
ASN00004106,2012-10-22,TMIN,230
ASN00004106,2009-06-10,TMIN,111
ASN00004106,2014-02-06,TMIN,278
ASN00004106,2007-03-18,TMIN,245
ASN00004106,2007-12-31,TMIN,269
ASN00004106,2010-11-27,TMIN,295
ASN00004106,2010-04-06,TMIN,220
ASN00004106,2013-08-20,TMAX,322
ASN00004106,2010-09-02,TMAX,296
ASN00004106,2012-01-13,TMIN,233
ASN00004106,2012-01-13,TMAX,324
ASN00004106,2009-10-11,TMAX,391
ASN00004106,2013-11-02,TMAX,407
ASN00004106,2007-02-19,TMAX,452
ASN00004106,2007-11-05,TMAX,381
ASN00004106,2007-02-19,TMIN,303
ASN00004106,2010-05-08,TMIN,194
ASN00004106,2007-11-05,TMIN,209
ASN00004106,2013-10-05,TMIN,210
ASN00004106,2010-05-08,TMAX,324
ASN00004106,2009-01-26,TMIN,254
ASN00004106,2006-06-23,TMAX,268
ASN00004106,2014-12-02,TMAX,405
ASN00004106,2007-10-01,TMIN,196
ASN00004106,2015-08-30,TMIN,152
ASN00004106,2011-06-13,TMAX,216
ASN00004106,2013-09-05,TMAX,373
ASN00004106,2005-07-13,TMAX,260
ASN00004106,2011-11-25,TMAX,399
ASN00004106,2014-03-07,TMAX,421
ASN00004106,2013-09-05,TMIN,200
ASN00004106,2014-03-07,TMIN,251
ASN00004106,2006-10-30,TMIN,256
ASN00004106,2013-01-27,TMAX,408
ASN00004020,2005-09-04,TMIN,137
ASN00004106,2011-07-04,TMAX,243
ASN00004106,2008-07-30,TMAX,294
ASN00004020,2005-09-04,TMAX,316
ASN00004106,2009-10-24,TMIN,255
ASN00004106,2011-01-18,TMIN,249
ASN00004106,2013-05-09,TMIN,221
ASN00004106,2012-02-13,TMIN,249
ASN00004106,2011-10-10,TMIN,188
ASN00004106,2011-10-10,TMAX,359
ASN00004106,2008-12-10,TMAX,384
ASN00004106,2009-08-31,TMIN,188
ASN00004106,2005-07-13,TMIN,179
ASN00004106,2008-07-30,TMIN,116
ASN00004106,2013-11-16,TMIN,254
ASN00004106,2013-01-27,TMIN,269
ASN00004106,2009-08-31,TMAX,325
ASN00004106,2011-07-04,TMIN,122
ASN00004106,2008-01-29,TMAX,415
ASN00004020,2006-06-25,TMAX,270
ASN00004106,2009-10-24,TMAX,421
ASN00004106,2011-08-19,TMIN,106
ASN00004106,2005-07-15,TMAX,236
ASN00004106,2009-02-20,TMIN,257
ASN00004106,2007-02-02,TMAX,453
ASN00004106,2006-10-14,TMIN,221
ASN00004106,2010-08-19,TMAX,280
ASN00004106,2011-06-09,TMIN,120
ASN00004106,2011-06-09,TMAX,247
ASN00004106,2010-03-28,TMIN,280
ASN00004106,2007-02-02,TMIN,260
ASN00004106,2013-05-09,TMAX,336
ASN00004106,2012-03-11,TMAX,285
ASN00004106,2007-11-23,TMAX,436
ASN00004106,2012-06-30,TMAX,250
ASN00004106,2006-07-19,TMAX,239
ASN00004106,2007-11-23,TMIN,293
ASN00004106,2012-12-21,TMAX,423
ASN00004106,2007-04-24,TMIN,231
ASN00004106,2005-07-18,TMAX,267
ASN00004106,2010-03-28,TMAX,434
ASN00004106,2010-08-03,TMAX,280
ASN00004106,2007-10-21,TMIN,208
ASN00004106,2015-11-21,TMAX,443
ASN00004106,2015-11-21,TMIN,302
ASN00004106,2012-12-21,TMIN,264
ASN00004106,2005-07-15,TMIN,109
ASN00004106,2015-09-30,TMIN,141
ASN00004106,2010-05-01,TMAX,367
ASN00004106,2011-03-25,TMIN,247
ASN00004106,2006-10-30,TMAX,401
ASN00004106,2015-02-04,TMIN,287
ASN00004106,2011-11-25,TMIN,257
ASN00004106,2006-10-14,TMAX,390
ASN00004106,2015-02-04,TMAX,420
ASN00004106,2012-03-11,TMIN,235
ASN00004106,2011-03-25,TMAX,353
ASN00004020,2005-04-13,TMIN,287
ASN00004106,2008-01-29,TMIN,225
ASN00004106,2010-10-04,TMAX,414
ASN00004106,2010-02-08,TMAX,412
ASN00004106,2015-10-12,TMAX,426
ASN00004106,2015-10-12,TMIN,212
ASN00004106,2014-12-11,TMAX,408
ASN00004106,2012-09-24,TMAX,385
ASN00004106,2005-02-08,TMAX,414
ASN00004106,2005-02-08,TMIN,276
ASN00004106,2012-09-24,TMIN,213
ASN00004106,2013-11-16,TMAX,379
ASN00004106,2014-10-16,TMAX,414
ASN00004020,2005-08-26,TMAX,271
ASN00004106,2009-07-22,TMIN,97
ASN00004106,2006-06-23,TMIN,71
ASN00004106,2014-10-16,TMIN,256
ASN00004106,2008-01-16,TMAX,421
ASN00004020,2006-01-26,TMIN,265
ASN00004106,2011-07-28,TMIN,104
ASN00004106,2005-02-21,TMAX,399
ASN00004106,2013-07-03,TMIN,109
ASN00004020,2006-08-15,TMAX,320
ASN00004020,2006-08-15,TMIN,90
ASN00004106,2008-01-16,TMIN,277
ASN00004106,2009-02-28,TMIN,236
ASN00004020,2005-01-03,TMAX,450
ASN00004106,2013-04-02,TMAX,325
ASN00004020,2005-04-13,TMAX,419
ASN00004106,2007-08-27,TMIN,133
ASN00004020,2005-04-19,TMIN,262
ASN00004106,2007-08-27,TMAX,347
ASN00004106,2013-04-02,TMIN,229
ASN00004106,2011-07-28,TMAX,309
ASN00004106,2009-07-22,TMAX,262
ASN00004106,2010-02-08,TMIN,254
ASN00004106,2013-07-03,TMAX,254
ASN00004106,2008-12-10,TMIN,231
ASN00004106,2014-11-18,TMIN,238
ASN00004106,2007-10-01,TMAX,394
ASN00004106,2008-09-19,TMIN,168
ASN00004020,2005-04-19,TMAX,412
ASN00004106,2015-08-30,TMAX,314
ASN00004106,2008-09-19,TMAX,356
ASN00004106,2014-11-18,TMAX,398
ASN00004106,2009-10-04,TMIN,142
ASN00004020,2005-08-26,TMIN,131
ASN00004106,2015-05-03,TMAX,317
ASN00004106,2009-04-04,TMIN,261
ASN00004106,2011-01-18,TMAX,391
ASN00004106,2011-07-03,TMAX,266
ASN00004106,2006-03-08,TMIN,252
ASN00004106,2009-10-04,TMAX,354
ASN00004106,2011-07-03,TMIN,126
ASN00004106,2006-03-08,TMAX,386
ASN00004106,2011-01-02,TMIN,261
ASN00004106,2012-10-29,TMIN,198
ASN00004106,2012-10-29,TMAX,389
ASN00004020,2005-01-03,TMIN,325
ASN00004106,2015-11-12,TMAX,431
ASN00004106,2007-01-17,TMIN,322
ASN00004106,2008-07-17,TMIN,79
ASN00004106,2011-08-19,TMAX,330
ASN00004106,2005-07-18,TMIN,110
ASN00004106,2010-10-04,TMIN,264
ASN00004106,2014-01-10,TMAX,443
ASN00004106,2014-01-10,TMIN,257
ASN00004106,2012-02-13,TMAX,423
ASN00004106,2009-01-26,TMAX,364
ASN00004106,2011-01-02,TMAX,383
ASN00004106,2008-07-17,TMAX,291
ASN00004106,2008-09-16,TMAX,365
ASN00004020,2005-12-07,TMIN,260
ASN00004106,2013-02-24,TMIN,258
ASN00004106,2005-11-21,TMAX,406
ASN00004106,2005-12-26,TMAX,434
ASN00004106,2014-11-14,TMAX,323
ASN00004106,2013-02-13,TMAX,409
ASN00004020,2005-05-15,TMIN,197
ASN00004106,2012-04-10,TMIN,220
ASN00004106,2012-04-10,TMAX,356
ASN00004106,2005-07-11,TMAX,233
ASN00004020,2005-09-24,TMAX,365
ASN00004106,2008-10-13,TMIN,277
ASN00004106,2015-11-29,TMIN,285
ASN00004106,2010-02-20,TMIN,273
ASN00004106,2006-04-18,TMIN,238
ASN00004106,2005-05-10,TMAX,343
ASN00004106,2009-05-14,TMIN,174
ASN00004106,2005-07-11,TMIN,120
ASN00004106,2009-11-25,TMIN,188
ASN00004106,2009-12-13,TMAX,411
ASN00004106,2015-11-25,TMAX,381
ASN00004106,2009-04-22,TMIN,236
ASN00004106,2015-09-01,TMAX,313
ASN00004106,2009-05-14,TMAX,285
ASN00004106,2015-12-13,TMIN,270
ASN00004106,2006-04-18,TMAX,344
ASN00004106,2015-12-13,TMAX,443
ASN00004106,2005-10-30,TMAX,416
ASN00004106,2013-10-24,TMAX,398
ASN00004106,2009-04-25,TMIN,165
ASN00004106,2005-10-30,TMIN,191
ASN00004106,2014-06-19,TMIN,78
ASN00004106,2009-05-02,TMAX,329
ASN00004106,2010-02-20,TMAX,464
ASN00004106,2009-04-22,TMAX,344
ASN00004106,2005-05-10,TMIN,187
ASN00004106,2013-02-13,TMIN,261
ASN00004106,2010-05-27,TMAX,289
ASN00004106,2010-05-27,TMIN,153
ASN00004106,2008-11-17,TMIN,199
ASN00004020,2005-02-07,TMIN,268
ASN00004106,2014-11-14,TMIN,254
ASN00004020,2005-08-21,TMAX,274
ASN00004106,2008-11-17,TMAX,379
ASN00004020,2005-05-15,TMAX,360
ASN00004106,2013-02-07,TMAX,441
ASN00004106,2011-10-18,TMIN,223
ASN00004106,2013-04-17,TMAX,386
ASN00004106,2005-07-26,TMAX,281
ASN00004020,2005-08-21,TMIN,125
ASN00004106,2011-12-20,TMIN,310
ASN00004020,2005-05-12,TMIN,187
ASN00004106,2013-02-07,TMIN,262
ASN00004106,2009-12-09,TMAX,440
ASN00004020,2005-02-07,TMAX,415
ASN00004106,2015-12-28,TMIN,275
ASN00004106,2007-04-01,TMIN,228
ASN00004106,2015-09-01,TMIN,172
ASN00004106,2014-07-13,TMAX,235
ASN00004020,2005-09-24,TMIN,223
ASN00004106,2015-11-29,TMAX,448
ASN00004106,2013-05-06,TMAX,372
ASN00004020,2005-10-05,TMIN,250
ASN00004106,2009-05-16,TMAX,264
ASN00004106,2013-11-10,TMIN,214
ASN00004106,2009-12-09,TMIN,265
ASN00004106,2011-12-20,TMAX,471
ASN00004106,2013-05-06,TMIN,187
ASN00004020,2005-10-05,TMAX,410
ASN00004106,2007-04-01,TMAX,342
ASN00004106,2005-07-26,TMIN,176
ASN00004106,2015-11-25,TMIN,274
ASN00004106,2014-03-23,TMAX,410
ASN00004106,2005-12-26,TMIN,276
ASN00004106,2009-12-13,TMIN,290
ASN00004106,2007-07-25,TMIN,127
ASN00004106,2008-08-26,TMAX,319
ASN00004106,2009-02-03,TMAX,432
ASN00004106,2011-09-08,TMAX,268
ASN00004106,2007-02-03,TMAX,459
ASN00004106,2007-02-03,TMIN,252
ASN00004106,2011-09-08,TMIN,151
ASN00004020,2006-08-06,TMAX,320
ASN00004020,2006-05-14,TMAX,300
ASN00004106,2015-12-09,TMIN,269
ASN00004020,2006-08-06,TMIN,100
ASN00004106,2009-11-25,TMAX,394
ASN00004106,2008-02-14,TMAX,404
ASN00004106,2008-05-01,TMAX,358
ASN00004106,2012-05-28,TMIN,127
ASN00004106,2014-06-19,TMAX,278
ASN00004106,2005-04-25,TMAX,378
ASN00004106,2015-12-31,TMAX,442
ASN00004106,2007-07-25,TMAX,304
ASN00004106,2008-10-13,TMAX,414
ASN00004106,2008-11-26,TMAX,404
ASN00004106,2009-09-04,TMAX,347
ASN00004106,2005-07-09,TMAX,276
ASN00004106,2015-12-09,TMAX,433
ASN00004106,2009-09-04,TMIN,125
ASN00004106,2007-10-12,TMAX,384
ASN00004106,2008-10-24,TMAX,422
ASN00004106,2014-08-13,TMAX,268
ASN00004106,2008-08-26,TMIN,111
ASN00004106,2009-04-07,TMAX,347
ASN00004106,2009-04-07,TMIN,237
ASN00004106,2005-02-21,TMIN,224
ASN00004106,2005-11-18,TMIN,300
ASN00004020,2005-10-31,TMAX,430
ASN00004106,2009-05-02,TMIN,207
ASN00004106,2008-10-24,TMIN,205
ASN00004106,2008-11-26,TMIN,210
ASN00004106,2011-04-13,TMIN,271
ASN00004106,2013-11-10,TMAX,411
ASN00004106,2011-04-13,TMAX,377
ASN00004106,2005-08-28,TMAX,303
ASN00004106,2005-08-28,TMIN,125
ASN00004106,2009-04-25,TMAX,317
ASN00004106,2013-01-22,TMAX,346
ASN00004106,2013-04-12,TMIN,223
ASN00004106,2013-04-12,TMAX,361
ASN00004106,2008-06-15,TMIN,145
ASN00004106,2007-07-09,TMIN,82
ASN00004106,2011-09-07,TMIN,177
ASN00004106,2013-04-17,TMIN,216
ASN00004106,2007-07-09,TMAX,262
ASN00004106,2013-03-22,TMIN,268
ASN00004106,2013-04-13,TMIN,176
ASN00004106,2013-10-24,TMIN,233
ASN00004106,2012-05-28,TMAX,270
ASN00004106,2011-09-07,TMAX,297
ASN00004106,2011-06-04,TMAX,293
ASN00004106,2013-03-22,TMAX,418
ASN00004106,2008-02-14,TMIN,269
ASN00004020,2005-10-31,TMIN,212
ASN00004106,2008-05-01,TMIN,194
ASN00004106,2013-06-18,TMIN,161
ASN00004106,2014-08-13,TMIN,155
ASN00004106,2013-06-18,TMAX,177
ASN00004106,2012-04-23,TMIN,220
ASN00004106,2013-04-13,TMAX,374
ASN00004106,2008-06-15,TMAX,292
ASN00004106,2013-01-22,TMIN,242
ASN00004106,2012-04-23,TMAX,335
ASN00004106,2005-09-04,TMIN,136
ASN00004106,2013-06-14,TMIN,155
ASN00004106,2014-03-23,TMIN,267
ASN00004106,2009-12-12,TMAX,407
ASN00004106,2011-10-02,TMAX,334
ASN00004106,2009-10-22,TMAX,414
ASN00004106,2006-10-26,TMIN,241
ASN00004106,2008-01-10,TMIN,306
ASN00004106,2010-05-25,TMAX,281
ASN00004106,2007-12-31,TMAX,386
ASN00004106,2008-01-10,TMAX,475
ASN00004106,2006-10-26,TMAX,392
ASN00004020,2005-08-15,TMAX,286
ASN00004020,2005-12-18,TMAX,400
ASN00004106,2011-10-02,TMIN,179
ASN00004106,2013-11-02,TMIN,277
ASN00004106,2015-03-26,TMIN,251
ASN00004020,2005-05-23,TMIN,212
ASN00004106,2009-10-22,TMIN,206
ASN00004106,2011-05-29,TMIN,150
ASN00004106,2012-06-16,TMIN,82
ASN00004106,2005-05-18,TMIN,170
