ID,Date,Element,Data_Value
RSM00034083,2012-03-17,TMIN,-102
RSM00034083,2015-04-20,TMIN,7
RSM00034083,2015-04-20,TMAX,73
RSM00034083,2012-07-22,TMIN,182
RSM00034083,2013-12-21,TMIN,-42
RSM00034083,2013-03-24,TMIN,-21
RSM00034083,2013-03-24,TMAX,58
RSM00034083,2012-05-16,TMIN,105
RSM00034083,2015-04-22,TMIN,16
RSM00034083,2012-07-22,TMAX,275
RSM00034083,2013-10-06,TMIN,3
RSM00034083,2012-07-17,TMAX,375
RSM00034083,2014-04-20,TMIN,69
RSM00034083,2015-05-03,TMIN,131
RSM00034083,2012-05-03,TMAX,190
RSM00034083,2014-12-11,TMIN,-104
RSM00034083,2013-05-14,TMIN,161
RSM00034083,2014-09-13,TMIN,135
RSM00034083,2015-02-24,TMAX,10
RSM00034083,2015-05-03,TMAX,218
RSM00034083,2015-01-19,TMIN,-19
RSM00034083,2012-05-03,TMIN,51
RSM00034083,2015-12-01,TMAX,3
RSM00034083,2013-08-19,TMIN,176
RSM00034083,2015-01-19,TMAX,21
RSM00034083,2015-04-22,TMAX,54
RSM00034083,2014-05-16,TMIN,186
RSM00034083,2014-12-30,TMIN,-143
RSM00034083,2012-09-06,TMAX,227
RSM00034083,2012-09-06,TMIN,147
RSM00034083,2012-02-01,TMAX,-179
RSM00034083,2013-12-11,TMIN,-79
RSM00034083,2015-02-24,TMIN,-77
RSM00034083,2012-11-08,TMAX,76
RSM00034083,2014-06-25,TMIN,144
RSM00034083,2015-12-01,TMIN,-12
RSM00034083,2012-03-23,TMIN,-46
RSM00034083,2013-11-25,TMIN,-30
RSM00034083,2015-01-01,TMIN,-196
RSM00034083,2013-10-26,TMIN,56
RSM00034083,2012-03-23,TMAX,20
RSM00034083,2012-11-08,TMIN,11
RSM00034083,2012-02-01,TMIN,-229
RSM00034083,2013-03-10,TMIN,-166
RSM00034083,2013-02-17,TMAX,-45
RSM00034083,2012-12-29,TMAX,1
RSM00034083,2015-12-26,TMIN,-68
RSM00034083,2014-08-19,TMIN,186
RSM00034083,2015-01-04,TMIN,0
RSM00034083,2013-11-08,TMIN,35
RSM00034083,2014-08-29,TMIN,146
RSM00034083,2012-11-20,TMAX,42
RSM00034083,2015-04-10,TMAX,109
RSM00034083,2014-01-20,TMIN,-204
RSM00034083,2015-10-17,TMAX,126
RSM00034083,2015-10-17,TMIN,28
RSM00034083,2014-06-27,TMIN,162
RSM00034083,2012-05-15,TMAX,205
RSM00034083,2012-11-20,TMIN,5
RSM00034083,2013-03-03,TMAX,-76
RSM00034083,2012-07-25,TMIN,170
RSM00034083,2012-07-25,TMAX,265
RSM00034083,2012-07-13,TMIN,218
RSM00034083,2012-09-09,TMAX,201
RSM00034083,2014-11-18,TMIN,-86
RSM00034083,2013-08-22,TMIN,175
RSM00034083,2014-03-12,TMIN,-22
RSM00034083,2012-07-13,TMAX,330
RSM00034083,2015-04-10,TMIN,17
RSM00034083,2012-06-05,TMAX,219
RSM00034083,2012-06-05,TMIN,126
RSM00034083,2014-03-04,TMIN,-120
RSM00034083,2015-03-09,TMIN,-99
RSM00034083,2015-12-22,TMAX,41
RSM00034083,2014-04-19,TMIN,37
RSM00034083,2013-05-03,TMIN,82
RSM00034083,2015-04-01,TMAX,59
RSM00034083,2015-04-01,TMIN,-56
RSM00034083,2014-12-22,TMAX,17
RSM00034083,2014-12-22,TMIN,-30
RSM00034083,2015-12-22,TMIN,13
RSM00034083,2012-04-08,TMIN,10
RSM00034083,2012-04-08,TMAX,133
RSM00034083,2013-10-17,TMIN,82
RSM00034083,2014-07-23,TMIN,158
RSM00034083,2014-05-13,TMIN,135
RSM00034083,2014-06-30,TMIN,103
RSM00034083,2012-03-24,TMAX,-18
RSM00034083,2013-04-15,TMAX,70
RSM00034083,2015-10-24,TMAX,28
RSM00034083,2013-04-15,TMIN,-2
RSM00034083,2012-12-02,TMIN,38
RSM00034083,2013-08-25,TMIN,192
RSM00034083,2013-04-24,TMIN,47
RSM00034083,2015-11-18,TMIN,-59
RSM00034083,2013-03-04,TMIN,-172
RSM00034083,2012-06-17,TMAX,249
RSM00034083,2013-03-04,TMAX,-82
RSM00034083,2015-02-21,TMIN,-88
RSM00034083,2014-09-23,TMIN,107
RSM00034083,2012-07-24,TMAX,252
RSM00034083,2012-08-27,TMIN,131
