ID,Date,Element,Data_Value
USC00163807,2012-05-24,TMIN,222
USC00163807,2014-05-06,TMAX,272
USC00163807,2012-12-10,TMAX,267
USC00163807,2014-05-06,TMIN,178
USC00163807,2013-12-23,TMAX,156
USC00163807,2013-10-17,TMIN,233
USC00163807,2011-04-02,TMIN,139
USC00163807,2011-05-22,TMIN,217
USC00163807,2013-10-22,TMAX,261
USC00163807,2013-12-23,TMIN,72
USC00163807,2011-05-22,TMAX,317
USC00163807,2012-05-24,TMAX,300
USC00163807,2012-12-22,TMAX,217
USC00163807,2013-07-09,TMAX,367
USC00163807,2011-04-12,TMAX,289
USC00163807,2011-08-09,TMAX,344
USC00163807,2014-01-21,TMAX,172
USC00163807,2013-12-02,TMIN,111
USC00163807,2012-03-14,TMAX,278
USC00163807,2011-08-09,TMIN,250
USC00163807,2011-04-12,TMIN,183
USC00163807,2011-12-16,TMAX,294
USC00163807,2014-01-21,TMIN,78
USC00163807,2011-04-10,TMAX,289
USC00163807,2012-12-10,TMIN,183
USC00163807,2012-11-21,TMAX,217
USC00163807,2013-12-02,TMAX,217
USC00163807,2011-12-25,TMIN,67
USC00163807,2011-04-10,TMIN,183
USC00163807,2011-10-15,TMIN,178
USC00163807,2013-12-27,TMIN,50
USC00163807,2012-01-30,TMAX,211
USC00163807,2012-01-30,TMIN,106
USC00163807,2012-11-11,TMAX,256
USC00163807,2011-06-20,TMIN,256
USC00163807,2011-12-27,TMIN,100
USC00163807,2011-10-15,TMAX,278
USC00163807,2012-11-11,TMIN,189
USC00163807,2013-10-17,TMAX,289
USC00163807,2011-05-27,TMAX,306
USC00163807,2013-07-28,TMIN,233
USC00163807,2012-12-04,TMIN,194
USC00163807,2011-08-02,TMIN,250
USC00163807,2011-04-02,TMAX,256
USC00163807,2011-06-20,TMAX,328
USC00163807,2013-06-15,TMAX,328
USC00163807,2011-10-23,TMAX,283
USC00163807,2011-07-15,TMIN,233
USC00163807,2012-12-04,TMAX,250
USC00163807,2013-07-27,TMIN,244
USC00163807,2013-12-20,TMAX,228
USC00163807,2013-06-04,TMIN,228
USC00163807,2013-06-04,TMAX,317
USC00163807,2011-05-27,TMIN,244
USC00163807,2011-06-06,TMIN,228
USC00163807,2011-12-16,TMIN,94
USC00163807,2014-06-17,TMIN,261
USC00163807,2011-05-10,TMIN,189
USC00163807,2011-07-15,TMAX,317
USC00163807,2014-06-27,TMAX,289
USC00163807,2011-07-11,TMIN,267
USC00163807,2011-05-10,TMAX,328
USC00163807,2013-10-22,TMIN,178
USC00163807,2011-07-11,TMAX,339
USC00163807,2012-11-25,TMAX,178
USC00163807,2014-06-27,TMIN,244
USC00163807,2014-04-26,TMAX,272
USC00163807,2012-01-01,TMIN,172
USC00163807,2011-09-27,TMAX,339
USC00163807,2011-09-27,TMIN,239
USC00163807,2011-08-02,TMAX,333
USC00163807,2012-12-11,TMIN,83
USC00163807,2012-03-14,TMIN,178
USC00163807,2011-02-09,TMAX,161
USC00163807,2014-06-17,TMAX,294
USC00163807,2012-05-22,TMIN,233
USC00163807,2012-12-11,TMAX,261
USC00163807,2012-07-26,TMIN,267
USC00163807,2013-08-24,TMIN,239
USC00163807,2011-10-23,TMIN,139
USC00163807,2012-11-21,TMIN,133
USC00163807,2013-09-10,TMAX,328
USC00163807,2012-05-22,TMAX,317
USC00163807,2013-06-15,TMIN,256
USC00163807,2013-09-10,TMIN,261
USC00163807,2013-07-28,TMAX,344
USC00163807,2012-07-26,TMAX,328
USC00163807,2012-11-25,TMIN,83
USC00163807,2012-01-01,TMAX,256
USC00163807,2011-06-12,TMAX,322
USC00163807,2011-06-10,TMAX,333
USC00163807,2013-09-30,TMAX,328
USC00163807,2014-07-04,TMAX,322
USC00163807,2013-04-24,TMAX,261
USC00163807,2013-09-15,TMIN,239
USC00163807,2013-09-15,TMAX,328
USC00163807,2012-04-04,TMAX,300
USC00163807,2014-07-04,TMIN,261
USC00163807,2012-04-04,TMIN,178
USC00163807,2011-04-23,TMIN,233
USC00163807,2011-09-04,TMAX,267
USC00163807,2011-09-04,TMIN,244
USC00163807,2012-01-14,TMAX,206
USC00163807,2012-01-14,TMIN,39
USC00163807,2011-12-24,TMIN,111
USC00163807,2011-04-23,TMAX,289
USC00163807,2012-06-28,TMIN,272
USC00163807,2011-09-29,TMIN,211
USC00163807,2013-07-11,TMIN,239
USC00163807,2011-11-03,TMIN,144
USC00163807,2012-01-24,TMAX,217
USC00163807,2011-11-03,TMAX,283
USC00163807,2011-08-16,TMIN,239
USC00163807,2011-12-26,TMIN,150
USC00163807,2013-10-10,TMAX,294
USC00163807,2011-02-23,TMIN,122
USC00163807,2011-08-16,TMAX,344
USC00163807,2012-04-25,TMIN,161
USC00163807,2012-04-25,TMAX,256
USC00163807,2011-01-13,TMIN,-17
