ID,Date,Element,Data_Value
RSM00027459,2013-08-28,TMIN,69
RSM00027459,2005-03-02,TMIN,-157
RSM00027459,2006-11-03,TMIN,19
RSM00027459,2012-06-28,TMAX,216
RSM00027459,2007-04-23,TMAX,105
RSM00027459,2009-10-19,TMIN,53
RSM00027459,2008-10-09,TMIN,40
RSM00027459,2012-06-28,TMIN,142
RSM00027459,2008-09-08,TMAX,247
RSM00027459,2012-04-09,TMIN,29
RSM00027459,2014-07-07,TMAX,246
RSM00027459,2008-08-12,TMIN,146
RSM00027459,2007-04-05,TMIN,11
RSM00027459,2010-05-29,TMIN,104
RSM00027459,2005-10-14,TMAX,140
RSM00027459,2006-10-05,TMAX,155
RSM00027459,2012-01-15,TMAX,-2
RSM00027459,2013-06-27,TMIN,206
RSM00027459,2009-10-19,TMAX,135
RSM00027459,2012-12-20,TMIN,-227
RSM00027459,2010-03-25,TMIN,-63
RSM00027459,2007-07-18,TMAX,229
RSM00027459,2008-10-12,TMAX,137
RSM00027459,2008-03-02,TMAX,19
RSM00027459,2008-08-12,TMAX,255
RSM00027459,2008-04-18,TMIN,35
RSM00027459,2013-08-28,TMAX,189
RSM00027459,2011-01-26,TMIN,-161
RSM00027459,2010-11-24,TMIN,-75
RSM00027459,2015-01-18,TMIN,-26
RSM00027459,2010-05-31,TMAX,232
RSM00027459,2008-09-08,TMIN,189
RSM00027459,2010-05-31,TMIN,116
RSM00027459,2007-12-13,TMAX,-45
RSM00027459,2005-06-08,TMIN,125
RSM00027459,2005-06-08,TMAX,250
RSM00027459,2011-10-09,TMIN,129
RSM00027459,2012-11-22,TMAX,22
RSM00027459,2012-01-15,TMIN,-22
RSM00027459,2008-01-07,TMAX,-166
RSM00027459,2008-05-18,TMAX,201
RSM00027459,2014-03-10,TMIN,9
RSM00027459,2005-05-30,TMIN,125
RSM00027459,2005-10-14,TMIN,35
RSM00027459,2008-01-21,TMAX,-5
RSM00027459,2006-10-05,TMIN,94
RSM00027459,2011-12-26,TMAX,-33
RSM00027459,2008-05-01,TMAX,225
RSM00027459,2005-03-02,TMAX,-108
RSM00027459,2013-12-17,TMIN,-129
RSM00027459,2005-09-07,TMAX,185
RSM00027459,2013-12-17,TMAX,-22
RSM00027459,2008-04-18,TMAX,106
RSM00027459,2012-03-17,TMIN,-95
RSM00027459,2009-06-29,TMAX,237
RSM00027459,2011-01-31,TMIN,-103
RSM00027459,2015-11-16,TMIN,-41
RSM00027459,2012-05-19,TMIN,142
RSM00027459,2010-09-12,TMIN,107
RSM00027459,2011-05-06,TMAX,121
RSM00027459,2008-12-24,TMIN,-74
RSM00027459,2005-04-20,TMIN,40
RSM00027459,2015-11-14,TMIN,-61
RSM00027459,2012-05-19,TMAX,264
RSM00027459,2011-01-26,TMAX,-117
RSM00027459,2005-05-31,TMIN,100
RSM00027459,2009-06-29,TMIN,163
RSM00027459,2009-06-02,TMIN,154
RSM00027459,2010-05-29,TMAX,190
RSM00027459,2005-05-30,TMAX,177
RSM00027459,2011-03-13,TMAX,-5
RSM00027459,2013-06-27,TMAX,318
RSM00027459,2007-11-02,TMIN,22
RSM00027459,2007-07-09,TMIN,148
RSM00027459,2006-10-20,TMAX,33
RSM00027459,2005-09-07,TMIN,80
RSM00027459,2005-01-31,TMAX,-94
RSM00027459,2012-03-19,TMAX,41
RSM00027459,2012-03-17,TMAX,14
RSM00027459,2008-10-09,TMAX,115
RSM00027459,2008-03-22,TMIN,-65
RSM00027459,2008-03-22,TMAX,25
RSM00027459,2012-04-09,TMAX,62
RSM00027459,2009-06-06,TMIN,94
RSM00027459,2009-06-06,TMAX,212
RSM00027459,2006-02-27,TMIN,-99
RSM00027459,2013-04-05,TMIN,-22
RSM00027459,2008-09-02,TMAX,128
RSM00027459,2008-09-02,TMIN,48
RSM00027459,2005-11-24,TMIN,-30
RSM00027459,2005-01-31,TMIN,-127
RSM00027459,2005-03-03,TMAX,-74
RSM00027459,2009-05-16,TMIN,52
RSM00027459,2013-08-08,TMAX,261
RSM00027459,2013-08-08,TMIN,118
RSM00027459,2007-04-21,TMIN,41
RSM00027459,2006-11-17,TMIN,-39
RSM00027459,2009-05-03,TMAX,183
RSM00027459,2013-10-05,TMAX,50
RSM00027459,2009-05-03,TMIN,91
RSM00027459,2015-04-10,TMIN,-6
RSM00027459,2012-01-04,TMIN,-54
RSM00027459,2011-03-15,TMAX,20
RSM00027459,2011-12-23,TMAX,-41
RSM00027459,2008-07-04,TMIN,143
