ID,Date,Element,Data_Value
NOE00109746,2007-03-20,TMIN,1
NOE00109746,2006-04-15,TMIN,19
NOE00109746,2007-01-29,TMAX,37
NOE00109746,2014-04-01,TMAX,92
NOE00109746,2013-05-23,TMIN,35
NOE00109746,2006-09-14,TMIN,115
NOE00109746,2007-03-20,TMAX,25
NOE00109746,2015-12-16,TMAX,39
NOE00109746,2011-11-17,TMIN,-30
NOE00109746,2006-04-15,TMAX,107
NOE00109746,2005-11-11,TMIN,50
NOE00109746,2015-06-22,TMAX,207
NOE00109746,2005-11-11,TMAX,107
NOE00109746,2013-02-14,TMIN,-8
NOE00109746,2012-12-04,TMIN,-84
NOE00109746,2012-06-01,TMIN,35
NOE00109746,2013-05-09,TMIN,91
NOE00109746,2012-12-04,TMAX,-33
NOE00109746,2014-09-05,TMIN,83
NOE00109746,2014-09-05,TMAX,175
NOE00109746,2013-12-05,TMAX,8
NOE00109746,2013-09-11,TMAX,166
NOE00109746,2015-05-30,TMAX,128
NOE00109746,2015-06-22,TMIN,90
NOE00109746,2009-10-11,TMIN,55
NOE00109746,2012-10-20,TMAX,118
NOE00109746,2009-10-11,TMAX,94
NOE00109746,2009-04-22,TMIN,67
NOE00109746,2012-10-20,TMIN,20
NOE00109746,2008-08-27,TMAX,167
NOE00109746,2013-02-14,TMAX,43
NOE00109746,2012-06-01,TMAX,99
NOE00109746,2013-05-23,TMAX,151
NOE00109746,2006-09-14,TMAX,245
NOE00109746,2013-12-05,TMIN,-23
NOE00109746,2009-04-22,TMAX,135
NOE00109746,2009-12-08,TMIN,53
NOE00109746,2006-06-25,TMIN,104
NOE00109746,2012-04-21,TMIN,58
NOE00109746,2010-08-16,TMAX,239
NOE00109746,2008-10-01,TMAX,110
NOE00109746,2013-02-24,TMIN,-49
NOE00109746,2007-08-30,TMIN,37
NOE00109746,2012-06-24,TMIN,134
NOE00109746,2012-06-24,TMAX,224
NOE00109746,2013-02-24,TMAX,31
NOE00109746,2010-09-04,TMIN,44
NOE00109746,2011-05-30,TMAX,160
NOE00109746,2008-10-01,TMIN,44
NOE00109746,2009-08-21,TMIN,137
NOE00109746,2009-08-21,TMAX,272
NOE00109746,2013-04-05,TMAX,53
NOE00109746,2013-04-05,TMIN,-32
NOE00109746,2005-07-21,TMIN,142
NOE00109746,2010-02-23,TMAX,-85
NOE00109746,2010-02-23,TMIN,-141
NOE00109746,2008-07-18,TMAX,153
NOE00109746,2010-09-04,TMAX,161
NOE00109746,2013-04-28,TMAX,110
NOE00109746,2011-05-30,TMIN,68
NOE00109746,2008-10-26,TMAX,131
NOE00109746,2009-03-01,TMAX,72
NOE00109746,2007-08-30,TMAX,138
NOE00109746,2010-11-05,TMAX,68
NOE00109746,2013-03-16,TMIN,-16
NOE00109746,2013-03-16,TMAX,35
NOE00109746,2007-10-24,TMAX,94
NOE00109746,2007-10-24,TMIN,45
NOE00109746,2005-01-25,TMAX,21
NOE00109746,2009-01-13,TMAX,90
NOE00109746,2009-01-13,TMIN,34
NOE00109746,2007-06-04,TMAX,220
NOE00109746,2013-08-29,TMIN,89
NOE00109746,2007-06-24,TMIN,120
NOE00109746,2015-12-23,TMAX,105
NOE00109746,2007-06-04,TMIN,70
NOE00109746,2014-10-30,TMAX,59
NOE00109746,2013-07-16,TMIN,104
NOE00109746,2014-10-30,TMIN,36
NOE00109746,2005-01-25,TMIN,-50
NOE00109746,2010-08-16,TMIN,117
NOE00109746,2006-05-19,TMIN,100
NOE00109746,2013-07-16,TMAX,135
NOE00109746,2015-12-28,TMIN,-3
NOE00109746,2010-10-26,TMAX,74
NOE00109746,2008-03-12,TMIN,68
NOE00109746,2008-10-26,TMIN,48
NOE00109746,2014-03-03,TMIN,41
NOE00109746,2008-03-02,TMAX,67
NOE00109746,2012-04-24,TMIN,45
NOE00109746,2012-04-24,TMAX,106
NOE00109746,2015-07-19,TMAX,144
NOE00109746,2015-07-19,TMIN,103
NOE00109746,2009-03-15,TMIN,7
NOE00109746,2010-01-30,TMIN,-59
NOE00109746,2010-01-30,TMAX,-7
NOE00109746,2008-08-27,TMIN,79
NOE00109746,2011-11-17,TMAX,57
NOE00109746,2015-06-14,TMAX,118
NOE00109746,2013-05-30,TMAX,255
NOE00109746,2015-01-02,TMIN,1
NOE00109746,2012-04-21,TMAX,102
NOE00109746,2009-06-13,TMIN,96
NOE00109746,2013-05-30,TMIN,119
NOE00109746,2014-04-01,TMIN,1
NOE00109746,2015-01-02,TMAX,92
NOE00109746,2007-01-04,TMAX,118
NOE00109746,2008-02-11,TMAX,67
NOE00109746,2006-06-25,TMAX,160
NOE00109746,2014-03-19,TMIN,-6
NOE00109746,2006-07-15,TMAX,204
NOE00109746,2008-03-12,TMAX,109
NOE00109746,2011-01-04,TMAX,39
NOE00109746,2013-04-28,TMIN,45
NOE00109746,2011-01-04,TMIN,-16
NOE00109746,2008-02-11,TMIN,-22
NOE00109746,2005-05-25,TMAX,164
NOE00109746,2010-10-26,TMIN,-4
NOE00109746,2009-05-19,TMIN,112
NOE00109746,2005-05-25,TMIN,84
NOE00109746,2008-07-18,TMIN,99
NOE00109746,2009-05-19,TMAX,187
NOE00109746,2014-03-19,TMAX,55
