ID,Date,Element,Data_Value
ARM00087934,2008-03-31,TMAX,172
ARM00087934,2008-04-16,TMAX,103
ARM00087934,2008-03-26,TMAX,131
ARM00087934,2008-04-04,TMAX,130
ARM00087934,2008-04-13,TMIN,17
ARM00087934,2008-04-08,TMAX,78
ARM00087934,2008-04-06,TMIN,8
ARM00087934,2008-03-25,TMAX,174
ARM00087934,2008-03-28,TMAX,140
ARM00087934,2009-04-29,TMIN,-38
ARM00087934,2008-03-18,TMAX,118
ARM00087934,2008-04-18,TMIN,2
ARM00087934,2008-03-17,TMIN,58
ARM00087934,2008-03-27,TMIN,60
ARM00087934,2008-03-17,TMAX,128
ARM00087934,2008-04-06,TMAX,128
ARM00087934,2012-01-10,TMAX,170
ARM00087934,2008-04-17,TMAX,95
ARM00087934,2008-04-15,TMAX,112
ARM00087934,2008-04-02,TMAX,125
ARM00087934,2008-04-09,TMAX,67
ARM00087934,2008-04-10,TMIN,-7
ARM00087934,2008-09-16,TMIN,-12
ARM00087934,2008-03-28,TMIN,70
ARM00087934,2008-03-16,TMIN,69
ARM00087934,2008-04-03,TMIN,58
ARM00087934,2008-04-11,TMAX,75
