ID,Date,Element,Data_Value
ASN00046128,2010-04-08,TMIN,199
ASN00046128,2011-05-18,TMIN,61
ASN00046128,2012-04-20,TMIN,113
ASN00046128,2015-04-09,TMAX,237
ASN00046128,2010-07-25,TMAX,157
ASN00046128,2012-04-04,TMAX,315
ASN00046128,2013-03-07,TMAX,339
ASN00046128,2015-01-22,TMIN,230
ASN00046128,2007-02-09,TMAX,346
ASN00046128,2013-06-16,TMAX,144
ASN00046128,2015-04-09,TMIN,64
ASN00046128,2006-01-29,TMIN,270
ASN00046128,2013-06-16,TMIN,32
ASN00046128,2009-02-24,TMAX,344
ASN00046128,2012-04-04,TMIN,178
ASN00046128,2009-05-28,TMIN,66
ASN00046128,2011-09-09,TMAX,184
ASN00046128,2007-01-06,TMIN,279
ASN00046128,2010-08-07,TMIN,-2
ASN00046128,2010-05-17,TMIN,90
ASN00046128,2011-12-15,TMAX,313
ASN00046128,2009-05-28,TMAX,169
ASN00046128,2006-06-19,TMAX,173
ASN00046128,2014-08-29,TMAX,233
ASN00046128,2011-09-09,TMIN,50
ASN00046128,2007-11-30,TMAX,344
ASN00046128,2015-05-22,TMAX,150
ASN00046128,2008-08-07,TMIN,34
ASN00046128,2008-08-07,TMAX,137
ASN00046128,2010-08-07,TMAX,153
ASN00046128,2009-04-26,TMIN,101
ASN00046128,2010-04-27,TMIN,143
ASN00046128,2005-09-08,TMAX,328
ASN00046128,2014-03-11,TMIN,222
ASN00046128,2014-08-29,TMIN,54
ASN00046128,2008-12-15,TMIN,130
ASN00046128,2011-03-15,TMIN,215
ASN00046128,2007-03-27,TMAX,329
ASN00046128,2011-04-30,TMAX,262
ASN00046128,2012-10-02,TMIN,67
ASN00046128,2014-03-11,TMAX,367
ASN00046128,2009-02-24,TMIN,194
ASN00046128,2012-01-17,TMAX,367
ASN00046128,2013-07-24,TMIN,56
ASN00046128,2006-06-22,TMAX,193
ASN00046128,2006-01-29,TMAX,425
ASN00046128,2012-01-13,TMIN,151
ASN00046128,2005-09-08,TMIN,148
ASN00046128,2013-03-07,TMIN,210
ASN00046128,2015-05-31,TMAX,173
ASN00046128,2012-10-02,TMAX,256
ASN00046128,2005-08-09,TMIN,68
ASN00046128,2011-10-15,TMIN,121
ASN00046128,2010-06-14,TMIN,9
ASN00046128,2005-08-09,TMAX,202
ASN00046128,2015-12-04,TMAX,365
ASN00046128,2009-06-18,TMAX,187
ASN00046128,2009-08-31,TMIN,36
ASN00046128,2009-08-31,TMAX,191
ASN00046128,2011-06-10,TMIN,1
ASN00046128,2013-10-18,TMIN,98
ASN00046128,2014-03-28,TMIN,141
ASN00046128,2007-04-26,TMAX,205
ASN00046128,2007-04-26,TMIN,142
ASN00046128,2015-12-17,TMIN,245
ASN00046128,2014-08-21,TMAX,197
ASN00046128,2014-08-21,TMIN,71
ASN00046128,2006-05-30,TMIN,4
ASN00046128,2014-03-25,TMAX,264
ASN00046128,2007-02-24,TMIN,251
ASN00046128,2006-05-30,TMAX,158
ASN00046128,2008-03-08,TMAX,379
ASN00046128,2012-09-28,TMIN,247
ASN00046128,2011-06-10,TMAX,153
ASN00046128,2005-08-03,TMAX,219
ASN00046128,2005-08-21,TMAX,193
ASN00046128,2011-11-24,TMAX,262
ASN00046128,2006-08-06,TMIN,34
ASN00046128,2011-03-15,TMAX,344
ASN00046128,2011-06-08,TMAX,136
ASN00046128,2011-06-08,TMIN,36
ASN00046128,2012-05-28,TMIN,59
ASN00046128,2012-05-28,TMAX,165
ASN00046128,2008-03-08,TMIN,211
ASN00046128,2010-07-30,TMAX,159
ASN00046128,2013-07-24,TMAX,160
ASN00046128,2015-03-16,TMIN,135
ASN00046128,2008-08-01,TMAX,162
ASN00046128,2015-12-17,TMAX,411
ASN00046128,2008-08-01,TMIN,120
ASN00046128,2008-04-19,TMIN,133
ASN00046128,2010-06-14,TMAX,152
ASN00046128,2013-05-12,TMAX,235
ASN00046128,2015-03-16,TMAX,335
ASN00046128,2012-06-29,TMAX,193
ASN00046128,2011-03-05,TMIN,151
ASN00046128,2015-06-05,TMAX,171
ASN00046128,2005-06-13,TMIN,113
ASN00046128,2014-04-08,TMIN,191
ASN00046128,2011-02-14,TMIN,169
ASN00046128,2013-07-08,TMIN,8
ASN00046128,2009-04-30,TMIN,49
ASN00046128,2009-04-30,TMAX,207
ASN00046128,2009-04-26,TMAX,193
ASN00046128,2007-05-04,TMAX,255
ASN00046128,2011-02-14,TMAX,316
ASN00046128,2015-11-15,TMIN,152
ASN00046128,2013-07-08,TMAX,174
ASN00046128,2010-06-16,TMIN,62
ASN00046128,2014-11-27,TMIN,175
ASN00046128,2014-03-25,TMIN,115
ASN00046128,2010-07-30,TMIN,95
ASN00046128,2013-06-03,TMIN,60
ASN00046128,2008-05-19,TMIN,45
ASN00046128,2011-01-02,TMIN,267
ASN00046128,2014-11-27,TMAX,324
ASN00046128,2007-05-04,TMIN,128
ASN00046128,2015-12-01,TMAX,323
ASN00046128,2015-06-26,TMAX,149
ASN00046128,2005-03-09,TMAX,318
ASN00046128,2015-12-01,TMIN,206
ASN00046128,2012-06-29,TMIN,52
ASN00046128,2013-06-03,TMAX,164
ASN00046128,2011-03-05,TMAX,291
ASN00046128,2011-01-03,TMAX,362
ASN00046128,2010-08-06,TMIN,7
ASN00046128,2009-06-18,TMIN,39
ASN00046128,2012-09-28,TMAX,272
ASN00046128,2009-09-29,TMAX,242
ASN00046128,2005-03-09,TMIN,126
ASN00046128,2010-06-16,TMAX,228
ASN00046128,2013-02-12,TMIN,207
ASN00046128,2015-06-26,TMIN,32
ASN00046128,2012-03-28,TMAX,289
ASN00046128,2007-09-26,TMIN,194
ASN00046128,2013-02-12,TMAX,351
ASN00046128,2009-09-29,TMIN,42
ASN00046128,2011-01-02,TMAX,402
ASN00046128,2005-08-21,TMIN,39
ASN00046128,2007-01-06,TMAX,383
ASN00046128,2007-02-24,TMAX,348
ASN00046128,2010-05-12,TMAX,161
ASN00046128,2009-03-26,TMAX,336
ASN00046128,2007-03-08,TMIN,185
ASN00046128,2013-02-14,TMIN,218
ASN00046128,2011-06-03,TMAX,225
ASN00046128,2015-03-28,TMIN,105
ASN00046128,2012-01-13,TMAX,294
ASN00046128,2005-06-20,TMAX,153
ASN00046128,2006-10-09,TMIN,95
ASN00046128,2007-03-08,TMAX,334
ASN00046128,2009-04-16,TMIN,142
ASN00046128,2009-04-05,TMIN,110
ASN00046128,2012-06-25,TMIN,1
ASN00046128,2014-06-12,TMAX,184
ASN00046128,2009-08-05,TMIN,36
ASN00046128,2006-10-09,TMAX,228
ASN00046128,2014-06-12,TMIN,108
ASN00046128,2012-06-25,TMAX,158
ASN00046128,2015-03-28,TMAX,270
ASN00046128,2009-04-05,TMAX,239
ASN00046128,2013-08-13,TMAX,213
ASN00046128,2006-11-27,TMAX,385
ASN00046128,2010-05-24,TMIN,108
ASN00046128,2011-11-24,TMIN,156
ASN00046128,2007-03-27,TMIN,170
ASN00046128,2010-08-06,TMAX,138
ASN00046128,2011-06-29,TMAX,197
ASN00046128,2009-10-19,TMIN,84
ASN00046128,2010-07-25,TMIN,47
ASN00046128,2009-04-16,TMAX,286
ASN00046128,2013-02-14,TMAX,277
ASN00046128,2009-10-07,TMIN,83
ASN00046128,2011-12-27,TMAX,314
ASN00046128,2008-04-07,TMIN,124
ASN00046128,2011-12-27,TMIN,168
ASN00046128,2009-10-19,TMAX,289
ASN00046128,2009-12-08,TMAX,344
ASN00046128,2011-06-03,TMIN,40
ASN00046128,2005-03-29,TMAX,326
ASN00046128,2009-10-07,TMAX,189
ASN00046128,2011-06-29,TMIN,46
ASN00046128,2009-12-08,TMIN,194
ASN00046128,2006-11-27,TMIN,265
ASN00046128,2005-06-20,TMIN,74
ASN00046128,2011-12-15,TMIN,180
ASN00046128,2012-03-06,TMAX,250
ASN00046128,2011-08-22,TMAX,224
ASN00046128,2009-07-26,TMIN,66
ASN00046128,2015-01-27,TMAX,280
ASN00046128,2013-05-12,TMIN,180
ASN00046128,2006-03-25,TMIN,160
ASN00046128,2009-07-26,TMAX,137
ASN00046128,2013-11-28,TMAX,409
ASN00046128,2015-01-22,TMAX,348
ASN00046128,2014-07-28,TMAX,223
ASN00046128,2009-06-23,TMIN,92
ASN00046128,2008-05-19,TMAX,195
ASN00046128,2011-07-18,TMAX,162
ASN00046128,2013-07-27,TMIN,37
ASN00046128,2012-02-19,TMIN,226
ASN00046128,2011-07-18,TMIN,42
ASN00046128,2005-03-26,TMAX,255
ASN00046128,2010-11-20,TMIN,129
ASN00046128,2014-07-28,TMIN,18
ASN00046128,2013-11-28,TMIN,280
ASN00046128,2015-11-15,TMAX,277
ASN00046128,2012-08-09,TMIN,101
ASN00046128,2011-01-03,TMIN,245
ASN00046128,2009-03-26,TMIN,195
ASN00046128,2012-10-29,TMIN,128
ASN00046128,2013-07-27,TMAX,231
ASN00046128,2015-05-22,TMIN,56
ASN00046128,2011-10-13,TMAX,293
ASN00046128,2012-03-06,TMIN,145
ASN00046128,2010-04-27,TMAX,241
ASN00046128,2015-08-20,TMAX,242
ASN00046128,2015-01-18,TMIN,196
ASN00046128,2011-10-13,TMIN,141
ASN00046128,2008-01-01,TMIN,237
ASN00046128,2006-08-06,TMAX,172
ASN00046128,2012-02-19,TMAX,419
ASN00046128,2015-08-20,TMIN,103
ASN00046128,2008-01-01,TMAX,389
ASN00046128,2006-03-25,TMAX,323
ASN00046128,2010-11-20,TMAX,318
ASN00046128,2012-08-09,TMAX,169
ASN00046128,2010-05-12,TMIN,69
ASN00046128,2012-06-20,TMAX,188
ASN00046128,2006-10-11,TMAX,339
ASN00046128,2015-10-29,TMAX,350
ASN00046128,2014-04-12,TMIN,147
ASN00046128,2013-12-21,TMAX,430
ASN00046128,2006-12-18,TMAX,376
ASN00046128,2007-11-18,TMIN,214
ASN00046128,2006-09-03,TMAX,246
ASN00046128,2007-11-13,TMIN,170
ASN00046128,2006-07-25,TMAX,156
ASN00046128,2008-01-12,TMAX,399
ASN00046128,2006-12-18,TMIN,195
ASN00046128,2007-11-18,TMAX,385
ASN00046128,2006-09-03,TMIN,171
ASN00046128,2005-01-01,TMIN,216
ASN00046128,2014-04-12,TMAX,224
ASN00046128,2009-11-14,TMIN,220
ASN00046128,2010-03-27,TMIN,173
ASN00046128,2009-06-22,TMIN,42
ASN00046128,2008-10-10,TMAX,272
ASN00046128,2009-02-18,TMAX,307
ASN00046128,2006-06-16,TMAX,150
ASN00046128,2015-07-07,TMAX,168
ASN00046128,2009-02-18,TMIN,165
ASN00046128,2007-11-02,TMIN,175
ASN00046128,2015-07-27,TMAX,142
ASN00046128,2012-10-26,TMIN,118
ASN00046128,2013-04-23,TMIN,79
ASN00046128,2010-03-27,TMAX,352
ASN00046128,2006-11-25,TMIN,174
ASN00046128,2008-01-12,TMIN,228
ASN00046128,2005-05-08,TMIN,123
ASN00046128,2009-06-22,TMAX,216
ASN00046128,2006-01-07,TMIN,211
ASN00046128,2014-08-28,TMIN,82
ASN00046128,2006-11-25,TMAX,388
ASN00046128,2011-08-18,TMIN,43
ASN00046128,2007-05-09,TMAX,179
ASN00046128,2013-09-25,TMAX,338
ASN00046128,2009-04-06,TMIN,125
ASN00046128,2013-03-30,TMIN,105
ASN00046128,2010-04-22,TMIN,149
ASN00046128,2008-12-27,TMIN,267
ASN00046128,2005-01-01,TMAX,409
ASN00046128,2005-12-19,TMAX,333
ASN00046128,2007-07-20,TMIN,2
ASN00046128,2006-01-07,TMAX,376
ASN00046128,2007-05-24,TMAX,184
ASN00046128,2010-04-22,TMAX,311
ASN00046128,2013-12-21,TMIN,299
ASN00046128,2013-03-30,TMAX,252
ASN00046128,2007-07-20,TMAX,135
ASN00046128,2010-01-17,TMAX,284
ASN00046128,2012-03-29,TMAX,302
ASN00046128,2007-11-02,TMAX,255
ASN00046128,2009-11-14,TMAX,408
ASN00046128,2006-09-25,TMAX,198
ASN00046128,2015-04-15,TMIN,204
ASN00046128,2015-04-15,TMAX,360
ASN00046128,2010-05-24,TMAX,187
ASN00046128,2007-11-13,TMAX,340
ASN00046128,2015-04-16,TMAX,259
ASN00046128,2015-09-01,TMAX,207
ASN00046128,2015-04-27,TMIN,58
ASN00046128,2010-12-18,TMIN,195
ASN00046128,2011-08-30,TMIN,70
ASN00046128,2010-12-18,TMAX,246
ASN00046128,2011-12-14,TMAX,295
ASN00046128,2014-07-04,TMAX,183
ASN00046128,2015-04-16,TMIN,198
ASN00046128,2012-09-29,TMAX,194
ASN00046128,2011-11-26,TMIN,125
ASN00046128,2006-06-22,TMIN,55
ASN00046128,2013-07-25,TMIN,-6
ASN00046128,2009-08-10,TMAX,262
ASN00046128,2014-04-01,TMAX,342
ASN00046128,2014-04-01,TMIN,199
ASN00046128,2009-08-10,TMIN,84
ASN00046128,2008-11-26,TMAX,361
ASN00046128,2010-07-26,TMIN,47
ASN00046128,2005-03-10,TMAX,335
ASN00046128,2013-07-25,TMAX,162
ASN00046128,2014-10-24,TMAX,372
ASN00046128,2014-10-24,TMIN,176
ASN00046128,2015-07-07,TMIN,20
ASN00046128,2015-07-27,TMIN,13
ASN00046128,2013-04-23,TMAX,249
ASN00046128,2011-02-22,TMAX,263
ASN00046128,2011-12-14,TMIN,163
ASN00046128,2006-09-25,TMIN,81
ASN00046128,2008-08-06,TMAX,164
ASN00046128,2011-11-26,TMAX,268
ASN00046128,2008-09-18,TMAX,287
ASN00046128,2015-04-27,TMAX,178
ASN00046128,2008-09-18,TMIN,88
ASN00046128,2008-12-27,TMAX,358
ASN00046128,2009-12-20,TMIN,189
ASN00046128,2008-08-06,TMIN,34
ASN00046128,2006-01-21,TMIN,244
ASN00046128,2009-02-09,TMAX,314
ASN00046128,2008-04-07,TMAX,280
ASN00046128,2006-05-17,TMAX,252
ASN00046128,2009-12-20,TMAX,342
ASN00046128,2015-09-01,TMIN,22
ASN00046128,2006-01-21,TMAX,413
ASN00046128,2005-03-10,TMIN,135
ASN00046128,2005-05-08,TMAX,266
ASN00046128,2006-05-17,TMIN,55
ASN00046128,2011-02-22,TMIN,148
ASN00046128,2005-04-03,TMIN,254
ASN00046128,2005-12-19,TMIN,169
ASN00046128,2015-09-19,TMAX,241
ASN00046128,2008-10-10,TMIN,93
ASN00046128,2013-06-15,TMAX,140
ASN00046128,2008-06-06,TMIN,126
ASN00046128,2014-10-01,TMAX,214
ASN00046128,2014-11-10,TMAX,312
ASN00046128,2007-09-16,TMIN,106
ASN00046128,2006-10-01,TMIN,142
ASN00046128,2015-09-30,TMIN,114
ASN00046128,2014-11-10,TMIN,162
ASN00046128,2011-03-20,TMAX,233
ASN00046128,2009-03-28,TMAX,319
ASN00046128,2009-03-28,TMIN,151
ASN00046128,2009-06-23,TMAX,205
ASN00046128,2005-08-30,TMIN,178
ASN00046128,2005-08-30,TMAX,278
ASN00046128,2007-04-13,TMIN,143
ASN00046128,2015-04-03,TMIN,168
ASN00046128,2007-04-13,TMAX,310
ASN00046128,2014-06-08,TMAX,160
ASN00046128,2015-02-03,TMAX,320
ASN00046128,2011-05-25,TMIN,43
ASN00046128,2014-06-04,TMAX,169
ASN00046128,2006-03-19,TMAX,308
ASN00046128,2009-04-25,TMAX,231
ASN00046128,2008-11-19,TMIN,152
ASN00046128,2006-10-01,TMAX,332
ASN00046128,2013-02-06,TMIN,194
ASN00046128,2015-02-13,TMIN,219
ASN00046128,2012-06-22,TMIN,66
ASN00046128,2014-01-04,TMAX,292
ASN00046128,2014-01-04,TMIN,172
ASN00046128,2014-10-01,TMIN,120
ASN00046128,2015-02-02,TMAX,271
ASN00046128,2008-11-19,TMAX,280
ASN00046128,2015-02-02,TMIN,159
ASN00046128,2012-03-29,TMIN,125
ASN00046128,2015-02-13,TMAX,381
ASN00046128,2012-06-22,TMAX,138
ASN00046128,2014-11-11,TMIN,165
ASN00046128,2014-11-11,TMAX,323
ASN00046128,2013-09-20,TMIN,74
ASN00046128,2012-05-31,TMIN,96
ASN00046128,2005-10-23,TMAX,296
ASN00046128,2005-10-23,TMIN,198
ASN00046128,2010-05-20,TMAX,212
ASN00046128,2015-02-03,TMIN,175
ASN00046128,2013-09-20,TMAX,232
ASN00046128,2009-04-25,TMIN,126
ASN00046128,2012-05-31,TMAX,196
ASN00046128,2013-02-06,TMAX,392
ASN00046128,2008-06-06,TMAX,181
ASN00046128,2011-10-01,TMAX,192
ASN00046128,2008-03-12,TMAX,390
ASN00046128,2008-03-12,TMIN,197
ASN00046128,2006-12-20,TMIN,285
ASN00046128,2011-03-25,TMAX,220
ASN00046128,2006-10-11,TMIN,82
ASN00046128,2012-05-02,TMAX,204
ASN00046128,2014-04-24,TMIN,145
ASN00046128,2011-03-25,TMIN,106
ASN00046128,2014-07-08,TMAX,192
ASN00046128,2014-07-08,TMIN,1
ASN00046128,2015-11-09,TMAX,348
ASN00046128,2007-11-07,TMIN,133
ASN00046128,2007-11-07,TMAX,266
ASN00046128,2013-09-06,TMAX,316
ASN00046128,2011-12-07,TMIN,156
ASN00046128,2007-05-24,TMIN,46
ASN00046128,2009-04-06,TMAX,209
ASN00046128,2014-08-28,TMAX,217
ASN00046128,2013-12-23,TMAX,282
ASN00046128,2013-12-23,TMIN,183
ASN00046128,2009-09-20,TMIN,126
ASN00046128,2013-09-06,TMIN,164
ASN00046128,2014-06-08,TMIN,72
ASN00046128,2015-09-19,TMIN,52
ASN00046128,2013-09-25,TMIN,137
ASN00046128,2014-04-24,TMAX,248
ASN00046128,2012-05-02,TMIN,122
ASN00046128,2015-11-09,TMIN,181
ASN00046128,2011-05-25,TMAX,142
ASN00046128,2015-04-03,TMAX,251
ASN00046128,2015-09-30,TMAX,269
ASN00046128,2013-01-04,TMAX,442
ASN00046128,2007-11-21,TMIN,178
ASN00046128,2011-10-01,TMIN,60
ASN00046128,2015-01-08,TMAX,393
ASN00046128,2006-03-19,TMIN,169
ASN00046128,2005-04-18,TMAX,292
ASN00046128,2005-03-07,TMIN,108
ASN00046128,2014-06-04,TMIN,62
ASN00046128,2015-01-08,TMIN,288
ASN00046128,2007-12-29,TMAX,379
ASN00046128,2005-03-07,TMAX,279
ASN00046128,2006-12-20,TMAX,372
ASN00046128,2007-11-26,TMAX,315
ASN00046128,2011-10-10,TMIN,106
