ID,Date,Element,Data_Value
UZM00038812,2006-02-24,TMAX,74
UZM00038812,2013-08-20,TMIN,177
UZM00038812,2007-05-12,TMIN,178
UZM00038812,2015-05-20,TMIN,158
UZM00038812,2008-10-07,TMIN,103
UZM00038812,2006-07-27,TMIN,234
UZM00038812,2010-05-27,TMIN,152
UZM00038812,2010-12-15,TMIN,50
UZM00038812,2011-10-11,TMIN,114
UZM00038812,2014-01-11,TMIN,-45
UZM00038812,2007-05-13,TMAX,330
UZM00038812,2008-07-01,TMAX,365
UZM00038812,2012-04-11,TMAX,261
UZM00038812,2008-04-10,TMAX,232
UZM00038812,2006-02-22,TMIN,28
UZM00038812,2012-08-08,TMIN,195
UZM00038812,2007-06-30,TMIN,199
UZM00038812,2010-05-27,TMAX,302
UZM00038812,2008-12-15,TMAX,96
UZM00038812,2014-12-11,TMAX,119
UZM00038812,2013-06-14,TMAX,342
UZM00038812,2007-01-19,TMAX,81
UZM00038812,2007-05-13,TMIN,181
UZM00038812,2006-07-27,TMAX,371
UZM00038812,2008-10-07,TMAX,327
UZM00038812,2011-10-11,TMAX,266
UZM00038812,2007-06-30,TMAX,380
UZM00038812,2006-02-22,TMAX,86
UZM00038812,2013-06-14,TMIN,147
UZM00038812,2013-08-20,TMAX,369
UZM00038812,2006-05-22,TMIN,192
UZM00038812,2007-07-17,TMIN,233
UZM00038812,2007-10-20,TMIN,10
UZM00038812,2011-02-14,TMIN,24
UZM00038812,2014-08-22,TMAX,394
UZM00038812,2010-01-25,TMAX,185
UZM00038812,2014-12-11,TMIN,-38
UZM00038812,2015-11-22,TMAX,55
UZM00038812,2014-10-29,TMAX,125
UZM00038812,2013-08-25,TMAX,362
UZM00038812,2008-04-23,TMAX,264
UZM00038812,2009-05-29,TMAX,375
UZM00038812,2014-12-05,TMIN,-28
UZM00038812,2013-08-25,TMIN,170
UZM00038812,2014-12-05,TMAX,67
UZM00038812,2012-05-06,TMIN,158
UZM00038812,2006-01-21,TMIN,-44
UZM00038812,2014-10-29,TMIN,-20
UZM00038812,2010-01-25,TMIN,16
UZM00038812,2014-08-24,TMAX,390
UZM00038812,2008-04-23,TMIN,121
UZM00038812,2006-11-24,TMIN,-34
UZM00038812,2013-11-30,TMIN,112
UZM00038812,2014-02-04,TMIN,-211
UZM00038812,2010-11-30,TMIN,-4
UZM00038812,2010-11-30,TMAX,134
UZM00038812,2009-03-11,TMIN,84
UZM00038812,2013-02-20,TMAX,155
UZM00038812,2015-08-07,TMAX,402
UZM00038812,2015-06-19,TMIN,241
