ID,Date,Element,Data_Value
RSM00022648,2014-12-28,TMIN,-254
RSM00022648,2014-05-04,TMIN,-33
RSM00022648,2013-05-07,TMIN,-12
RSM00022648,2015-08-04,TMAX,189
RSM00022648,2013-11-17,TMIN,-18
RSM00022648,2012-06-24,TMAX,170
RSM00022648,2015-09-30,TMIN,15
RSM00022648,2014-06-27,TMIN,42
RSM00022648,2012-04-10,TMAX,72
RSM00022648,2012-04-16,TMAX,69
RSM00022648,2012-11-25,TMIN,-13
RSM00022648,2015-08-04,TMIN,125
RSM00022648,2015-01-30,TMIN,-29
RSM00022648,2015-10-29,TMIN,-34
RSM00022648,2015-05-24,TMAX,157
RSM00022648,2012-10-08,TMIN,42
RSM00022648,2014-07-15,TMIN,161
RSM00022648,2014-09-18,TMIN,30
RSM00022648,2014-07-15,TMAX,296
RSM00022648,2014-11-07,TMIN,-113
RSM00022648,2014-01-21,TMIN,-261
RSM00022648,2015-02-21,TMIN,-13
RSM00022648,2015-02-17,TMIN,-120
RSM00022648,2013-08-12,TMIN,129
RSM00022648,2015-06-24,TMAX,245
RSM00022648,2015-02-21,TMAX,32
RSM00022648,2015-06-27,TMAX,185
RSM00022648,2015-06-27,TMIN,76
RSM00022648,2015-06-10,TMIN,70
RSM00022648,2015-07-13,TMAX,151
RSM00022648,2015-06-10,TMAX,153
RSM00022648,2015-07-13,TMIN,84
RSM00022648,2013-10-01,TMIN,-1
RSM00022648,2012-09-24,TMIN,80
RSM00022648,2012-05-29,TMAX,126
RSM00022648,2015-03-22,TMAX,-35
RSM00022648,2014-01-28,TMIN,-328
RSM00022648,2015-10-29,TMAX,11
RSM00022648,2014-03-06,TMIN,-13
RSM00022648,2014-10-24,TMIN,-158
RSM00022648,2014-12-31,TMIN,-247
RSM00022648,2015-10-09,TMAX,39
RSM00022648,2012-04-23,TMAX,108
RSM00022648,2014-06-17,TMIN,89
RSM00022648,2015-06-24,TMIN,136
RSM00022648,2015-10-09,TMIN,-24
RSM00022648,2014-07-26,TMIN,66
RSM00022648,2013-06-25,TMIN,146
