ID,Date,Element,Data_Value
CA005063044,2008-04-13,TMAX,60
CA005063044,2006-11-07,TMIN,-110
CA005063044,2007-01-21,TMAX,-120
CA005063044,2006-06-21,TMIN,50
CA005063044,2005-11-12,TMAX,-20
CA005063044,2008-04-13,TMIN,-90
CA005063044,2008-01-24,TMAX,190
CA005063044,2006-03-12,TMAX,-180
CA005063044,2007-08-28,TMAX,170
CA005063044,2007-03-12,TMIN,-170
CA005063044,2007-05-23,TMAX,100
CA005063044,2006-01-29,TMAX,-100
CA005063044,2007-02-20,TMAX,-190
CA005063044,2007-09-04,TMIN,70
CA005063044,2006-11-07,TMAX,-80
CA005063044,2007-07-17,TMAX,240
CA005063044,2007-06-23,TMIN,70
CA005063044,2005-12-31,TMIN,-100
CA005063044,2005-01-03,TMIN,-280
CA005063044,2006-12-29,TMIN,-250
CA005063044,2005-01-22,TMIN,-330
CA005063044,2005-10-10,TMIN,-30
CA005063044,2007-03-12,TMAX,-120
CA005063044,2005-11-21,TMIN,-150
CA005063044,2005-06-19,TMIN,80
CA005063044,2007-06-23,TMAX,240
CA005063044,2006-01-26,TMIN,-160
CA005063044,2006-11-13,TMIN,-265
CA005063044,2005-09-05,TMIN,70
CA005063044,2006-06-10,TMIN,40
CA005063044,2005-01-07,TMIN,-230
CA005063044,2006-01-18,TMIN,-300
CA005063044,2005-09-16,TMIN,30
CA005063044,2006-03-25,TMIN,-165
CA005063044,2006-04-19,TMAX,50
CA005063044,2007-01-25,TMIN,-320
CA005063044,2005-01-07,TMAX,-120
CA005063044,2005-11-12,TMIN,-20
CA005063044,2008-01-26,TMAX,100
CA005063044,2005-06-05,TMIN,30
CA005063044,2007-11-07,TMAX,-70
CA005063044,2007-08-19,TMAX,220
CA005063044,2006-12-25,TMAX,-110
CA005063044,2006-12-11,TMIN,-200
CA005063044,2007-04-04,TMIN,-280
CA005063044,2007-11-04,TMAX,-10
CA005063044,2007-11-07,TMIN,-110
CA005063044,2007-11-04,TMIN,-70
CA005063044,2007-01-20,TMIN,-340
CA005063044,2006-04-17,TMAX,30
CA005063044,2007-01-24,TMAX,-190
CA005063044,2007-05-23,TMIN,70
CA005063044,2007-04-22,TMIN,-10
CA005063044,2006-06-27,TMIN,40
CA005063044,2006-01-29,TMIN,-250
CA005063044,2007-09-13,TMAX,20
CA005063044,2005-09-02,TMIN,60
CA005063044,2006-11-13,TMAX,-70
CA005063044,2008-01-08,TMIN,-210
CA005063044,2005-12-11,TMAX,-150
CA005063044,2005-07-13,TMIN,150
CA005063044,2006-04-26,TMAX,-25
CA005063044,2007-03-19,TMAX,-120
CA005063044,2005-09-26,TMIN,70
CA005063044,2005-01-10,TMIN,-320
CA005063044,2007-07-27,TMIN,100
CA005063044,2006-04-29,TMIN,-35
CA005063044,2007-03-31,TMAX,60
CA005063044,2007-06-10,TMIN,20
CA005063044,2005-11-03,TMAX,5
CA005063044,2007-10-03,TMAX,70
CA005063044,2007-06-10,TMAX,190
CA005063044,2005-01-10,TMAX,-200
CA005063044,2007-06-18,TMIN,110
CA005063044,2007-07-17,TMIN,70
CA005063044,2008-02-15,TMIN,-360
CA005063044,2007-01-11,TMIN,-360
CA005063044,2006-10-30,TMAX,-20
CA005063044,2008-02-02,TMAX,-280
CA005063044,2006-10-30,TMIN,-20
CA005063044,2007-03-20,TMAX,-50
CA005063044,2006-01-13,TMIN,-220
CA005063044,2006-12-11,TMAX,-20
CA005063044,2007-02-10,TMAX,-180
CA005063044,2007-03-31,TMIN,-100
CA005063044,2007-10-10,TMIN,-50
CA005063044,2007-07-27,TMAX,270
CA005063044,2006-04-26,TMIN,-40
CA005063044,2006-12-08,TMIN,-230
CA005063044,2007-10-14,TMIN,-40
CA005063044,2006-12-08,TMAX,-20
