ID,Date,Element,Data_Value
CA007034482,2007-02-13,TMAX,-166
CA007038975,2014-06-08,TMIN,90
CA007038975,2009-03-25,TMIN,-95
CA007038975,2010-05-07,TMAX,120
CA007034482,2011-07-27,TMAX,279
CA007034482,2007-06-07,TMIN,31
CA007038975,2015-04-15,TMAX,110
CA007038975,2015-08-23,TMIN,100
CA007038975,2011-02-19,TMAX,-95
CA007038975,2012-09-12,TMAX,275
CA007038975,2007-07-21,TMIN,70
CA007034482,2014-02-03,TMIN,-230
CA007034482,2011-02-11,TMIN,-188
CA007038975,2005-07-01,TMIN,205
CA007038975,2005-10-23,TMAX,90
CA007034482,2011-12-05,TMAX,80
CA007038975,2012-09-12,TMIN,90
CA007038975,2005-12-22,TMIN,-210
CA007038975,2014-03-26,TMIN,-140
CA007038975,2007-09-04,TMAX,205
CA007034482,2008-08-24,TMIN,146
CA007038975,2007-04-05,TMIN,-20
CA007034482,2007-06-10,TMIN,76
CA007038975,2009-06-04,TMAX,200
CA007034482,2005-03-14,TMIN,-151
CA007034482,2010-11-15,TMAX,99
CA007034482,2005-03-14,TMAX,31
CA007038975,2007-05-17,TMAX,130
CA007038975,2009-06-04,TMIN,5
CA007038975,2009-01-04,TMIN,-140
CA007038975,2009-03-21,TMAX,55
CA007038975,2009-08-13,TMIN,120
CA007038975,2009-03-25,TMAX,85
CA007038975,2013-08-07,TMAX,235
CA007038975,2008-10-01,TMIN,100
CA007034482,2005-08-05,TMAX,265
CA007038975,2009-01-14,TMIN,-315
CA007034482,2008-06-21,TMAX,255
CA007034482,2008-08-24,TMAX,281
CA007038975,2015-08-23,TMAX,260
CA007038975,2005-01-14,TMAX,-30
CA007038975,2009-04-18,TMAX,90
CA007034482,2015-08-23,TMAX,258
CA007034482,2011-02-11,TMAX,-64
CA007038975,2006-11-09,TMIN,75
CA007038975,2010-01-07,TMIN,-95
CA007038975,2006-09-02,TMAX,215
CA007038975,2007-05-17,TMIN,45
CA007034482,2013-04-06,TMAX,26
CA007038975,2006-11-09,TMAX,105
CA007038975,2014-01-26,TMAX,-135
CA007038975,2006-10-19,TMIN,95
CA007038975,2009-04-18,TMIN,50
CA007038975,2009-03-21,TMIN,-130
CA007034482,2012-04-10,TMIN,-8
CA007038975,2013-10-17,TMIN,80
CA007038975,2014-02-14,TMAX,-40
CA007034482,2010-11-15,TMIN,5
CA007034482,2011-11-11,TMAX,29
CA007034482,2008-06-21,TMIN,91
CA007034482,2006-03-20,TMIN,-108
CA007038975,2015-04-15,TMIN,-40
CA007038975,2006-06-01,TMIN,170
CA007034482,2013-06-13,TMAX,243
CA007038975,2006-10-19,TMAX,130
CA007038975,2008-03-08,TMIN,-90
CA007034482,2006-12-23,TMAX,32
CA007038975,2011-10-21,TMAX,105
CA007034482,2011-09-08,TMIN,90
