ID,Date,Element,Data_Value
USS0049T03S,2013-01-29,TMAX,-218
USS0049T03S,2008-04-07,TMIN,-151
USC00501497,2012-02-29,TMIN,-300
USC00501497,2010-10-20,TMAX,-89
USS0049T03S,2012-05-10,TMIN,-73
USC00501497,2011-12-10,TMAX,-94
USS0049T03S,2011-09-30,TMAX,-72
USC00501497,2007-11-13,TMIN,-178
USC00501497,2010-02-01,TMAX,-94
USC00501497,2013-01-05,TMIN,-161
USC00501497,2008-02-19,TMIN,-100
USS0049T03S,2010-12-09,TMIN,-240
USC00501497,2005-12-02,TMAX,-172
USC00501497,2011-12-09,TMIN,-189
USC00501497,2012-02-28,TMIN,-306
USC00501497,2008-01-15,TMIN,-389
USC00501497,2011-05-22,TMAX,122
USC00501497,2010-05-12,TMIN,-33
USS0049T03S,2008-04-07,TMAX,-31
USC00501497,2007-11-13,TMAX,-106
USC00501497,2011-11-18,TMAX,-172
USC00501497,2008-05-11,TMAX,0
USC00501497,2012-08-24,TMAX,161
USC00501497,2012-02-29,TMAX,-233
USC00501497,2012-07-06,TMIN,83
USS0049T03S,2011-07-09,TMAX,126
USC00501497,2011-12-09,TMAX,-111
USS0049T03S,2011-01-17,TMIN,-358
USS0049T03S,2011-07-09,TMIN,53
USS0049T03S,2012-11-25,TMIN,-140
USC00501497,2012-07-06,TMAX,156
USC00501497,2011-11-18,TMIN,-256
USS0049T03S,2007-06-15,TMIN,48
USC00501497,2010-10-20,TMIN,-133
USC00501497,2010-07-03,TMIN,89
USS0049T03S,2013-08-31,TMIN,-98
USS0049T03S,2007-06-15,TMAX,89
USS0049T03S,2011-06-30,TMAX,20
USS0049T03S,2015-10-10,TMAX,-28
USS0049T03S,2009-11-25,TMAX,-92
USC00501497,2010-02-19,TMIN,-111
USC00501497,2011-02-10,TMIN,-200
USC00501497,2010-02-19,TMAX,-61
USC00501497,2008-05-11,TMIN,-33
USS0049T03S,2007-12-11,TMAX,-102
USC00501497,2012-06-02,TMAX,100
USS0049T03S,2008-08-13,TMIN,39
USC00501497,2010-05-12,TMAX,17
USC00501497,2010-06-11,TMAX,161
USS0049T03S,2012-11-25,TMAX,-62
USC00501497,2010-08-26,TMIN,39
USS0049T03S,2013-01-15,TMAX,-89
USC00501497,2005-03-16,TMIN,-183
USS0049T03S,2015-01-15,TMIN,-117
USS0049T03S,2011-09-30,TMIN,-107
USC00501497,2006-03-28,TMAX,-144
USS0049T03S,2015-01-15,TMAX,-41
USS0049T03S,2008-08-31,TMAX,60
USS0049T03S,2013-01-07,TMIN,-182
