ID,Date,Element,Data_Value
AJ000037735,2007-04-11,TMAX,140
AJ000037575,2011-01-16,TMAX,88
AJ000037575,2015-03-16,TMAX,126
GG000037652,2012-07-16,TMAX,274
AJ000037735,2013-06-04,TMAX,297
GG000037652,2012-07-16,TMIN,184
GG000037652,2012-10-26,TMAX,208
AJ000037735,2008-08-23,TMAX,336
GG000037652,2014-09-09,TMIN,160
AJ000037735,2009-03-06,TMAX,92
AJ000037735,2015-12-10,TMAX,75
AJ000037735,2012-09-05,TMAX,291
AJ000037735,2010-01-11,TMAX,80
AJ000037735,2012-05-21,TMAX,286
GG000037652,2011-05-27,TMIN,131
AJ000037735,2013-02-19,TMAX,80
AJ000037735,2015-06-23,TMAX,380
AJ000037575,2013-01-07,TMAX,68
AJ000037735,2011-08-09,TMAX,296
AJ000037575,2008-05-12,TMAX,184
AJ000037735,2011-05-12,TMAX,206
AJ000037735,2011-08-21,TMAX,287
AJ000037735,2012-09-26,TMAX,283
AJ000037575,2007-11-04,TMAX,149
AJ000037575,2015-02-09,TMAX,90
AJ000037575,2008-06-09,TMAX,213
AJ000037735,2006-06-10,TMAX,358
AJ000037735,2014-05-07,TMAX,266
AJ000037735,2007-05-20,TMAX,267
AJ000037735,2007-04-02,TMAX,124
AJ000037735,2013-06-18,TMAX,334
AJ000037575,2008-02-03,TMAX,32
GG000037652,2012-12-27,TMAX,5
AJ000037735,2006-04-24,TMAX,191
AJ000037735,2015-09-25,TMAX,275
AJ000037575,2005-12-05,TMAX,155
AJ000037575,2013-08-10,TMAX,265
GG000037652,2013-01-28,TMIN,2
GG000037652,2012-09-30,TMIN,109
AJ000037735,2013-04-21,TMAX,160
AJ000037575,2009-07-17,TMAX,364
AJ000037735,2014-04-17,TMAX,236
GG000037652,2014-02-09,TMIN,-76
AJ000037575,2010-12-25,TMAX,113
AJ000037575,2006-07-30,TMAX,240
AJ000037735,2011-07-24,TMAX,334
AJ000037575,2005-09-27,TMAX,246
AJ000037735,2015-10-24,TMAX,225
AJ000037735,2013-03-21,TMAX,213
AJ000037575,2007-11-16,TMAX,130
GG000037652,2013-10-14,TMIN,61
GG000037652,2014-09-12,TMIN,165
AJ000037575,2011-12-12,TMAX,108
AJ000037735,2012-01-22,TMAX,13
AJ000037575,2008-10-19,TMAX,216
AJ000037575,2005-09-07,TMAX,245
GG000037652,2011-05-27,TMAX,246
AJ000037735,2009-07-19,TMAX,380
AJ000037735,2012-02-05,TMAX,-14
AJ000037735,2012-04-22,TMAX,257
AJ000037575,2010-01-27,TMAX,25
GG000037652,2012-11-29,TMAX,150
AJ000037735,2009-09-10,TMAX,252
GG000037652,2014-10-28,TMIN,35
GG000037652,2014-07-14,TMIN,203
AJ000037735,2009-09-06,TMAX,281
AJ000037575,2015-03-25,TMAX,124
AJ000037735,2005-11-24,TMAX,102
AJ000037735,2006-09-14,TMAX,191
GG000037652,2014-07-01,TMIN,166
GG000037652,2014-10-28,TMAX,67
GG000037652,2013-07-18,TMIN,206
AJ000037575,2007-11-23,TMAX,45
AJ000037575,2011-01-05,TMAX,73
AJ000037735,2014-08-08,TMAX,355
AJ000037735,2014-02-04,TMAX,-39
GG000037652,2012-06-08,TMIN,164
AJ000037735,2011-07-23,TMAX,356
AJ000037735,2008-07-24,TMAX,336
AJ000037735,2008-11-15,TMAX,135
AJ000037735,2015-10-09,TMAX,167
AJ000037735,2013-01-04,TMAX,107
AJ000037575,2011-11-10,TMAX,85
GG000037652,2012-11-30,TMAX,171
AJ000037735,2005-12-14,TMAX,87
AJ000037735,2007-03-31,TMAX,126
AJ000037575,2010-01-10,TMAX,66
GG000037652,2012-11-03,TMAX,168
AJ000037575,2012-10-02,TMAX,282
AJ000037735,2014-09-25,TMAX,244
AJ000037735,2009-03-25,TMAX,162
AJ000037575,2015-11-04,TMAX,168
AJ000037735,2014-11-25,TMAX,55
AJ000037575,2011-09-09,TMAX,278
AJ000037575,2015-08-15,TMAX,364
GG000037652,2011-10-21,TMAX,199
AJ000037735,2012-03-09,TMAX,74
GG000037652,2014-02-23,TMIN,-14
AJ000037575,2014-09-25,TMAX,236
AJ000037575,2010-02-01,TMAX,178
AJ000037575,2012-09-09,TMAX,249
GG000037652,2013-08-29,TMIN,174
AJ000037575,2011-03-09,TMAX,48
AJ000037735,2009-08-06,TMAX,340
GG000037652,2012-09-05,TMIN,128
AJ000037735,2009-12-11,TMAX,44
AJ000037735,2008-11-07,TMAX,191
AJ000037575,2005-09-09,TMAX,220
GG000037652,2014-09-08,TMAX,318
GG000037652,2012-05-12,TMIN,125
GG000037652,2013-08-10,TMIN,141
AJ000037575,2009-06-12,TMAX,301
GG000037652,2011-06-22,TMAX,272
AJ000037575,2013-04-14,TMAX,170
AJ000037735,2013-08-21,TMAX,279
AJ000037735,2008-06-11,TMAX,276
AJ000037575,2014-12-31,TMAX,130
AJ000037735,2007-11-02,TMAX,190
AJ000037735,2011-12-18,TMAX,65
GG000037652,2011-09-06,TMAX,228
AJ000037735,2007-05-21,TMAX,276
AJ000037735,2009-04-21,TMAX,184
AJ000037735,2005-10-21,TMAX,168
AJ000037735,2012-04-23,TMAX,258
AJ000037575,2011-07-07,TMAX,360
AJ000037735,2015-03-28,TMAX,147
GG000037652,2012-01-18,TMAX,58
GG000037652,2011-11-20,TMIN,-14
AJ000037735,2015-11-01,TMAX,90
AJ000037735,2008-10-16,TMAX,249
AJ000037575,2009-10-04,TMAX,250
GG000037652,2014-09-10,TMIN,199
AJ000037735,2011-09-21,TMAX,197
AJ000037575,2012-02-05,TMAX,-16
AJ000037575,2010-12-05,TMAX,102
AJ000037575,2008-04-25,TMAX,276
AJ000037575,2012-10-13,TMAX,229
GG000037652,2013-01-26,TMIN,11
AJ000037735,2010-03-16,TMAX,121
AJ000037575,2014-11-14,TMAX,137
GG000037652,2012-05-28,TMIN,117
AJ000037735,2012-02-04,TMAX,3
GG000037652,2013-01-28,TMAX,144
AJ000037735,2015-09-05,TMAX,325
AJ000037735,2008-05-09,TMAX,188
AJ000037575,2012-04-21,TMAX,230
AJ000037735,2010-08-26,TMAX,295
AJ000037575,2008-01-28,TMAX,89
AJ000037735,2012-01-14,TMAX,96
AJ000037575,2012-08-06,TMAX,332
GG000037652,2012-04-11,TMIN,129
GG000037652,2012-06-21,TMIN,148
AJ000037735,2008-01-20,TMAX,20
AJ000037735,2013-02-26,TMAX,42
AJ000037735,2014-08-28,TMAX,367
AJ000037575,2007-12-29,TMAX,56
AJ000037575,2008-08-23,TMAX,329
AJ000037735,2013-12-25,TMAX,62
GG000037652,2012-05-12,TMAX,244
GG000037652,2014-09-28,TMIN,91
AJ000037575,2012-06-05,TMAX,296
AJ000037735,2010-07-25,TMAX,326
AJ000037575,2005-10-02,TMAX,246
AJ000037575,2011-04-24,TMAX,152
AJ000037735,2010-04-21,TMAX,202
GG000037652,2014-07-14,TMAX,277
AJ000037735,2008-09-07,TMAX,294
GG000037652,2012-11-30,TMIN,4
AJ000037575,2015-07-12,TMAX,347
AJ000037575,2014-09-17,TMAX,280
AJ000037735,2011-04-23,TMAX,135
AJ000037575,2012-01-23,TMAX,5
AJ000037575,2015-10-05,TMAX,209
AJ000037575,2009-01-13,TMAX,47
GG000037652,2012-10-13,TMIN,96
AJ000037575,2009-10-14,TMAX,232
GG000037652,2013-12-23,TMIN,-63
AJ000037735,2014-06-10,TMAX,320
GG000037652,2013-05-09,TMIN,95
GG000037652,2014-04-23,TMIN,63
AJ000037735,2013-10-06,TMAX,120
AJ000037575,2010-03-01,TMAX,110
AJ000037735,2011-05-08,TMAX,197
AJ000037575,2007-04-28,TMAX,142
GG000037652,2013-12-25,TMIN,-61
AJ000037735,2005-12-13,TMAX,98
AJ000037575,2005-02-20,TMAX,95
AJ000037735,2014-06-17,TMAX,301
AJ000037735,2006-03-11,TMAX,108
AJ000037575,2014-04-15,TMAX,206
AJ000037575,2008-06-19,TMAX,245
AJ000037735,2014-11-17,TMAX,119
AJ000037735,2015-10-19,TMAX,186
AJ000037735,2014-03-27,TMAX,200
GG000037652,2012-10-13,TMAX,218
AJ000037575,2009-01-25,TMAX,35
GG000037652,2014-09-20,TMAX,206
AJ000037575,2008-12-15,TMAX,18
AJ000037735,2007-12-05,TMAX,80
AJ000037735,2006-03-27,TMAX,103
AJ000037575,2012-11-29,TMAX,154
AJ000037735,2012-07-10,TMAX,282
AJ000037575,2014-03-19,TMAX,168
AJ000037575,2008-09-12,TMAX,272
GG000037652,2012-06-05,TMAX,277
AJ000037735,2015-08-16,TMAX,385
AJ000037575,2014-04-25,TMAX,208
AJ000037575,2013-02-14,TMAX,94
AJ000037575,2009-06-24,TMAX,323
AJ000037575,2009-01-27,TMAX,104
AJ000037735,2013-10-27,TMAX,180
GG000037652,2012-06-21,TMAX,265
AJ000037575,2012-04-14,TMAX,246
AJ000037575,2014-09-29,TMAX,267
AJ000037575,2007-06-17,TMAX,305
GG000037652,2011-06-22,TMIN,139
AJ000037735,2014-09-08,TMAX,320
AJ000037575,2009-12-17,TMAX,94
AJ000037575,2011-01-14,TMAX,51
GG000037652,2013-01-07,TMIN,-19
AJ000037575,2013-02-16,TMAX,114
GG000037652,2012-09-30,TMAX,260
GG000037652,2012-10-26,TMIN,106
GG000037652,2011-09-27,TMIN,115
GG000037652,2014-08-19,TMIN,191
AJ000037575,2010-12-07,TMAX,93
GG000037652,2011-11-20,TMAX,125
AJ000037735,2006-11-27,TMAX,125
AJ000037735,2015-07-31,TMAX,375
GG000037652,2012-04-11,TMAX,244
AJ000037575,2009-09-14,TMAX,283
AJ000037735,2008-02-08,TMAX,12
AJ000037735,2006-11-22,TMAX,76
AJ000037735,2007-09-04,TMAX,327
GG000037652,2012-03-10,TMAX,46
AJ000037735,2014-01-21,TMAX,76
GG000037652,2012-06-05,TMIN,142
AJ000037735,2011-05-27,TMAX,269
AJ000037735,2013-05-28,TMAX,257
AJ000037575,2006-03-31,TMAX,207
GG000037652,2012-06-09,TMAX,272
AJ000037575,2006-07-27,TMAX,302
AJ000037575,2013-01-27,TMAX,135
AJ000037735,2008-04-17,TMAX,204
AJ000037735,2012-06-30,TMAX,254
AJ000037735,2008-06-29,TMAX,306
AJ000037575,2014-10-16,TMAX,258
AJ000037575,2015-11-14,TMAX,145
AJ000037575,2007-09-04,TMAX,320
AJ000037735,2011-05-26,TMAX,242
GG000037652,2012-12-05,TMAX,166
AJ000037735,2014-04-23,TMAX,215
AJ000037575,2014-08-25,TMAX,392
GG000037652,2014-01-27,TMIN,2
AJ000037575,2008-07-30,TMAX,351
AJ000037735,2014-09-20,TMAX,198
GG000037652,2012-11-13,TMAX,61
AJ000037575,2005-09-18,TMAX,290
AJ000037575,2013-01-05,TMAX,77
AJ000037735,2011-08-13,TMAX,326
AJ000037575,2009-05-08,TMAX,210
AJ000037735,2008-09-24,TMAX,292
AJ000037735,2014-04-04,TMAX,83
AJ000037735,2006-01-26,TMAX,-19
AJ000037575,2008-01-19,TMAX,20
GG000037652,2014-06-15,TMIN,115
AJ000037575,2007-10-10,TMAX,244
AJ000037575,2015-05-23,TMAX,234
AJ000037735,2006-06-20,TMAX,309
AJ000037575,2007-02-10,TMAX,111
AJ000037735,2009-09-04,TMAX,303
AJ000037735,2011-02-13,TMAX,125
AJ000037575,2013-07-02,TMAX,332
AJ000037575,2013-02-21,TMAX,125
AJ000037735,2013-04-14,TMAX,155
AJ000037735,2009-04-09,TMAX,185
AJ000037735,2010-02-02,TMAX,95
AJ000037575,2015-12-17,TMAX,60
AJ000037575,2008-02-28,TMAX,144
AJ000037735,2014-05-15,TMAX,311
AJ000037575,2012-07-16,TMAX,302
AJ000037575,2009-02-04,TMAX,74
AJ000037735,2009-01-26,TMAX,130
GG000037652,2011-07-22,TMAX,340
GG000037652,2014-01-18,TMIN,-20
GG000037652,2011-11-21,TMAX,79
AJ000037575,2011-02-19,TMAX,40
GG000037652,2013-06-06,TMIN,159
AJ000037735,2010-04-01,TMAX,170
AJ000037735,2015-04-05,TMAX,146
GG000037652,2012-01-23,TMIN,-52
AJ000037735,2011-01-26,TMAX,180
AJ000037575,2011-09-23,TMAX,246
AJ000037735,2010-01-27,TMAX,40
AJ000037575,2008-06-29,TMAX,296
AJ000037735,2010-12-14,TMAX,122
