ID,Date,Element,Data_Value
PUM00061769,2014-05-07,TMAX,355
PUM00061769,2010-12-24,TMAX,330
PUM00061769,2010-10-02,TMAX,320
PUM00061769,2013-11-28,TMAX,333
PUM00061769,2013-12-11,TMAX,338
PUM00061769,2011-01-13,TMAX,286
PUM00061769,2010-05-23,TMAX,352
PUM00061769,2015-10-17,TMAX,298
PUM00061769,2013-12-08,TMAX,340
PUM00061769,2009-11-29,TMAX,278
PUM00061769,2010-11-02,TMAX,327
PUM00061769,2010-11-26,TMAX,336
PUM00061769,2015-07-31,TMAX,260
PUM00061769,2014-06-06,TMAX,316
PUM00061769,2011-09-03,TMAX,305
PUM00061769,2013-12-07,TMAX,322
PUM00061769,2010-07-16,TMAX,299
PUM00061769,2011-09-05,TMAX,315
PUM00061769,2010-11-14,TMAX,324
PUM00061769,2014-10-23,TMAX,320
PUM00061769,2010-06-27,TMAX,317
PUM00061769,2015-01-04,TMAX,328
PUM00061769,2014-05-30,TMAX,328
PUM00061769,2014-03-30,TMAX,350
PUM00061769,2014-06-10,TMAX,325
PUM00061769,2014-04-26,TMAX,312
PUM00061769,2015-09-26,TMAX,316
PUM00061769,2014-03-04,TMAX,374
PUM00061769,2010-05-22,TMAX,326
PUM00061769,2010-12-10,TMAX,332
PUM00061769,2010-11-17,TMAX,334
PUM00061769,2014-10-16,TMAX,320
PUM00061769,2010-06-19,TMAX,328
PUM00061769,2012-04-03,TMAX,350
PUM00061769,2014-03-09,TMAX,325
PUM00061769,2015-06-08,TMAX,332
PUM00061769,2014-04-23,TMAX,325
PUM00061769,2011-09-01,TMAX,306
PUM00061769,2011-01-27,TMAX,330
PUM00061769,2013-12-14,TMAX,284
PUM00061769,2010-04-16,TMAX,362
PUM00061769,2010-10-29,TMAX,272
PUM00061769,2015-07-13,TMAX,322
PUM00061769,2014-10-13,TMAX,332
PUM00061769,2014-03-24,TMAX,310
PUM00061769,2012-10-08,TMAX,307
PUM00061769,2013-10-05,TMAX,310
PUM00061769,2011-10-22,TMAX,322
PUM00061769,2010-05-26,TMAX,336
PUM00061769,2010-03-07,TMAX,310
PUM00061769,2014-09-06,TMAX,312
PUM00061769,2015-07-10,TMAX,310
PUM00061769,2010-12-03,TMAX,332
PUM00061769,2011-10-21,TMAX,308
PUM00061769,2012-09-24,TMAX,295
PUM00061769,2011-02-14,TMAX,334
PUM00061769,2013-12-20,TMAX,305
PUM00061769,2013-12-17,TMAX,305
PUM00061769,2010-09-04,TMAX,297
PUM00061769,2015-12-07,TMAX,330
PUM00061769,2015-06-12,TMAX,330
PUM00061769,2010-11-05,TMAX,314
PUM00061769,2012-09-26,TMAX,322
PUM00061769,2014-10-26,TMAX,340
PUM00061769,2009-11-26,TMAX,338
PUM00061769,2010-11-24,TMAX,329
PUM00061769,2014-10-12,TMAX,328
PUM00061769,2014-06-16,TMAX,344
PUM00061769,2011-10-12,TMAX,305
PUM00061769,2014-02-19,TMAX,345
PUM00061769,2011-01-18,TMAX,306
PUM00061769,2010-11-19,TMAX,335
PUM00061769,2011-02-08,TMAX,355
PUM00061769,2014-05-27,TMAX,323
PUM00061769,2014-04-18,TMAX,324
PUM00061769,2014-09-12,TMAX,310
PUM00061769,2010-11-18,TMAX,342
PUM00061769,2010-11-03,TMAX,305
PUM00061769,2015-06-05,TMAX,330
PUM00061769,2011-10-09,TMAX,334
PUM00061769,2014-02-13,TMAX,360
PUM00061769,2014-10-22,TMAX,325
PUM00061769,2011-02-03,TMAX,347
PUM00061769,2013-12-01,TMAX,324
PUM00061769,2015-11-03,TMAX,305
PUM00061769,2013-11-11,TMAX,306
PUM00061769,2014-06-05,TMAX,328
PUM00061769,2010-08-18,TMAX,267
PUM00061769,2015-06-22,TMAX,320
PUM00061769,2015-10-29,TMAX,326
PUM00061769,2011-09-28,TMAX,317
PUM00061769,2015-06-20,TMAX,316
PUM00061769,2014-05-09,TMAX,345
PUM00061769,2012-04-28,TMAX,363
PUM00061769,2013-12-23,TMAX,299
PUM00061769,2011-11-12,TMAX,320
PUM00061769,2010-12-07,TMAX,340
PUM00061769,2015-05-30,TMAX,330
PUM00061769,2011-01-20,TMAX,302
PUM00061769,2014-10-08,TMAX,315
PUM00061769,2012-10-06,TMAX,304
PUM00061769,2015-05-15,TMAX,332
PUM00061769,2014-05-14,TMAX,340
PUM00061769,2014-04-16,TMAX,325
PUM00061769,2015-06-03,TMAX,334
PUM00061769,2015-11-02,TMAX,326
PUM00061769,2014-02-15,TMAX,360
PUM00061769,2013-12-19,TMAX,288
PUM00061769,2015-08-18,TMAX,300
PUM00061769,2015-06-24,TMAX,315
PUM00061769,2010-07-13,TMAX,292
PUM00061769,2015-10-15,TMAX,320
PUM00061769,2011-12-23,TMAX,325
PUM00061769,2015-10-31,TMAX,315
PUM00061769,2010-12-04,TMAX,327
PUM00061769,2011-01-22,TMAX,315
PUM00061769,2011-10-20,TMAX,326
PUM00061769,2013-12-27,TMAX,334
PUM00061769,2014-10-17,TMAX,335
PUM00061769,2014-06-15,TMAX,330
PUM00061769,2015-12-02,TMAX,326
PUM00061769,2010-09-05,TMAX,293
PUM00061769,2010-06-04,TMAX,348
PUM00061769,2010-07-01,TMAX,315
PUM00061769,2013-11-17,TMAX,292
PUM00061769,2014-02-25,TMAX,385
PUM00061769,2010-12-27,TMAX,318
PUM00061769,2013-12-31,TMAX,290
PUM00061769,2010-04-12,TMAX,335
PUM00061769,2011-09-30,TMAX,305
PUM00061769,2015-06-02,TMAX,333
PUM00061769,2015-12-23,TMAX,325
PUM00061769,2010-09-16,TMAX,295
PUM00061769,2014-02-20,TMAX,376
PUM00061769,2015-05-20,TMAX,374
PUM00061769,2013-12-04,TMAX,344
PUM00061769,2013-10-02,TMAX,300
PUM00061769,2013-12-12,TMAX,320
PUM00061769,2013-12-28,TMAX,332
PUM00061769,2013-12-03,TMAX,332
PUM00061769,2014-05-21,TMAX,295
PUM00061769,2015-11-01,TMAX,312
PUM00061769,2013-11-19,TMAX,282
PUM00061769,2015-10-18,TMAX,332
PUM00061769,2012-09-07,TMAX,285
PUM00061769,2010-07-29,TMAX,268
PUM00061769,2013-11-25,TMAX,350
PUM00061769,2015-06-16,TMAX,320
PUM00061769,2013-09-22,TMAX,320
PUM00061769,2014-05-22,TMAX,318
PUM00061769,2013-10-04,TMAX,300
PUM00061769,2011-01-02,TMAX,325
PUM00061769,2015-01-14,TMAX,335
PUM00061769,2013-10-10,TMAX,318
PUM00061769,2013-11-30,TMAX,328
PUM00061769,2015-10-12,TMAX,325
PUM00061769,2010-11-11,TMAX,328
PUM00061769,2011-10-15,TMAX,325
PUM00061769,2014-10-15,TMAX,329
PUM00061769,2015-01-02,TMAX,310
PUM00061769,2011-08-28,TMAX,295
PUM00061769,2012-06-09,TMAX,330
PUM00061769,2011-12-15,TMAX,310
PUM00061769,2010-05-13,TMAX,326
PUM00061769,2010-03-12,TMAX,343
PUM00061769,2011-09-10,TMAX,310
PUM00061769,2010-05-12,TMAX,340
PUM00061769,2014-06-13,TMAX,347
PUM00061769,2010-03-09,TMAX,333
PUM00061769,2014-04-28,TMAX,342
PUM00061769,2015-12-20,TMAX,328
PUM00061769,2015-06-28,TMAX,318
PUM00061769,2014-05-10,TMAX,325
PUM00061769,2011-01-05,TMAX,335
PUM00061769,2014-04-19,TMAX,305
PUM00061769,2010-03-29,TMAX,322
PUM00061769,2011-01-19,TMAX,326
PUM00061769,2011-01-24,TMAX,319
PUM00061769,2013-11-21,TMAX,288
PUM00061769,2011-09-14,TMAX,312
PUM00061769,2011-01-09,TMAX,289
