ID,Date,Element,Data_Value
CO000080001,2011-08-25,TMAX,323
CO000080001,2005-04-26,TMIN,254
CO000080001,2006-09-15,TMAX,314
CO000080001,2010-12-25,TMIN,230
CO000080001,2008-02-06,TMIN,240
CO000080001,2015-09-09,TMAX,306
CO000080001,2013-01-11,TMAX,299
CO000080001,2007-06-15,TMAX,321
CO000080001,2015-01-10,TMIN,260
CO000080001,2010-01-18,TMIN,248
CO000080001,2014-12-30,TMIN,267
CO000080001,2010-04-13,TMAX,307
CO000080001,2010-07-05,TMIN,268
CO000080001,2010-04-13,TMIN,267
CO000080001,2007-06-15,TMIN,270
CO000080001,2014-07-22,TMAX,302
CO000080001,2014-07-22,TMIN,264
CO000080001,2011-05-16,TMIN,250
CO000080001,2011-04-25,TMIN,258
CO000080001,2012-03-29,TMIN,253
CO000080001,2006-08-12,TMAX,305
CO000080001,2013-06-06,TMAX,315
CO000080001,2014-03-30,TMIN,260
CO000080001,2005-11-16,TMAX,290
CO000080001,2006-06-21,TMAX,295
CO000080001,2007-03-20,TMIN,261
CO000080001,2014-03-12,TMIN,255
CO000080001,2014-09-07,TMAX,306
CO000080001,2007-05-12,TMIN,265
CO000080001,2014-06-19,TMAX,295
CO000080001,2011-07-21,TMIN,274
CO000080001,2007-02-12,TMIN,259
CO000080001,2011-12-21,TMAX,284
CO000080001,2011-08-25,TMIN,263
CO000080001,2014-09-27,TMAX,312
CO000080001,2010-11-25,TMIN,238
CO000080001,2011-12-21,TMIN,238
CO000080001,2014-09-07,TMIN,278
CO000080001,2015-04-06,TMAX,294
CO000080001,2010-07-25,TMIN,255
CO000080001,2010-12-14,TMAX,283
CO000080001,2012-06-27,TMIN,261
CO000080001,2005-01-17,TMIN,233
CO000080001,2011-06-11,TMAX,308
CO000080001,2010-07-03,TMIN,253
CO000080001,2010-06-13,TMIN,233
CO000080001,2012-06-27,TMAX,321
CO000080001,2015-04-06,TMIN,266
CO000080001,2006-03-06,TMIN,258
CO000080001,2006-09-30,TMAX,315
CO000080001,2010-03-03,TMIN,260
CO000080001,2007-03-25,TMIN,254
CO000080001,2010-07-25,TMAX,316
CO000080001,2014-06-06,TMAX,300
CO000080001,2007-05-20,TMIN,243
CO000080001,2007-03-25,TMAX,296
CO000080001,2013-10-08,TMAX,315
CO000080001,2011-01-13,TMIN,244
CO000080001,2006-03-06,TMAX,290
CO000080001,2011-01-13,TMAX,284
CO000080001,2012-05-07,TMIN,260
CO000080001,2012-05-07,TMAX,310
CO000080001,2007-02-04,TMIN,259
CO000080001,2011-06-11,TMIN,270
CO000080001,2010-12-10,TMIN,245
CO000080001,2015-01-29,TMAX,320
CO000080001,2011-05-23,TMIN,240
CO000080001,2012-07-30,TMIN,255
CO000080001,2013-03-18,TMIN,260
CO000080001,2015-05-21,TMIN,268
CO000080001,2012-02-09,TMIN,250
CO000080001,2012-05-13,TMAX,309
CO000080001,2012-12-29,TMIN,267
CO000080001,2012-12-27,TMIN,263
CO000080001,2012-09-10,TMIN,260
CO000080001,2006-08-12,TMIN,266
CO000080001,2012-05-10,TMAX,312
CO000080001,2012-10-26,TMAX,300
