ID,Date,Element,Data_Value
RSM00023514,2010-04-03,TMAX,104
RSM00023418,2007-03-21,TMAX,40
RSM00023514,2007-07-24,TMIN,67
RSM00023418,2005-01-10,TMAX,-80
RSM00023418,2015-08-04,TMIN,127
RSM00023514,2007-07-05,TMIN,174
RSM00023514,2008-07-18,TMIN,97
RSM00023514,2007-07-05,TMAX,312
RSM00023418,2007-12-14,TMAX,-72
RSM00023514,2007-08-09,TMAX,177
RSM00023418,2005-01-25,TMIN,-156
RSM00023418,2012-12-09,TMIN,-267
RSM00023514,2007-07-24,TMAX,128
RSM00023418,2013-01-23,TMIN,-379
RSM00023514,2013-01-28,TMIN,-300
RSM00023418,2008-04-11,TMIN,-153
RSM00023418,2015-08-04,TMAX,182
RSM00023514,2005-02-10,TMIN,-212
RSM00023514,2005-07-20,TMAX,282
RSM00023418,2011-07-04,TMIN,40
RSM00023514,2013-08-13,TMIN,124
RSM00023418,2007-12-17,TMAX,-7
RSM00023418,2011-07-04,TMAX,121
RSM00023418,2005-08-23,TMAX,104
RSM00023418,2006-10-24,TMIN,-87
RSM00023418,2011-04-28,TMAX,58
RSM00023418,2005-01-25,TMAX,-108
RSM00023418,2011-08-28,TMAX,101
RSM00023418,2011-07-01,TMAX,150
RSM00023418,2007-11-21,TMIN,-181
RSM00023418,2006-12-01,TMAX,-78
RSM00023418,2006-05-23,TMAX,179
RSM00023514,2008-06-30,TMIN,147
RSM00023514,2013-01-28,TMAX,-147
RSM00023418,2007-01-04,TMAX,-5
RSM00023418,2006-05-23,TMIN,85
RSM00023418,2006-02-01,TMAX,-157
RSM00023514,2005-06-02,TMAX,140
RSM00023418,2012-03-10,TMIN,-222
RSM00023418,2007-12-14,TMIN,-167
RSM00023514,2005-06-02,TMIN,-25
RSM00023418,2006-12-01,TMIN,-107
RSM00023418,2005-06-18,TMAX,83
RSM00023418,2015-05-16,TMAX,240
RSM00023418,2005-12-27,TMAX,-196
RSM00023418,2009-01-12,TMAX,-150
RSM00023514,2009-05-06,TMIN,2
RSM00023418,2012-12-04,TMIN,-198
RSM00023418,2012-12-04,TMAX,-125
RSM00023418,2007-03-02,TMIN,-153
RSM00023514,2010-08-10,TMAX,283
RSM00023514,2009-09-28,TMAX,121
RSM00023418,2007-11-21,TMAX,-121
RSM00023418,2007-03-02,TMAX,-101
RSM00023514,2007-01-03,TMAX,-7
RSM00023418,2011-03-16,TMIN,-138
RSM00023514,2011-12-07,TMIN,-14
RSM00023514,2008-07-18,TMAX,254
RSM00023418,2015-05-16,TMIN,85
RSM00023418,2007-11-11,TMAX,-70
RSM00023418,2015-04-06,TMIN,-11
RSM00023514,2012-01-03,TMAX,-95
RSM00023514,2005-02-10,TMAX,-114
RSM00023418,2007-02-15,TMIN,-275
RSM00023418,2007-10-09,TMIN,44
RSM00023418,2010-03-15,TMAX,-27
RSM00023514,2005-07-20,TMIN,168
RSM00023514,2011-03-14,TMIN,-65
RSM00023514,2009-06-30,TMAX,104
RSM00023418,2012-02-01,TMIN,-350
RSM00023514,2012-02-01,TMIN,-319
RSM00023514,2011-06-04,TMIN,116
RSM00023418,2007-10-09,TMAX,145
RSM00023514,2006-11-25,TMIN,-233
RSM00023514,2012-02-01,TMAX,-225
RSM00023418,2005-12-26,TMIN,-198
RSM00023418,2007-02-15,TMAX,-135
RSM00023418,2011-04-26,TMIN,-31
RSM00023418,2010-11-05,TMIN,3
RSM00023418,2015-10-18,TMAX,24
RSM00023418,2013-01-23,TMAX,-296
RSM00023418,2015-11-03,TMAX,-45
RSM00023418,2007-03-09,TMIN,-93
RSM00023418,2007-03-09,TMAX,-29
RSM00023418,2013-01-28,TMIN,-282
RSM00023418,2011-04-28,TMIN,4
RSM00023514,2005-02-01,TMAX,-100
RSM00023514,2007-08-09,TMIN,57
RSM00023418,2006-10-24,TMAX,-45
RSM00023418,2015-12-08,TMAX,-23
RSM00023514,2006-12-28,TMIN,-183
RSM00023418,2006-08-23,TMAX,207
RSM00023514,2009-06-30,TMIN,34
RSM00023418,2006-11-09,TMAX,-2
RSM00023418,2007-11-11,TMIN,-122
RSM00023418,2010-11-05,TMAX,35
RSM00023514,2005-11-27,TMIN,-42
RSM00023418,2015-06-01,TMAX,298
RSM00023418,2012-02-01,TMAX,-292
RSM00023514,2006-01-06,TMAX,-106
RSM00023418,2012-08-03,TMIN,140
RSM00023418,2012-02-10,TMAX,-188
RSM00023418,2014-01-27,TMAX,-337
RSM00023418,2006-11-09,TMIN,-55
RSM00023514,2006-05-12,TMIN,-42
RSM00023514,2009-10-13,TMAX,7
RSM00023418,2005-06-18,TMIN,22
RSM00023514,2005-11-12,TMIN,15
RSM00023514,2007-09-27,TMIN,77
RSM00023418,2005-12-27,TMIN,-254
RSM00023418,2012-02-10,TMIN,-242
RSM00023514,2012-01-03,TMIN,-204
RSM00023514,2011-06-04,TMAX,280
RSM00023418,2008-04-11,TMAX,-65
RSM00023418,2012-08-03,TMAX,193
RSM00023418,2005-08-23,TMIN,3
RSM00023514,2006-12-28,TMAX,-131
RSM00023418,2007-05-30,TMAX,119
RSM00023514,2006-11-25,TMAX,-177
RSM00023514,2006-01-05,TMAX,-112
RSM00023418,2014-01-27,TMIN,-398
RSM00023514,2007-05-15,TMAX,126
RSM00023514,2007-05-15,TMIN,-15
RSM00023418,2008-07-28,TMAX,180
RSM00023514,2012-03-21,TMIN,-136
RSM00023418,2008-07-28,TMIN,98
RSM00023418,2010-03-15,TMIN,-82
RSM00023418,2005-04-27,TMAX,19
