ID,Date,Element,Data_Value
BLM00085139,2014-04-19,TMIN,250
BLM00085139,2014-08-10,TMAX,320
BLM00085139,2015-03-10,TMAX,346
BLM00085139,2014-04-02,TMAX,330
BLM00085139,2013-11-02,TMIN,224
BLM00085139,2013-08-20,TMIN,171
BLM00085139,2015-08-22,TMAX,361
BLM00085139,2015-04-23,TMIN,233
BLM00085139,2012-01-24,TMIN,238
BLM00085139,2012-05-22,TMAX,323
BLM00085139,2014-04-17,TMIN,226
BLM00085139,2015-03-28,TMIN,201
BLM00085139,2015-10-19,TMAX,386
BLM00085139,2013-08-08,TMAX,342
BLM00085139,2012-04-13,TMAX,354
BLM00085139,2014-03-06,TMAX,340
BLM00085139,2013-05-17,TMAX,213
BLM00085139,2014-07-22,TMIN,203
BLM00085139,2015-03-10,TMIN,243
BLM00085139,2015-09-29,TMAX,363
BLM00085139,2013-12-06,TMAX,360
BLM00085139,2014-06-04,TMAX,300
BLM00085139,2015-02-10,TMAX,332
BLM00085139,2015-12-24,TMIN,252
BLM00085139,2012-06-20,TMAX,318
BLM00085139,2015-08-22,TMIN,221
BLM00085139,2013-08-20,TMAX,370
BLM00085139,2012-06-24,TMAX,284
BLM00085139,2012-05-27,TMAX,334
BLM00085139,2012-05-22,TMIN,223
BLM00085139,2015-09-29,TMIN,228
BLM00085139,2014-11-25,TMIN,238
BLM00085139,2013-12-06,TMIN,241
BLM00085139,2013-06-08,TMIN,201
BLM00085139,2012-08-06,TMAX,334
BLM00085139,2014-04-14,TMIN,198
BLM00085139,2015-09-08,TMIN,243
BLM00085139,2012-08-08,TMIN,173
BLM00085139,2014-09-04,TMAX,350
BLM00085139,2013-09-25,TMAX,308
BLM00085139,2013-06-02,TMAX,324
BLM00085139,2013-11-02,TMAX,276
BLM00085139,2013-05-28,TMIN,228
BLM00085139,2014-10-31,TMIN,242
BLM00085139,2013-05-17,TMIN,164
BLM00085139,2013-03-25,TMAX,272
BLM00085139,2014-06-04,TMIN,212
BLM00085139,2015-11-24,TMIN,233
BLM00085139,2014-06-08,TMIN,242
BLM00085139,2012-08-08,TMAX,334
BLM00085139,2014-10-31,TMAX,340
BLM00085139,2013-07-16,TMIN,214
BLM00085139,2012-06-20,TMIN,227
BLM00085139,2013-07-05,TMIN,212
BLM00085139,2013-06-18,TMIN,222
BLM00085139,2015-02-11,TMAX,330
BLM00085139,2013-11-24,TMAX,342
BLM00085139,2015-02-11,TMIN,242
BLM00085139,2012-08-04,TMAX,354
BLM00085139,2012-08-04,TMIN,213
BLM00085139,2014-12-20,TMAX,308
BLM00085139,2014-07-04,TMAX,330
BLM00085139,2015-02-12,TMAX,316
BLM00085139,2012-04-05,TMAX,345
BLM00085139,2013-06-14,TMIN,207
BLM00085139,2013-08-08,TMIN,228
BLM00085139,2014-02-08,TMAX,243
BLM00085139,2014-10-30,TMIN,236
BLM00085139,2013-06-18,TMAX,301
BLM00085139,2013-03-20,TMIN,232
