ID,Date,Element,Data_Value
TX000038392,2011-03-09,TMIN,45
TX000038392,2008-07-21,TMIN,215
TX000038392,2013-10-27,TMAX,128
TX000038392,2013-01-02,TMAX,15
TX000038392,2014-11-19,TMIN,-54
TX000038392,2005-12-09,TMAX,44
TX000038392,2010-12-07,TMAX,85
TX000038392,2010-07-15,TMAX,361
TX000038392,2014-09-15,TMAX,312
TX000038392,2011-03-09,TMAX,185
TX000038392,2015-03-01,TMIN,8
TX000038392,2015-02-26,TMIN,2
TX000038392,2015-09-11,TMIN,186
TX000038392,2011-12-06,TMAX,50
TX000038392,2010-12-14,TMIN,20
TX000038392,2015-08-01,TMAX,387
TX000038392,2013-12-02,TMIN,5
TX000038392,2014-11-19,TMAX,26
TX000038392,2015-10-14,TMAX,144
TX000038392,2006-05-22,TMIN,140
TX000038392,2007-11-02,TMAX,221
TX000038392,2013-12-02,TMAX,82
TX000038392,2011-09-16,TMAX,271
TX000038392,2009-09-21,TMAX,276
TX000038392,2015-10-14,TMIN,53
TX000038392,2008-07-21,TMAX,361
TX000038392,2009-09-21,TMIN,166
TX000038392,2013-09-10,TMAX,355
TX000038392,2005-02-13,TMIN,-104
TX000038392,2006-07-19,TMIN,236
TX000038392,2008-11-30,TMIN,38
TX000038392,2007-12-27,TMIN,-132
TX000038392,2015-03-17,TMIN,-5
TX000038392,2007-09-23,TMAX,235
TX000038392,2012-05-03,TMAX,217
TX000038392,2006-07-19,TMAX,395
TX000038392,2009-11-03,TMAX,256
TX000038392,2007-12-27,TMAX,-38
TX000038392,2005-02-13,TMAX,-5
TX000038392,2009-12-28,TMAX,79
TX000038392,2010-12-28,TMIN,-32
TX000038392,2005-12-02,TMIN,2
TX000038392,2008-03-27,TMAX,303
TX000038392,2008-03-07,TMAX,190
TX000038392,2012-05-03,TMIN,139
TX000038392,2014-07-04,TMAX,360
TX000038392,2015-05-07,TMAX,308
TX000038392,2006-07-27,TMIN,196
TX000038392,2009-11-03,TMIN,117
TX000038392,2007-06-30,TMAX,365
TX000038392,2007-03-18,TMAX,108
TX000038392,2012-12-17,TMAX,-95
TX000038392,2013-11-15,TMAX,191
TX000038392,2007-07-28,TMIN,184
TX000038392,2013-11-15,TMIN,46
TX000038392,2014-06-19,TMAX,398
TX000038392,2013-10-27,TMIN,5
TX000038392,2007-04-23,TMIN,107
TX000038392,2014-11-16,TMAX,145
TX000038392,2006-10-17,TMAX,230
TX000038392,2007-01-23,TMAX,100
TX000038392,2012-07-23,TMIN,215
TX000038392,2006-04-02,TMAX,220
TX000038392,2007-10-07,TMAX,216
TX000038392,2008-04-22,TMAX,228
TX000038392,2007-07-28,TMAX,339
TX000038392,2014-02-08,TMIN,-205
TX000038392,2008-10-10,TMAX,221
TX000038392,2014-02-08,TMAX,-84
TX000038392,2012-07-23,TMAX,389
TX000038392,2013-02-23,TMAX,85
TX000038392,2011-03-19,TMIN,25
TX000038392,2008-11-12,TMAX,82
TX000038392,2010-12-07,TMIN,-98
TX000038392,2010-11-08,TMIN,49
TX000038392,2011-03-19,TMAX,146
TX000038392,2013-12-29,TMAX,1
TX000038392,2015-08-13,TMAX,358
TX000038392,2012-12-17,TMIN,-180
TX000038392,2013-12-29,TMIN,-73
TX000038392,2007-11-02,TMIN,38
TX000038392,2013-02-23,TMIN,20
TX000038392,2015-03-17,TMAX,128
TX000038392,2015-06-23,TMAX,366
TX000038392,2015-09-11,TMAX,356
