ID,Date,Element,Data_Value
RSM00029068,2014-03-03,TMAX,-109
RSM00029068,2015-04-07,TMIN,-94
RSM00029068,2014-10-10,TMAX,5
RSM00029068,2014-08-04,TMIN,75
RSM00029068,2013-10-09,TMAX,51
RSM00029068,2013-01-21,TMAX,-362
RSM00029068,2012-08-10,TMIN,86
RSM00029068,2014-12-06,TMAX,-112
RSM00029068,2013-01-22,TMIN,-412
RSM00029068,2012-07-11,TMAX,240
RSM00029068,2013-07-28,TMAX,250
RSM00029068,2012-07-11,TMIN,59
RSM00029068,2013-03-20,TMAX,-115
RSM00029068,2013-10-15,TMAX,114
RSM00029068,2013-09-27,TMIN,-53
RSM00029068,2015-12-12,TMIN,-72
RSM00029068,2012-06-30,TMIN,145
RSM00029068,2014-12-19,TMAX,-83
RSM00029068,2015-03-03,TMAX,-20
RSM00029068,2014-12-06,TMIN,-262
RSM00029068,2013-08-13,TMAX,249
RSM00029068,2013-11-26,TMIN,-148
RSM00029068,2015-01-26,TMIN,-265
RSM00029068,2013-01-02,TMIN,-388
RSM00029068,2013-01-02,TMAX,-249
RSM00029068,2013-02-12,TMIN,-274
RSM00029068,2013-02-12,TMAX,-184
RSM00029068,2013-10-25,TMAX,-52
RSM00029068,2013-10-25,TMIN,-121
RSM00029068,2014-01-07,TMIN,-309
RSM00029068,2014-05-16,TMIN,-2
RSM00029068,2015-03-04,TMAX,-32
RSM00029068,2012-06-24,TMIN,114
RSM00029068,2015-09-10,TMIN,108
RSM00029068,2015-09-10,TMAX,170
RSM00029068,2013-07-28,TMIN,90
RSM00029068,2012-11-21,TMIN,-182
RSM00029068,2014-02-03,TMAX,-212
RSM00029068,2015-11-06,TMIN,-134
RSM00029068,2015-02-11,TMIN,-118
RSM00029068,2015-11-06,TMAX,-20
RSM00029068,2015-01-06,TMIN,-90
RSM00029068,2012-11-01,TMAX,-73
RSM00029068,2014-04-13,TMIN,-147
RSM00029068,2014-05-19,TMIN,-17
RSM00029068,2012-05-06,TMAX,92
RSM00029068,2014-06-24,TMIN,110
RSM00029068,2012-09-20,TMIN,90
RSM00029068,2015-12-07,TMAX,-62
RSM00029068,2012-07-20,TMAX,321
RSM00029068,2015-04-07,TMAX,78
RSM00029068,2015-05-16,TMAX,145
RSM00029068,2015-05-12,TMAX,131
RSM00029068,2013-08-16,TMAX,141
RSM00029068,2015-04-17,TMAX,32
RSM00029068,2014-05-16,TMAX,158
RSM00029068,2015-12-03,TMAX,-23
RSM00029068,2013-11-02,TMAX,74
RSM00029068,2012-06-24,TMAX,252
RSM00029068,2012-09-20,TMAX,109
RSM00029068,2013-10-09,TMIN,17
RSM00029068,2012-11-28,TMAX,-268
RSM00029068,2013-01-21,TMIN,-454
RSM00029068,2014-04-13,TMAX,22
RSM00029068,2014-08-16,TMIN,145
RSM00029068,2015-11-18,TMIN,-255
RSM00029068,2012-08-23,TMAX,162
RSM00029068,2015-02-11,TMAX,-50
RSM00029068,2013-06-18,TMAX,299
RSM00029068,2014-09-03,TMAX,125
RSM00029068,2013-08-13,TMIN,124
RSM00029068,2015-07-15,TMAX,263
RSM00029068,2014-06-21,TMIN,98
RSM00029068,2015-02-08,TMAX,-113
RSM00029068,2014-10-23,TMAX,-77
RSM00029068,2014-03-29,TMAX,-10
RSM00029068,2014-07-23,TMAX,302
RSM00029068,2014-07-12,TMAX,314
RSM00029068,2015-04-06,TMAX,74
RSM00029068,2013-04-13,TMIN,-130
RSM00029068,2014-06-12,TMAX,147
RSM00029068,2012-08-18,TMAX,148
RSM00029068,2014-09-01,TMAX,223
RSM00029068,2013-01-07,TMAX,-292
RSM00029068,2014-01-14,TMAX,-75
RSM00029068,2014-08-28,TMAX,105
RSM00029068,2015-03-01,TMIN,-281
RSM00029068,2015-12-14,TMIN,-162
RSM00029068,2014-06-21,TMAX,289
RSM00029068,2014-05-19,TMAX,40
RSM00029068,2014-12-22,TMIN,-150
RSM00029068,2014-07-23,TMIN,153
RSM00029068,2014-09-03,TMIN,26
RSM00029068,2013-06-18,TMIN,90
RSM00029068,2012-07-20,TMIN,120
RSM00029068,2012-06-30,TMAX,202
RSM00029068,2014-08-04,TMAX,264
RSM00029068,2012-06-18,TMIN,123
RSM00029068,2014-07-06,TMAX,306
RSM00029068,2012-04-20,TMAX,55
RSM00029068,2014-10-19,TMAX,-68
RSM00029068,2012-04-20,TMIN,-80
RSM00029068,2012-09-25,TMAX,93
RSM00029068,2015-03-23,TMAX,62
RSM00029068,2015-03-23,TMIN,-26
RSM00029068,2012-03-31,TMIN,-129
RSM00029068,2012-11-06,TMAX,-138
RSM00029068,2013-04-28,TMIN,-47
RSM00029068,2013-07-21,TMAX,290
RSM00029068,2013-07-21,TMIN,117
RSM00029068,2013-04-13,TMAX,46
RSM00029068,2015-03-03,TMIN,-60
RSM00029068,2012-11-06,TMIN,-181
RSM00029068,2015-03-21,TMAX,24
RSM00029068,2012-09-11,TMAX,230
RSM00029068,2015-03-21,TMIN,-175
RSM00029068,2014-12-16,TMAX,-80
RSM00029068,2013-02-01,TMAX,-195
RSM00029068,2012-10-01,TMIN,9
RSM00029068,2015-10-13,TMIN,-15
RSM00029068,2014-02-11,TMAX,-189
RSM00029068,2012-10-01,TMAX,123
RSM00029068,2014-08-09,TMIN,81
RSM00029068,2014-12-05,TMAX,-133
RSM00029068,2012-12-08,TMAX,-155
RSM00029068,2015-02-28,TMAX,-30
RSM00029068,2014-08-09,TMAX,146
RSM00029068,2012-05-26,TMIN,-6
RSM00029068,2013-12-11,TMAX,-91
RSM00029068,2012-10-09,TMAX,65
RSM00029068,2012-03-26,TMAX,20
RSM00029068,2012-11-04,TMAX,-20
RSM00029068,2015-02-05,TMAX,-169
RSM00029068,2015-11-09,TMAX,-1
RSM00029068,2012-12-05,TMAX,-204
RSM00029068,2013-05-11,TMAX,71
RSM00029068,2012-11-22,TMAX,-45
RSM00029068,2012-12-05,TMIN,-361
RSM00029068,2014-03-20,TMAX,106
RSM00029068,2013-01-20,TMAX,-349
RSM00029068,2014-03-08,TMIN,-129
RSM00029068,2014-08-19,TMAX,224
RSM00029068,2014-03-08,TMAX,-30
RSM00029068,2013-10-08,TMIN,-24
RSM00029068,2012-09-10,TMAX,207
RSM00029068,2012-12-03,TMAX,-205
RSM00029068,2013-04-24,TMIN,28
RSM00029068,2015-09-23,TMIN,18
RSM00029068,2013-10-08,TMAX,50
RSM00029068,2013-08-20,TMIN,106
RSM00029068,2015-04-15,TMIN,-30
RSM00029068,2015-01-18,TMAX,-97
RSM00029068,2013-06-19,TMIN,132
RSM00029068,2012-04-19,TMAX,49
RSM00029068,2012-04-19,TMIN,-114
RSM00029068,2013-12-13,TMIN,-118
RSM00029068,2015-03-14,TMAX,-8
RSM00029068,2013-12-13,TMAX,-58
RSM00029068,2012-10-09,TMIN,21
RSM00029068,2013-11-21,TMAX,51
RSM00029068,2014-06-29,TMAX,234
RSM00029068,2013-02-18,TMIN,-291
RSM00029068,2012-07-16,TMAX,222
RSM00029068,2014-03-20,TMIN,-33
RSM00029068,2015-09-30,TMAX,30
RSM00029068,2014-04-02,TMAX,72
RSM00029068,2015-01-30,TMAX,-100
RSM00029068,2013-09-07,TMIN,19
RSM00029068,2013-02-09,TMAX,-187
RSM00029068,2014-01-31,TMAX,-349
RSM00029068,2012-10-10,TMAX,30
RSM00029068,2014-06-18,TMAX,306
RSM00029068,2014-09-18,TMIN,51
RSM00029068,2014-06-01,TMIN,7
RSM00029068,2014-06-01,TMAX,62
RSM00029068,2013-09-07,TMAX,105
RSM00029068,2013-09-17,TMAX,84
RSM00029068,2015-03-22,TMIN,-47
RSM00029068,2013-03-29,TMAX,-19
RSM00029068,2012-06-22,TMAX,212
RSM00029068,2013-02-09,TMIN,-325
RSM00029068,2014-07-28,TMAX,210
RSM00029068,2012-06-22,TMIN,92
RSM00029068,2014-10-16,TMAX,-13
RSM00029068,2015-12-17,TMIN,-187
RSM00029068,2013-07-29,TMAX,274
RSM00029068,2014-08-08,TMAX,127
RSM00029068,2014-08-08,TMIN,78
RSM00029068,2012-03-23,TMIN,-46
RSM00029068,2014-01-31,TMIN,-450
RSM00029068,2012-03-23,TMAX,22
RSM00029068,2013-10-15,TMIN,10
RSM00029068,2014-03-10,TMAX,-50
RSM00029068,2014-02-26,TMAX,-173
RSM00029068,2015-03-05,TMAX,-125
RSM00029068,2013-04-07,TMAX,11
RSM00029068,2012-05-26,TMAX,69
RSM00029068,2013-03-01,TMAX,-4
RSM00029068,2012-03-26,TMIN,-146
RSM00029068,2013-12-06,TMAX,-4
RSM00029068,2012-08-23,TMIN,-7
RSM00029068,2015-03-13,TMAX,1
RSM00029068,2014-12-04,TMIN,-226
RSM00029068,2015-03-22,TMAX,59
RSM00029068,2014-09-27,TMAX,76
RSM00029068,2015-06-24,TMAX,170
RSM00029068,2012-10-30,TMIN,-21
RSM00029068,2014-03-22,TMAX,42
RSM00029068,2012-10-27,TMAX,-68
RSM00029068,2014-09-27,TMIN,-65
RSM00029068,2015-03-13,TMIN,-63
RSM00029068,2013-11-23,TMAX,-30
RSM00029068,2012-03-02,TMIN,-289
RSM00029068,2015-04-24,TMAX,104
RSM00029068,2013-07-29,TMIN,112
RSM00029068,2013-03-29,TMIN,-143
RSM00029068,2013-10-05,TMIN,-9
RSM00029068,2013-02-19,TMAX,-120
RSM00029068,2013-02-11,TMAX,-139
RSM00029068,2015-10-13,TMAX,50
RSM00029068,2014-03-21,TMAX,40
RSM00029068,2015-02-08,TMIN,-177
RSM00029068,2014-06-24,TMAX,320
RSM00029068,2013-02-16,TMAX,-239
RSM00029068,2013-07-22,TMAX,305
RSM00029068,2013-07-22,TMIN,115
RSM00029068,2013-04-24,TMAX,79
RSM00029068,2015-06-24,TMIN,83
RSM00029068,2015-10-15,TMAX,-9
RSM00029068,2015-11-28,TMIN,-118
RSM00029068,2012-03-02,TMAX,-97
RSM00029068,2015-09-30,TMIN,-24
RSM00029068,2012-03-22,TMAX,-35
RSM00029068,2014-10-09,TMAX,40
RSM00029068,2014-07-03,TMIN,87
RSM00029068,2015-11-26,TMIN,-189
RSM00029068,2012-08-06,TMAX,165
RSM00029068,2014-01-25,TMAX,-196
RSM00029068,2015-05-30,TMAX,210
RSM00029068,2014-10-24,TMIN,-187
RSM00029068,2012-10-19,TMAX,-35
RSM00029068,2013-05-06,TMAX,65
RSM00029068,2012-10-19,TMIN,-165
RSM00029068,2012-03-13,TMIN,-231
RSM00029068,2013-08-19,TMAX,246
RSM00029068,2015-07-31,TMIN,146
RSM00029068,2014-04-21,TMAX,59
RSM00029068,2013-03-31,TMAX,40
RSM00029068,2015-05-22,TMAX,205
RSM00029068,2012-08-19,TMAX,170
RSM00029068,2015-12-30,TMAX,-32
RSM00029068,2014-03-15,TMAX,30
RSM00029068,2014-12-31,TMAX,-199
RSM00029068,2013-06-03,TMAX,110
RSM00029068,2014-02-03,TMIN,-342
RSM00029068,2015-01-17,TMAX,-65
RSM00029068,2014-11-09,TMIN,-199
RSM00029068,2014-08-16,TMAX,203
RSM00029068,2015-06-06,TMIN,70
RSM00029068,2014-10-15,TMAX,0
RSM00029068,2013-03-06,TMAX,-174
RSM00029068,2014-10-28,TMIN,-127
RSM00029068,2013-05-15,TMIN,6
RSM00029068,2012-05-29,TMAX,213
RSM00029068,2015-10-19,TMIN,-76
RSM00029068,2012-08-19,TMIN,38
RSM00029068,2015-11-17,TMAX,-150
RSM00029068,2014-10-24,TMAX,-75
RSM00029068,2012-08-08,TMAX,220
RSM00029068,2014-05-01,TMIN,-28
RSM00029068,2013-12-28,TMIN,-43
RSM00029068,2014-05-17,TMAX,75
RSM00029068,2013-12-28,TMAX,-18
RSM00029068,2014-09-13,TMAX,79
RSM00029068,2012-03-21,TMAX,-30
RSM00029068,2013-05-07,TMIN,-17
RSM00029068,2015-10-03,TMIN,1
RSM00029068,2015-03-26,TMIN,-230
RSM00029068,2014-02-07,TMIN,-330
RSM00029068,2015-11-20,TMIN,-263
RSM00029068,2012-12-25,TMAX,-209
RSM00029068,2015-09-17,TMIN,3
RSM00029068,2015-02-27,TMAX,-29
RSM00029068,2014-09-13,TMIN,47
RSM00029068,2015-06-06,TMAX,288
RSM00029068,2012-10-02,TMAX,110
RSM00029068,2015-05-07,TMIN,-31
RSM00029068,2013-11-29,TMIN,-138
RSM00029068,2013-01-23,TMIN,-221
RSM00029068,2014-01-02,TMIN,-128
RSM00029068,2013-08-02,TMIN,148
RSM00029068,2014-12-13,TMIN,-268
RSM00029068,2014-12-07,TMAX,-115
RSM00029068,2014-09-18,TMAX,181
RSM00029068,2015-05-07,TMAX,147
RSM00029068,2014-02-18,TMAX,-115
RSM00029068,2014-01-28,TMAX,-349
