ID,Date,Element,Data_Value
USC00502352,2008-10-27,TMIN,-172
USR0000AGEO,2010-05-19,TMIN,67
USS0045O04S,2011-04-07,TMAX,90
USS0045O04S,2007-01-29,TMIN,-106
USS0045O04S,2015-09-15,TMIN,9
USS0045O10S,2010-03-20,TMAX,13
USS0045O10S,2007-08-18,TMAX,210
USC00502568,2015-09-14,TMIN,11
USC00502350,2011-12-18,TMIN,-78
USW00026415,2012-07-14,TMIN,106
USW00026415,2015-01-12,TMAX,-66
USS0045O04S,2015-12-12,TMAX,-95
USC00502568,2015-09-14,TMAX,106
USC00502352,2010-02-02,TMAX,-100
USR0000AGEO,2010-05-19,TMAX,211
USC00502339,2007-12-18,TMAX,-206
USC00502352,2011-08-16,TMAX,128
USW00026415,2015-10-05,TMAX,72
USR0000AGEO,2012-07-14,TMAX,211
USC00502339,2005-02-01,TMIN,-428
USS0045O04S,2011-12-14,TMAX,-91
USS0045O04S,2010-08-25,TMAX,150
USR0000AGEO,2011-08-22,TMAX,206
USW00026415,2012-07-14,TMAX,200
USS0045O04S,2012-07-14,TMAX,220
USC00502350,2011-12-18,TMAX,11
USS0045O10S,2008-11-25,TMAX,-100
USC00502339,2015-05-25,TMAX,239
USC00502339,2005-02-01,TMAX,-278
USW00026415,2013-10-12,TMAX,111
USS0045O04S,2011-12-14,TMIN,-224
USC00502339,2011-02-15,TMAX,-322
USW00026415,2013-10-12,TMIN,44
USS0045O04S,2010-01-11,TMIN,-464
USC00502350,2007-10-09,TMIN,-167
USW00026415,2015-01-12,TMIN,-138
USC00502350,2011-05-14,TMAX,178
USS0045O10S,2008-06-28,TMIN,30
USC00502568,2015-11-22,TMAX,-61
USC00502352,2009-09-29,TMIN,-78
USR0000AGEO,2009-05-04,TMAX,172
USC00502350,2013-10-12,TMIN,-22
USC00509793,2015-11-05,TMAX,-17
USC00502350,2007-10-09,TMAX,-17
USS0045O10S,2006-04-05,TMAX,0
USR0000AGEO,2007-06-21,TMIN,94
USW00026415,2005-02-10,TMAX,-39
USS0045O04S,2014-12-02,TMIN,-102
USC00502339,2011-02-15,TMIN,-467
USC00502352,2009-11-26,TMAX,-61
USC00502339,2010-09-25,TMAX,50
USC00509793,2015-11-05,TMIN,-78
USC00509793,2011-12-14,TMAX,-94
USR0000AGEO,2012-11-06,TMAX,-167
USC00502352,2006-03-14,TMIN,-339
USW00026415,2015-10-05,TMIN,-27
USS0045O10S,2008-06-28,TMAX,190
USC00502339,2010-09-25,TMIN,-167
USR0000AGEO,2007-06-21,TMAX,278
USS0045O04S,2015-09-15,TMAX,99
USC00509793,2014-09-29,TMAX,44
USR0000ATLA,2009-08-10,TMIN,33
USC00509793,2014-09-29,TMIN,-39
USS0045O04S,2012-07-14,TMIN,82
USS0045O04S,2008-08-01,TMIN,74
USC00502568,2015-11-22,TMIN,-194
USS0045O04S,2010-08-24,TMIN,17
USC00502339,2015-05-25,TMIN,94
USR0000AGEO,2012-11-06,TMIN,-267
USC00502352,2008-10-27,TMAX,-111
USS0045O10S,2007-08-18,TMIN,100
USW00026415,2005-02-10,TMIN,-211
USC00509793,2011-12-14,TMIN,-233
USC00502350,2010-08-25,TMIN,89
USC00502568,2009-09-29,TMAX,39
USC00502350,2010-08-25,TMAX,144
USW00026415,2013-09-01,TMAX,128
USC00502350,2011-05-14,TMIN,-44
USS0045O04S,2010-08-24,TMAX,185
USR0000ATLA,2011-05-13,TMIN,-17
USS0045O04S,2015-12-12,TMIN,-231
USC00502350,2005-08-25,TMAX,139
USC00502339,2011-08-19,TMAX,161
USW00026415,2008-11-03,TMAX,-128
USR0000AGEO,2010-07-10,TMAX,272
USS0045O04S,2005-01-16,TMAX,-194
USR0000ATLA,2011-08-16,TMIN,78
USS0045O10S,2005-06-26,TMAX,220
USR0000AGEO,2005-07-17,TMIN,78
USC00502352,2013-05-08,TMAX,78
USW00026415,2011-12-14,TMAX,-106
USC00502352,2009-11-27,TMAX,-50
USW00026415,2011-12-14,TMIN,-194
USS0045O10S,2015-02-20,TMAX,-16
USR0000AGEO,2014-12-15,TMAX,-56
USS0045O10S,2015-02-20,TMIN,-110
USS0045O10S,2014-08-28,TMAX,152
USS0045O10S,2006-05-19,TMAX,160
USS0045O10S,2006-05-19,TMIN,30
USS0045O04S,2013-10-04,TMIN,-14
USS0045O10S,2010-03-19,TMAX,3
USS0045O10S,2014-08-28,TMIN,18
USR0000AGEO,2010-12-18,TMAX,-222
USC00502568,2011-02-15,TMAX,-256
USC00502568,2011-02-15,TMIN,-439
USC00502352,2009-06-26,TMAX,189
USC00502352,2009-06-26,TMIN,0
USC00502568,2005-02-10,TMIN,-178
USC00509793,2010-01-11,TMIN,-444
USC00502568,2005-04-13,TMIN,-33
USC00502352,2008-04-24,TMIN,-28
USC00502352,2008-04-24,TMAX,144
USW00026415,2007-10-09,TMAX,-28
USR0000AGEO,2008-08-01,TMIN,78
USC00502339,2010-03-19,TMAX,-11
USW00026415,2007-10-09,TMIN,-150
USC00502339,2006-12-09,TMAX,-17
USC00502339,2010-03-19,TMIN,-189
USC00502352,2009-05-26,TMIN,44
USR0000AGEO,2014-07-13,TMIN,83
USC00502568,2013-07-05,TMIN,61
USC00502568,2013-07-05,TMAX,228
USC00502339,2006-12-09,TMIN,-83
USS0045O10S,2009-09-28,TMIN,-52
USS0045O04S,2006-10-05,TMIN,-33
USR0000AGEO,2010-12-18,TMIN,-272
USS0045O10S,2005-06-26,TMIN,50
USS0045O04S,2006-10-05,TMAX,64
USS0045O10S,2014-08-16,TMIN,34
USR0000AGEO,2006-04-12,TMAX,61
USS0045O10S,2006-04-25,TMIN,-60
USC00502339,2006-02-02,TMIN,-350
USR0000AGEO,2009-01-27,TMIN,-189
USW00026415,2015-11-26,TMAX,22
USR0000ATLA,2011-08-16,TMAX,178
USS0045O04S,2013-10-04,TMAX,40
USC00502352,2009-11-27,TMIN,-94
USC00502352,2009-09-29,TMAX,6
USR0000AGEO,2008-08-01,TMAX,178
USC00502568,2005-02-10,TMAX,-50
USR0000AGEO,2010-07-10,TMIN,106
USS0045O10S,2014-01-13,TMAX,-157
USC00502339,2006-02-02,TMAX,-261
USR0000AGEO,2006-06-22,TMAX,128
USC00502350,2007-04-15,TMIN,-33
USS0045O10S,2006-02-28,TMIN,-380
USS0045O10S,2007-04-12,TMAX,60
USW00026415,2006-10-06,TMAX,89
USC00509793,2010-01-11,TMAX,-278
USR0000AGEO,2007-11-12,TMAX,-128
USW00026415,2010-08-25,TMAX,133
USR0000AGEO,2007-11-12,TMIN,-189
USS0045O10S,2007-04-12,TMIN,-10
USW00026415,2010-08-25,TMIN,83
USC00509793,2009-09-29,TMIN,-106
USC00502352,2011-02-15,TMIN,-450
USC00509793,2009-09-29,TMAX,56
USC00509793,2009-07-21,TMIN,128
USS0045O10S,2006-02-28,TMAX,-170
USC00502350,2007-04-15,TMAX,100
USC00509793,2012-07-14,TMIN,83
USR0000AGEO,2009-01-27,TMAX,-167
USC00509793,2012-07-14,TMAX,206
USR0000AGEO,2005-07-17,TMAX,133
USC00502352,2011-02-15,TMAX,-306
USR0000AGEO,2006-06-22,TMIN,78
USS0045O10S,2010-05-21,TMAX,220
USC00502352,2012-11-02,TMAX,-172
USC00502568,2009-11-27,TMAX,-39
USC00502568,2009-11-27,TMIN,-144
USC00509793,2009-08-09,TMAX,139
USS0045O10S,2014-08-16,TMAX,194
USS0045O10S,2010-03-19,TMIN,-77
USS0045O04S,2014-08-17,TMAX,168
USC00502352,2013-05-08,TMIN,-72
USS0045O04S,2005-01-16,TMIN,-306
USC00509793,2009-07-21,TMAX,233
USC00502352,2012-11-02,TMIN,-322
USR0000AGEO,2006-05-18,TMIN,28
USS0045O10S,2015-07-19,TMIN,90
USC00502352,2015-07-20,TMAX,144
USS0045O10S,2014-01-13,TMIN,-361
USS0045O10S,2005-09-30,TMIN,0
USW00026415,2014-09-29,TMIN,0
USC00502350,2009-09-29,TMAX,50
USC00509793,2009-08-09,TMIN,56
USW00026415,2014-09-29,TMAX,39
USR0000AGEO,2006-05-18,TMAX,139
USS0045O10S,2005-09-30,TMAX,50
USS0045O10S,2015-07-19,TMAX,148
USS0045O10S,2010-05-21,TMIN,81
USS0045O04S,2007-09-10,TMAX,189
USW00026415,2006-10-06,TMIN,-17
USC00502350,2009-09-29,TMIN,-106
USS0045O04S,2014-08-17,TMIN,50
USS0045O04S,2007-09-10,TMIN,53
USC00502568,2013-05-07,TMIN,-89
USW00026415,2007-04-15,TMAX,89
USS0045O10S,2005-03-02,TMIN,-120
USW00026415,2007-06-24,TMIN,133
USC00509793,2012-03-10,TMIN,-283
USC00502352,2011-08-16,TMIN,78
USS0045O10S,2014-09-27,TMIN,-60
USR0000AGEO,2012-11-02,TMIN,-139
USW00026415,2009-09-29,TMIN,-78
USS0045O10S,2014-09-27,TMAX,86
USC00502339,2011-05-13,TMIN,-44
USC00502339,2005-04-21,TMIN,-122
USC00502350,2009-06-25,TMIN,-6
USC00502350,2009-06-25,TMAX,194
USC00502339,2005-04-21,TMAX,122
USS0045O10S,2006-04-25,TMAX,70
USR0000AGEO,2012-11-02,TMAX,-100
USC00502350,2012-07-14,TMIN,78
USW00026415,2010-12-18,TMIN,-311
USW00026415,2010-12-18,TMAX,-256
USR0000ATLA,2009-07-21,TMIN,111
USC00502350,2010-12-18,TMIN,-389
USW00026415,2008-11-03,TMIN,-144
USC00502568,2010-02-02,TMIN,-128
USC00502352,2013-07-05,TMIN,67
USC00502352,2013-07-05,TMAX,211
USC00502350,2005-08-25,TMIN,72
USS0045O10S,2008-10-14,TMAX,-50
USW00026415,2007-06-24,TMAX,217
USS0045O10S,2008-10-14,TMIN,-80
USC00502350,2010-12-18,TMAX,-261
USC00502339,2011-05-13,TMAX,100
USC00502568,2013-05-07,TMAX,78
USW00026415,2011-12-18,TMAX,28
USW00026415,2011-12-18,TMIN,-56
USR0000ATLA,2012-07-14,TMAX,239
USR0000AGEO,2011-08-22,TMIN,67
USC00502339,2007-12-18,TMIN,-272
USC00502352,2012-04-21,TMIN,-28
USC00509793,2012-03-10,TMAX,-156
USC00502352,2012-04-21,TMAX,133
USC00502352,2009-11-26,TMIN,-111
USW00026415,2005-12-02,TMIN,-217
USW00026415,2005-12-02,TMAX,-172
USS0045O04S,2008-05-21,TMAX,147
USR0000ATLA,2012-07-14,TMIN,89
USR0000AGEO,2013-11-02,TMAX,-11
USC00502350,2006-07-19,TMAX,222
USC00502350,2006-07-19,TMIN,67
USS0045O10S,2010-09-24,TMIN,-99
USC00502568,2008-04-24,TMAX,150
USC00502568,2008-04-24,TMIN,-50
USS0045O04S,2010-01-11,TMAX,-337
USC00502568,2009-09-29,TMIN,-111
USS0045O10S,2010-09-24,TMAX,56
USR0000AGEO,2012-07-14,TMIN,67
USR0000AGEO,2013-11-02,TMIN,-78
USS0045O04S,2008-05-21,TMIN,12
USR0000AGEO,2014-07-13,TMAX,206
USC00502568,2007-04-15,TMAX,89
USC00502339,2014-09-29,TMIN,-39
USC00502339,2010-03-17,TMIN,-256
USC00502352,2009-05-26,TMAX,239
USC00502568,2012-11-02,TMAX,-111
USS0045O04S,2011-08-16,TMAX,190
USW00026415,2007-04-16,TMAX,94
USS0045O04S,2011-08-16,TMIN,82
USW00026415,2009-06-25,TMAX,189
