ID,Date,Element,Data_Value
CA002202405,2005-06-02,TMIN,10
CA002202405,2005-01-11,TMAX,-240
CA002202405,2005-01-11,TMIN,-400
CA002202405,2006-07-12,TMAX,150
CA002202405,2006-07-15,TMAX,260
CA002202405,2005-05-09,TMAX,-5
CA002202405,2005-05-12,TMAX,50
CA002202405,2005-01-01,TMAX,-165
CA002202405,2005-06-02,TMAX,240
CA002202405,2006-07-15,TMIN,80
CA002202405,2005-05-09,TMIN,-10
CA002202405,2005-06-21,TMAX,190
CA002202405,2005-03-26,TMIN,-240
CA002202405,2006-08-22,TMAX,270
CA002202405,2006-07-12,TMIN,100
CA002202405,2005-06-06,TMAX,160
CA002202405,2005-07-12,TMAX,285
CA002202405,2005-07-12,TMIN,105
CA002202405,2006-07-03,TMAX,310
CA002202405,2006-07-14,TMIN,60
CA002202405,2005-02-04,TMIN,-425
CA002202405,2005-06-06,TMIN,30
CA002202405,2006-07-14,TMAX,240
CA002202405,2005-04-18,TMIN,-100
CA002202405,2006-07-03,TMIN,110
CA002202405,2006-07-31,TMIN,100
CA002202405,2005-03-27,TMAX,30
CA002202405,2005-01-22,TMIN,-300
CA002202405,2005-03-30,TMIN,-110
CA002202405,2005-04-18,TMAX,80
CA002202405,2005-02-26,TMAX,-65
CA002202405,2005-02-05,TMIN,-435
CA002202405,2006-08-22,TMIN,90
CA002202405,2005-06-21,TMIN,100
CA002202405,2005-02-13,TMIN,-180
CA002202405,2005-04-24,TMIN,-35
CA002202405,2005-02-13,TMAX,-155
CA002202405,2005-04-24,TMAX,175
CA002202405,2005-03-26,TMAX,-10
CA002202405,2006-07-06,TMAX,220
CA002202405,2005-01-01,TMIN,-405
CA002202405,2005-07-02,TMIN,90
CA002202405,2006-07-06,TMIN,80
CA002202405,2006-08-07,TMAX,230
CA002202405,2006-08-07,TMIN,120
CA002202405,2005-05-29,TMAX,315
CA002202405,2005-05-29,TMIN,125
CA002202405,2005-07-02,TMAX,220
CA002202405,2005-02-26,TMIN,-105
CA002202405,2005-06-28,TMIN,50
CA002202405,2005-05-12,TMIN,0
CA002202405,2005-05-22,TMIN,-15
CA002202405,2005-03-03,TMIN,-195
CA002202405,2005-01-26,TMAX,-110
CA002202405,2005-01-30,TMAX,-140
CA002202405,2005-06-14,TMAX,150
CA002202405,2005-04-28,TMIN,-90
CA002202405,2005-04-16,TMAX,-15
CA002202405,2005-04-16,TMIN,-50
CA002202405,2005-05-06,TMIN,-35
CA002202405,2005-01-07,TMIN,-170
CA002202405,2005-03-03,TMAX,-90
CA002202405,2005-01-07,TMAX,-130
CA002202405,2005-05-08,TMIN,20
CA002202405,2006-08-06,TMIN,100
CA002202405,2005-01-26,TMIN,-260
CA002202405,2005-05-22,TMAX,70
CA002202405,2005-01-30,TMIN,-275
CA002202405,2006-08-14,TMIN,90
CA002202405,2005-05-08,TMAX,130
CA002202405,2005-01-10,TMIN,-300
CA002202405,2005-07-25,TMAX,150
CA002202405,2005-07-25,TMIN,80
CA002202405,2006-06-23,TMIN,120
CA002202405,2005-03-15,TMAX,-160
CA002202405,2006-06-23,TMAX,250
CA002202405,2005-01-04,TMIN,-405
CA002202405,2005-02-07,TMIN,-350
CA002202405,2005-02-07,TMAX,-160
CA002202405,2006-06-30,TMIN,110
CA002202405,2005-03-23,TMAX,-40
CA002202405,2005-02-12,TMAX,-100
CA002202405,2005-03-23,TMIN,-290
CA002202405,2005-01-28,TMAX,-190
CA002202405,2005-01-28,TMIN,-335
CA002202405,2005-03-15,TMIN,-340
CA002202405,2005-05-06,TMAX,140
CA002202405,2005-06-14,TMIN,105
CA002202405,2006-08-23,TMIN,100
CA002202405,2006-06-30,TMAX,200
CA002202405,2005-02-12,TMIN,-195
CA002202405,2005-01-04,TMAX,-100
CA002202405,2006-08-14,TMAX,250
CA002202405,2005-01-10,TMAX,-270
CA002202405,2005-03-16,TMIN,-325
CA002202405,2005-03-01,TMAX,30
CA002202405,2005-04-25,TMIN,10
CA002202405,2005-03-01,TMIN,-215
CA002202405,2006-07-31,TMAX,170
CA002202405,2005-06-28,TMAX,260
CA002202405,2006-07-24,TMAX,270
CA002202405,2005-01-17,TMIN,-340
CA002202405,2005-01-05,TMAX,-75
CA002202405,2005-06-19,TMIN,70
CA002202405,2005-06-30,TMIN,75
CA002202405,2005-05-25,TMAX,140
CA002202405,2005-01-05,TMIN,-150
CA002202405,2005-06-24,TMIN,45
CA002202405,2005-02-04,TMAX,-230
CA002202405,2005-01-17,TMAX,-240
CA002202405,2005-06-24,TMAX,130
CA002202405,2005-06-30,TMAX,255
CA002202405,2006-07-24,TMIN,170
CA002202405,2005-05-25,TMIN,0
CA002202405,2005-02-10,TMAX,15
CA002202405,2005-06-19,TMAX,120
CA002202405,2005-03-05,TMAX,-80
CA002202405,2006-08-11,TMAX,220
CA002202405,2005-03-16,TMAX,-75
CA002202405,2006-08-11,TMIN,70
CA002202405,2005-03-20,TMAX,-85
CA002202405,2005-05-30,TMAX,275
CA002202405,2005-04-25,TMAX,85
CA002202405,2005-06-12,TMIN,0
CA002202405,2005-02-08,TMIN,-305
CA002202405,2005-02-08,TMAX,-40
CA002202405,2005-05-30,TMIN,135
CA002202405,2006-08-10,TMIN,100
CA002202405,2005-05-04,TMIN,-35
CA002202405,2005-06-12,TMAX,195
CA002202405,2005-05-04,TMAX,150
CA002202405,2005-03-05,TMIN,-165
CA002202405,2006-08-10,TMAX,190
CA002202405,2005-05-27,TMAX,205
CA002202405,2005-05-27,TMIN,10
CA002202405,2005-02-10,TMIN,-215
CA002202405,2005-03-20,TMIN,-280
CA002202405,2006-08-06,TMAX,260
CA002202405,2005-03-12,TMIN,-255
CA002202405,2005-06-25,TMIN,20
CA002202405,2006-07-04,TMAX,200
CA002202405,2006-07-28,TMAX,230
CA002202405,2005-04-01,TMAX,90
CA002202405,2005-07-04,TMAX,270
CA002202405,2005-06-04,TMAX,210
CA002202405,2005-07-04,TMIN,160
CA002202405,2005-06-04,TMIN,90
CA002202405,2006-07-28,TMIN,50
CA002202405,2005-07-22,TMIN,75
CA002202405,2005-01-02,TMIN,-220
CA002202405,2005-01-15,TMIN,-370
CA002202405,2005-03-07,TMIN,-260
CA002202405,2005-01-15,TMAX,-300
CA002202405,2005-03-07,TMAX,-15
CA002202405,2005-04-09,TMIN,-20
CA002202405,2006-08-12,TMIN,50
CA002202405,2005-06-13,TMIN,45
CA002202405,2005-06-13,TMAX,215
CA002202405,2005-07-10,TMAX,240
CA002202405,2005-01-02,TMAX,-165
CA002202405,2005-02-23,TMAX,-45
CA002202405,2005-02-23,TMIN,-255
CA002202405,2005-01-23,TMIN,-215
CA002202405,2005-03-19,TMAX,-120
CA002202405,2005-01-23,TMAX,-135
CA002202405,2005-03-19,TMIN,-290
CA002202405,2005-06-17,TMIN,50
CA002202405,2005-07-09,TMAX,210
CA002202405,2005-07-09,TMIN,120
CA002202405,2005-06-29,TMAX,270
CA002202405,2005-06-26,TMIN,60
CA002202405,2006-07-13,TMAX,200
CA002202405,2005-06-29,TMIN,75
CA002202405,2005-06-26,TMAX,185
CA002202405,2006-07-13,TMIN,60
CA002202405,2005-03-06,TMAX,-100
CA002202405,2005-03-06,TMIN,-150
CA002202405,2006-07-29,TMIN,50
CA002202405,2006-07-29,TMAX,210
CA002202405,2005-07-14,TMIN,100
CA002202405,2005-01-09,TMIN,-335
CA002202405,2006-08-13,TMAX,240
CA002202405,2005-02-22,TMAX,-55
CA002202405,2006-08-13,TMIN,80
CA002202405,2005-02-22,TMIN,-245
CA002202405,2006-07-04,TMIN,120
CA002202405,2005-07-22,TMAX,175
CA002202405,2005-04-01,TMIN,-60
CA002202405,2005-04-07,TMAX,125
CA002202405,2005-06-17,TMAX,170
CA002202405,2005-04-07,TMIN,-65
CA002202405,2005-04-09,TMAX,45
CA002202405,2005-05-10,TMIN,-110
CA002202405,2005-07-11,TMAX,280
CA002202405,2005-04-22,TMIN,45
CA002202405,2006-08-01,TMAX,170
CA002202405,2005-04-06,TMIN,-70
CA002202405,2005-07-31,TMIN,80
CA002202405,2005-06-09,TMAX,165
CA002202405,2005-06-09,TMIN,100
CA002202405,2006-06-24,TMIN,100
CA002202405,2005-05-10,TMAX,90
CA002202405,2005-05-01,TMAX,55
CA002202405,2005-04-22,TMAX,140
CA002202405,2005-03-11,TMAX,-125
CA002202405,2005-03-25,TMAX,-10
CA002202405,2005-03-25,TMIN,-215
CA002202405,2006-07-21,TMIN,150
CA002202405,2006-07-21,TMAX,290
CA002202405,2005-02-14,TMAX,-155
CA002202405,2005-05-01,TMIN,-110
CA002202405,2005-02-14,TMIN,-210
CA002202405,2005-01-13,TMAX,-250
CA002202405,2005-03-11,TMIN,-190
CA002202405,2005-01-13,TMIN,-320
CA002202405,2005-02-02,TMAX,-250
CA002202405,2005-02-02,TMIN,-260
CA002202405,2006-06-28,TMIN,120
CA002202405,2005-04-06,TMAX,85
CA002202405,2006-07-22,TMIN,180
CA002202405,2006-07-22,TMAX,290
CA002202405,2005-07-11,TMIN,110
CA002202405,2006-07-30,TMAX,230
CA002202405,2005-07-20,TMIN,85
CA002202405,2006-07-30,TMIN,60
CA002202405,2005-03-22,TMIN,-165
CA002202405,2005-04-11,TMAX,110
CA002202405,2005-04-11,TMIN,-55
CA002202405,2005-07-20,TMAX,140
CA002202405,2005-07-10,TMIN,80
CA002202405,2005-02-15,TMAX,-100
CA002202405,2005-02-15,TMIN,-310
CA002202405,2005-01-09,TMAX,-160
CA002202405,2005-03-22,TMAX,-80
CA002202405,2005-06-07,TMAX,290
CA002202405,2005-04-29,TMAX,5
CA002202405,2005-07-31,TMAX,220
CA002202405,2005-07-28,TMAX,225
CA002202405,2005-07-28,TMIN,120
CA002202405,2005-06-18,TMIN,30
CA002202405,2005-04-29,TMIN,-100
CA002202405,2006-06-24,TMAX,250
CA002202405,2005-06-18,TMAX,145
CA002202405,2005-02-17,TMAX,-65
CA002202405,2005-02-17,TMIN,-290
CA002202405,2005-06-07,TMIN,30
CA002202405,2005-03-30,TMAX,75
CA002202405,2006-06-22,TMIN,50
CA002202405,2005-01-12,TMIN,-400
CA002202405,2005-01-16,TMIN,-400
CA002202405,2005-06-05,TMIN,70
CA002202405,2005-02-01,TMIN,-220
CA002202405,2005-05-18,TMIN,0
CA002202405,2005-05-05,TMIN,20
CA002202405,2005-02-01,TMAX,-190
CA002202405,2005-03-24,TMIN,-250
CA002202405,2005-01-16,TMAX,-210
CA002202405,2005-04-30,TMIN,-80
CA002202405,2005-03-24,TMAX,15
CA002202405,2005-02-03,TMIN,-350
CA002202405,2005-02-03,TMAX,-290
CA002202405,2005-04-30,TMAX,-15
CA002202405,2005-04-26,TMIN,-25
CA002202405,2005-04-26,TMAX,20
CA002202405,2005-02-27,TMIN,-210
CA002202405,2005-03-08,TMIN,-240
CA002202405,2005-07-05,TMIN,105
CA002202405,2005-05-03,TMIN,-45
CA002202405,2005-03-12,TMAX,-95
CA002202405,2005-05-03,TMAX,125
CA002202405,2005-03-31,TMAX,65
CA002202405,2005-03-31,TMIN,-100
CA002202405,2005-05-15,TMAX,255
CA002202405,2005-03-29,TMAX,10
CA002202405,2006-07-20,TMIN,100
CA002202405,2005-07-05,TMAX,195
CA002202405,2005-04-28,TMAX,-10
CA002202405,2005-06-25,TMAX,190
CA002202405,2005-02-05,TMAX,-240
CA002202405,2005-07-21,TMIN,50
CA002202405,2005-07-21,TMAX,120
CA002202405,2005-05-20,TMAX,160
CA002202405,2005-01-22,TMAX,-120
CA002202405,2006-06-29,TMAX,160
CA002202405,2005-05-20,TMIN,50
CA002202405,2006-06-29,TMIN,140
CA002202405,2005-03-27,TMIN,-180
CA002202405,2005-07-07,TMAX,135
CA002202405,2005-07-07,TMIN,120
CA002202405,2005-06-05,TMAX,155
CA002202405,2005-03-13,TMIN,-240
CA002202405,2005-03-13,TMAX,40
CA002202405,2005-07-26,TMIN,70
CA002202405,2005-01-08,TMAX,-220
CA002202405,2005-07-26,TMAX,170
CA002202405,2005-01-08,TMIN,-275
CA002202405,2006-07-20,TMAX,290
CA002202405,2005-05-15,TMIN,70
CA002202405,2005-05-18,TMAX,155
CA002202405,2005-05-05,TMAX,130
CA002202405,2005-06-22,TMAX,120
CA002202405,2005-02-16,TMAX,-160
CA002202405,2005-02-16,TMIN,-310
CA002202405,2005-04-27,TMAX,0
CA002202405,2005-04-02,TMAX,-20
CA002202405,2005-05-14,TMAX,240
CA002202405,2006-08-21,TMAX,270
CA002202405,2006-08-21,TMIN,70
CA002202405,2005-03-08,TMAX,-10
CA002202405,2005-04-15,TMIN,-35
CA002202405,2005-04-04,TMIN,-100
CA002202405,2005-04-04,TMAX,20
CA002202405,2005-04-02,TMIN,-30
CA002202405,2006-07-23,TMIN,120
CA002202405,2006-07-23,TMAX,280
CA002202405,2005-03-14,TMIN,-245
CA002202405,2005-03-14,TMAX,-120
CA002202405,2006-08-08,TMIN,90
CA002202405,2006-08-09,TMAX,260
CA002202405,2006-08-09,TMIN,150
CA002202405,2006-08-08,TMAX,260
CA002202405,2005-07-14,TMAX,250
CA002202405,2005-05-14,TMIN,10
CA002202405,2005-05-23,TMIN,-20
CA002202405,2005-05-23,TMAX,30
CA002202405,2005-01-12,TMAX,-230
CA002202405,2005-06-22,TMIN,80
CA002202405,2005-01-20,TMIN,-290
CA002202405,2005-07-24,TMIN,75
CA002202405,2006-07-25,TMIN,120
CA002202405,2006-07-08,TMAX,240
CA002202405,2005-06-11,TMIN,5
CA002202405,2005-03-29,TMIN,-60
CA002202405,2005-01-14,TMIN,-330
CA002202405,2006-07-09,TMAX,170
CA002202405,2005-06-11,TMAX,150
CA002202405,2005-01-14,TMAX,-250
CA002202405,2005-04-20,TMIN,0
CA002202405,2006-07-09,TMIN,90
CA002202405,2005-04-20,TMAX,130
CA002202405,2006-07-01,TMIN,110
CA002202405,2006-06-22,TMAX,250
CA002202405,2006-07-08,TMIN,70
CA002202405,2005-07-30,TMIN,90
CA002202405,2005-07-19,TMAX,205
CA002202405,2006-07-01,TMAX,200
CA002202405,2005-07-30,TMAX,240
CA002202405,2005-07-24,TMAX,180
CA002202405,2005-04-15,TMAX,50
CA002202405,2005-02-27,TMAX,-30
CA002202405,2006-06-21,TMAX,180
CA002202405,2005-01-20,TMAX,-255
CA002202405,2006-06-21,TMIN,50
CA002202405,2006-07-25,TMAX,170
CA002202405,2005-07-19,TMIN,80
CA002202405,2006-08-12,TMAX,230
CA002202405,2005-04-27,TMIN,-65
CA002202405,2006-07-18,TMAX,230
CA002202405,2005-04-19,TMIN,-30
CA002202405,2005-02-24,TMAX,-80
CA002202405,2005-02-24,TMIN,-160
CA002202405,2005-05-02,TMIN,-60
CA002202405,2005-07-27,TMAX,210
CA002202405,2005-07-27,TMIN,90
CA002202405,2006-06-19,TMAX,270
CA002202405,2005-04-08,TMIN,-20
CA002202405,2005-04-19,TMAX,150
CA002202405,2005-04-08,TMAX,95
CA002202405,2005-06-01,TMIN,10
CA002202405,2005-01-06,TMIN,-110
CA002202405,2006-07-18,TMIN,100
CA002202405,2005-01-06,TMAX,-75
CA002202405,2005-01-24,TMIN,-160
CA002202405,2005-05-02,TMAX,150
CA002202405,2006-08-17,TMAX,240
CA002202405,2006-08-17,TMIN,80
CA002202405,2005-06-01,TMAX,130
CA002202405,2005-01-24,TMAX,-145
CA002202405,2005-05-28,TMIN,50
CA002202405,2005-02-06,TMIN,-430
CA002202405,2005-04-23,TMAX,155
CA002202405,2005-05-17,TMIN,-10
CA002202405,2005-05-17,TMAX,70
CA002202405,2005-01-21,TMAX,-130
CA002202405,2005-01-21,TMIN,-385
CA002202405,2005-07-18,TMIN,110
CA002202405,2005-07-18,TMAX,185
CA002202405,2006-08-15,TMIN,110
CA002202405,2005-05-28,TMAX,250
CA002202405,2006-08-15,TMAX,190
CA002202405,2005-01-31,TMIN,-215
CA002202405,2005-01-31,TMAX,-150
CA002202405,2005-04-21,TMAX,210
CA002202405,2005-04-13,TMAX,30
CA002202405,2005-04-13,TMIN,-5
CA002202405,2005-01-27,TMIN,-195
CA002202405,2005-01-27,TMAX,-190
CA002202405,2005-02-06,TMAX,-185
CA002202405,2005-04-21,TMIN,-15
CA002202405,2006-08-18,TMIN,90
CA002202405,2006-08-18,TMAX,240
CA002202405,2005-06-08,TMIN,160
CA002202405,2005-07-16,TMAX,220
CA002202405,2006-07-05,TMAX,190
CA002202405,2005-01-29,TMIN,-325
CA002202405,2005-04-10,TMIN,-25
CA002202405,2005-01-29,TMAX,-170
CA002202405,2005-04-10,TMAX,90
CA002202405,2006-07-05,TMIN,120
CA002202405,2005-05-16,TMAX,90
CA002202405,2005-01-19,TMIN,-260
CA002202405,2005-07-16,TMIN,145
CA002202405,2005-01-18,TMAX,-240
CA002202405,2005-01-18,TMIN,-255
CA002202405,2005-03-04,TMAX,-135
CA002202405,2005-03-04,TMIN,-205
CA002202405,2005-05-13,TMAX,155
CA002202405,2005-05-13,TMIN,-60
CA002202405,2005-04-03,TMIN,-110
CA002202405,2005-04-03,TMAX,20
CA002202405,2005-05-16,TMIN,20
CA002202405,2006-07-16,TMAX,280
CA002202405,2006-07-16,TMIN,120
CA002202405,2005-01-19,TMAX,-215
CA002202405,2005-06-08,TMAX,255
CA002202405,2005-05-24,TMAX,60
CA002202405,2005-05-24,TMIN,-15
CA002202405,2005-05-26,TMIN,-10
CA002202405,2005-05-26,TMAX,160
CA002202405,2006-08-20,TMAX,240
CA002202405,2006-08-20,TMIN,70
CA002202405,2005-07-06,TMIN,110
CA002202405,2005-07-06,TMAX,220
CA002202405,2005-03-17,TMAX,-20
CA002202405,2005-03-17,TMIN,-295
CA002202405,2006-06-26,TMAX,300
CA002202405,2006-08-03,TMAX,210
CA002202405,2005-02-19,TMAX,-120
CA002202405,2006-06-26,TMIN,130
CA002202405,2005-02-19,TMIN,-200
CA002202405,2006-08-03,TMIN,80
CA002202405,2006-06-20,TMAX,210
CA002202405,2006-06-20,TMIN,160
CA002202405,2005-06-16,TMIN,70
CA002202405,2005-03-28,TMAX,70
CA002202405,2005-06-16,TMAX,100
CA002202405,2006-08-02,TMAX,200
CA002202405,2005-02-21,TMAX,-130
CA002202405,2005-04-14,TMIN,-50
CA002202405,2005-03-18,TMIN,-200
CA002202405,2005-03-18,TMAX,-120
CA002202405,2005-02-21,TMIN,-260
CA002202405,2005-07-29,TMAX,245
CA002202405,2005-07-23,TMIN,50
CA002202405,2005-07-23,TMAX,170
CA002202405,2005-04-14,TMAX,100
CA002202405,2005-07-29,TMIN,105
CA002202405,2006-08-04,TMAX,240
CA002202405,2005-04-12,TMAX,50
CA002202405,2005-04-12,TMIN,-30
CA002202405,2005-05-07,TMIN,-5
CA002202405,2005-05-07,TMAX,160
CA002202405,2005-06-27,TMIN,25
CA002202405,2005-06-27,TMAX,220
CA002202405,2006-07-26,TMIN,60
CA002202405,2006-08-04,TMIN,100
CA002202405,2005-07-03,TMIN,100
CA002202405,2005-07-03,TMAX,265
CA002202405,2006-07-07,TMIN,130
CA002202405,2005-04-05,TMAX,105
CA002202405,2005-04-05,TMIN,-35
CA002202405,2006-07-02,TMIN,80
CA002202405,2006-08-16,TMAX,200
CA002202405,2006-08-16,TMIN,120
CA002202405,2005-07-08,TMIN,110
CA002202405,2005-07-15,TMIN,110
CA002202405,2005-07-08,TMAX,190
CA002202405,2005-07-15,TMAX,240
CA002202405,2006-08-19,TMAX,200
CA002202405,2006-08-19,TMIN,130
CA002202405,2006-07-02,TMAX,260
CA002202405,2005-01-03,TMIN,-405
CA002202405,2005-02-11,TMIN,-215
CA002202405,2005-02-11,TMAX,-100
CA002202405,2006-07-07,TMAX,160
CA002202405,2005-02-09,TMIN,-270
