ID,Date,Element,Data_Value
UKM00003100,2014-05-18,TMAX,112
UKM00003100,2008-07-20,TMAX,148
UKM00003100,2014-09-09,TMIN,97
UKM00003100,2005-03-07,TMIN,37
UKM00003100,2005-07-22,TMAX,161
UKM00003100,2013-03-27,TMIN,-32
UKM00003100,2011-08-13,TMAX,171
UKM00003100,2006-03-25,TMIN,52
UKM00003100,2011-11-11,TMAX,130
UKM00003100,2006-11-18,TMAX,70
UKM00003100,2005-07-30,TMAX,169
UKM00003100,2009-12-24,TMAX,51
UKM00003100,2006-01-24,TMAX,94
UKM00003100,2015-02-27,TMIN,18
UKM00003100,2015-02-27,TMAX,73
UKM00003100,2013-11-05,TMIN,22
UKM00003100,2012-02-17,TMIN,55
UKM00003100,2011-11-11,TMIN,107
UKM00003100,2013-09-16,TMAX,122
UKM00003100,2015-09-19,TMIN,83
UKM00003100,2013-03-27,TMAX,63
UKM00003100,2010-02-23,TMAX,51
UKM00003100,2005-08-18,TMAX,171
UKM00003100,2008-08-25,TMIN,0
UKM00003100,2014-04-28,TMAX,140
UKM00003100,2006-08-17,TMIN,97
UKM00003100,2009-07-07,TMAX,163
UKM00003100,2005-03-19,TMIN,71
UKM00003100,2013-03-17,TMIN,25
UKM00003100,2009-10-25,TMIN,0
UKM00003100,2006-03-13,TMIN,30
UKM00003100,2009-10-25,TMAX,130
UKM00003100,2007-04-19,TMAX,107
UKM00003100,2010-04-30,TMAX,121
UKM00003100,2010-02-23,TMIN,-26
UKM00003100,2013-07-16,TMAX,181
UKM00003100,2010-04-30,TMIN,50
UKM00003100,2011-04-28,TMAX,125
UKM00003100,2006-08-17,TMAX,171
UKM00003100,2005-12-02,TMAX,84
UKM00003100,2015-06-06,TMAX,124
UKM00003100,2012-07-30,TMAX,157
UKM00003100,2015-06-06,TMIN,80
UKM00003100,2009-04-22,TMIN,0
UKM00003100,2008-10-25,TMAX,142
UKM00003100,2014-07-08,TMAX,164
UKM00003100,2012-06-30,TMIN,110
UKM00003100,2011-02-11,TMIN,49
UKM00003100,2012-06-30,TMAX,132
UKM00003100,2013-07-16,TMIN,140
UKM00003100,2008-02-09,TMIN,0
UKM00003100,2013-01-25,TMIN,49
UKM00003100,2015-10-05,TMIN,107
UKM00003100,2008-02-22,TMIN,0
UKM00003100,2014-06-30,TMIN,78
UKM00003100,2014-08-06,TMAX,184
UKM00003100,2006-07-17,TMAX,176
UKM00003100,2005-07-30,TMIN,119
UKM00003100,2008-08-25,TMAX,160
UKM00003100,2014-06-30,TMAX,162
UKM00003100,2005-09-09,TMAX,151
UKM00003100,2005-03-23,TMIN,86
UKM00003100,2006-04-09,TMAX,60
UKM00003100,2006-09-25,TMAX,167
UKM00003100,2013-04-13,TMIN,14
UKM00003100,2012-09-21,TMAX,126
UKM00003100,2015-04-09,TMIN,56
UKM00003100,2015-08-20,TMIN,116
UKM00003100,2006-05-14,TMIN,33
UKM00003100,2007-10-22,TMIN,0
UKM00003100,2005-05-19,TMIN,82
UKM00003100,2008-02-09,TMAX,109
UKM00003100,2007-10-13,TMIN,0
UKM00003100,2015-08-20,TMAX,163
UKM00003100,2005-05-19,TMAX,127
UKM00003100,2015-04-09,TMAX,118
UKM00003100,2014-07-24,TMAX,244
UKM00003100,2013-04-13,TMAX,96
UKM00003100,2007-05-04,TMIN,0
UKM00003100,2013-03-17,TMAX,73
UKM00003100,2005-03-23,TMAX,121
UKM00003100,2014-07-21,TMAX,178
UKM00003100,2013-06-10,TMIN,115
UKM00003100,2006-05-22,TMAX,97
UKM00003100,2014-05-26,TMAX,142
UKM00003100,2013-10-31,TMIN,67
UKM00003100,2010-05-23,TMIN,99
UKM00003100,2012-01-17,TMIN,68
UKM00003100,2007-06-20,TMIN,0
UKM00003100,2005-06-02,TMIN,103
UKM00003100,2014-02-07,TMIN,28
UKM00003100,2012-04-01,TMAX,102
UKM00003100,2013-07-12,TMIN,115
UKM00003100,2008-05-24,TMAX,145
UKM00003100,2008-04-25,TMIN,-65
UKM00003100,2009-02-05,TMIN,0
UKM00003100,2006-07-01,TMAX,162
UKM00003100,2007-05-25,TMIN,-28
UKM00003100,2008-06-29,TMAX,156
UKM00003100,2007-02-11,TMIN,0
UKM00003100,2013-12-09,TMAX,113
UKM00003100,2007-09-07,TMIN,0
UKM00003100,2010-07-19,TMAX,184
UKM00003100,2006-07-14,TMAX,157
UKM00003100,2012-04-04,TMAX,75
UKM00003100,2009-02-05,TMAX,44
UKM00003100,2008-05-14,TMAX,153
UKM00003100,2007-09-15,TMIN,0
UKM00003100,2011-05-31,TMIN,65
UKM00003100,2012-06-04,TMAX,126
UKM00003100,2012-03-01,TMAX,102
UKM00003100,2007-05-25,TMAX,123
UKM00003100,2010-07-19,TMIN,125
UKM00003100,2010-05-23,TMAX,181
UKM00003100,2015-11-02,TMIN,110
UKM00003100,2006-07-08,TMIN,103
UKM00003100,2015-09-19,TMAX,150
UKM00003100,2007-02-11,TMAX,64
UKM00003100,2009-10-21,TMIN,-30
UKM00003100,2007-08-01,TMAX,170
UKM00003100,2009-10-12,TMAX,131
UKM00003100,2010-12-22,TMAX,18
UKM00003100,2009-10-12,TMIN,-1
UKM00003100,2013-04-03,TMIN,-13
UKM00003100,2011-12-14,TMAX,72
UKM00003100,2013-03-18,TMAX,86
UKM00003100,2006-08-31,TMIN,121
UKM00003100,2009-01-18,TMIN,0
UKM00003100,2011-08-06,TMAX,162
UKM00003100,2007-04-13,TMAX,135
UKM00003100,2011-12-08,TMIN,34
UKM00003100,2015-06-29,TMIN,115
UKM00003100,2006-08-31,TMAX,177
UKM00003100,2007-04-13,TMIN,0
UKM00003100,2013-10-30,TMIN,51
UKM00003100,2015-06-29,TMAX,152
UKM00003100,2010-03-16,TMIN,56
UKM00003100,2013-08-25,TMIN,79
UKM00003100,2005-10-19,TMIN,22
UKM00003100,2014-04-07,TMAX,106
UKM00003100,2008-02-22,TMAX,94
UKM00003100,2013-10-30,TMAX,110
UKM00003100,2007-10-13,TMAX,146
UKM00003100,2006-07-14,TMIN,74
UKM00003100,2007-05-04,TMAX,136
UKM00003100,2010-07-27,TMAX,163
UKM00003100,2015-08-12,TMAX,150
UKM00003100,2006-10-12,TMAX,150
UKM00003100,2011-11-13,TMIN,96
UKM00003100,2007-04-04,TMIN,0
UKM00003100,2010-10-08,TMIN,119
UKM00003100,2012-09-26,TMAX,135
UKM00003100,2014-05-26,TMIN,100
UKM00003100,2010-07-27,TMIN,117
UKM00003100,2007-12-10,TMAX,80
UKM00003100,2012-08-17,TMAX,185
UKM00003100,2013-06-13,TMIN,67
UKM00003100,2006-09-25,TMIN,122
UKM00003100,2009-09-24,TMIN,0
UKM00003100,2007-01-05,TMAX,96
UKM00003100,2015-10-16,TMAX,141
UKM00003100,2008-05-20,TMAX,134
UKM00003100,2013-06-13,TMAX,142
UKM00003100,2008-05-20,TMIN,0
UKM00003100,2006-08-30,TMIN,88
UKM00003100,2010-07-29,TMAX,160
UKM00003100,2011-09-29,TMAX,154
UKM00003100,2012-05-27,TMIN,101
UKM00003100,2007-05-27,TMAX,118
UKM00003100,2010-06-13,TMIN,99
UKM00003100,2012-05-27,TMAX,217
UKM00003100,2013-08-17,TMAX,174
UKM00003100,2012-08-01,TMAX,165
UKM00003100,2010-10-08,TMAX,175
UKM00003100,2006-10-12,TMIN,67
UKM00003100,2014-11-05,TMIN,28
UKM00003100,2008-01-15,TMIN,0
UKM00003100,2012-06-04,TMIN,39
UKM00003100,2009-09-02,TMIN,0
UKM00003100,2009-01-17,TMIN,0
UKM00003100,2007-08-05,TMAX,152
UKM00003100,2008-01-15,TMAX,70
UKM00003100,2012-05-12,TMAX,126
UKM00003100,2009-09-24,TMAX,141
UKM00003100,2011-09-06,TMAX,148
UKM00003100,2008-05-14,TMIN,0
UKM00003100,2011-09-06,TMIN,118
UKM00003100,2013-06-10,TMAX,163
UKM00003100,2014-10-24,TMIN,82
UKM00003100,2008-07-29,TMAX,211
UKM00003100,2009-06-13,TMIN,0
UKM00003100,2006-07-01,TMIN,123
UKM00003100,2006-08-12,TMIN,120
UKM00003100,2014-01-20,TMAX,81
UKM00003100,2006-05-17,TMIN,80
UKM00003100,2006-08-12,TMAX,158
UKM00003100,2006-05-17,TMAX,135
UKM00003100,2007-06-20,TMAX,179
UKM00003100,2008-07-06,TMAX,178
UKM00003100,2008-07-06,TMIN,0
UKM00003100,2009-01-22,TMIN,0
UKM00003100,2015-04-26,TMAX,78
UKM00003100,2007-04-04,TMAX,100
UKM00003100,2015-06-16,TMIN,97
UKM00003100,2012-08-09,TMAX,167
UKM00003100,2007-10-08,TMIN,0
UKM00003100,2007-03-02,TMIN,0
UKM00003100,2007-03-02,TMAX,80
UKM00003100,2007-09-09,TMIN,0
UKM00003100,2006-08-13,TMIN,119
UKM00003100,2006-08-13,TMAX,156
UKM00003100,2014-12-09,TMAX,113
UKM00003100,2009-12-29,TMIN,-1
UKM00003100,2012-05-31,TMAX,142
UKM00003100,2012-06-05,TMIN,38
UKM00003100,2007-05-22,TMAX,127
UKM00003100,2010-02-14,TMIN,49
UKM00003100,2010-02-14,TMAX,85
UKM00003100,2009-05-07,TMIN,-62
UKM00003100,2011-12-20,TMIN,41
UKM00003100,2007-09-13,TMAX,164
UKM00003100,2007-08-08,TMIN,0
UKM00003100,2010-10-10,TMAX,160
UKM00003100,2010-10-10,TMIN,65
UKM00003100,2009-12-29,TMAX,13
UKM00003100,2014-05-22,TMIN,80
UKM00003100,2006-10-27,TMIN,1
UKM00003100,2015-10-27,TMIN,109
UKM00003100,2008-08-19,TMIN,0
UKM00003100,2009-03-29,TMIN,0
UKM00003100,2006-07-12,TMAX,154
UKM00003100,2008-08-31,TMIN,0
UKM00003100,2015-06-09,TMAX,126
UKM00003100,2009-12-04,TMIN,30
UKM00003100,2005-01-25,TMIN,1
