ID,Date,Element,Data_Value
MXM00076665,2011-08-09,TMIN,130
MXM00076665,2014-04-18,TMAX,318
MXM00076665,2011-08-26,TMIN,135
MXM00076665,2006-12-09,TMIN,74
MXM00076665,2014-08-05,TMIN,145
MXM00076665,2011-07-14,TMIN,152
MXM00076665,2014-08-31,TMAX,308
MXM00076665,2009-11-05,TMAX,240
MXM00076665,2005-11-01,TMAX,256
MXM00076665,2012-12-15,TMAX,287
MXM00076665,2011-07-14,TMAX,264
MXM00076665,2007-03-27,TMAX,285
MXM00076665,2014-02-17,TMAX,297
MXM00076665,2009-03-15,TMAX,311
MXM00076665,2014-08-05,TMAX,276
MXM00076665,2005-07-06,TMAX,275
MXM00076665,2009-07-19,TMIN,152
MXM00076665,2009-03-15,TMIN,90
MXM00076665,2010-05-16,TMIN,148
MXM00076665,2006-07-04,TMAX,280
MXM00076665,2007-02-12,TMAX,271
MXM00076665,2012-09-09,TMIN,146
MXM00076665,2013-08-27,TMAX,238
MXM00076665,2013-08-27,TMIN,142
MXM00076665,2005-11-01,TMIN,88
MXM00076665,2009-08-13,TMIN,137
MXM00076665,2009-11-05,TMIN,65
MXM00076665,2005-05-24,TMAX,325
MXM00076665,2006-08-29,TMAX,270
MXM00076665,2007-03-25,TMIN,113
MXM00076665,2011-12-07,TMAX,284
MXM00076665,2007-07-13,TMIN,130
MXM00076665,2006-08-29,TMIN,135
MXM00076665,2006-12-09,TMAX,218
MXM00076665,2008-10-21,TMAX,273
MXM00076665,2007-07-13,TMAX,260
MXM00076665,2005-05-24,TMIN,125
MXM00076665,2007-01-21,TMAX,246
MXM00076665,2006-09-20,TMIN,152
MXM00076665,2009-05-09,TMAX,357
MXM00076665,2009-05-09,TMIN,154
MXM00076665,2006-09-20,TMAX,255
MXM00076665,2008-10-21,TMIN,100
MXM00076665,2014-08-31,TMIN,138
MXM00076665,2012-02-18,TMIN,116
MXM00076665,2010-12-03,TMIN,50
MXM00076665,2014-04-18,TMIN,120
MXM00076665,2010-02-07,TMAX,272
MXM00076665,2011-08-26,TMAX,281
MXM00076665,2012-07-15,TMIN,141
MXM00076665,2011-08-09,TMAX,278
MXM00076665,2011-12-07,TMIN,65
MXM00076665,2010-12-03,TMAX,266
MXM00076665,2009-08-13,TMAX,300
MXM00076665,2005-07-06,TMIN,150
MXM00076665,2007-01-21,TMIN,82
MXM00076665,2005-10-12,TMIN,121
