ID,Date,Element,Data_Value
TUM00017045,2014-10-26,TMAX,161
TUM00017045,2014-02-25,TMIN,87
TUM00017045,2014-03-25,TMIN,105
TUM00017045,2015-08-17,TMAX,284
TUM00017045,2014-02-02,TMAX,58
TUM00017045,2015-12-14,TMAX,83
TUM00017045,2013-07-30,TMAX,220
TUM00017045,2015-06-06,TMIN,161
TUM00017045,2014-11-24,TMIN,19
TUM00017045,2014-03-08,TMAX,169
TUM00017045,2015-09-22,TMAX,297
TUM00017045,2014-07-25,TMIN,208
TUM00017045,2014-05-12,TMIN,117
TUM00017045,2015-01-27,TMAX,117
TUM00017045,2013-07-31,TMIN,132
TUM00017045,2013-07-31,TMAX,250
TUM00017045,2013-11-04,TMAX,210
TUM00017045,2013-06-27,TMAX,271
TUM00017045,2014-06-01,TMAX,247
TUM00017045,2015-06-06,TMAX,208
TUM00017045,2015-07-09,TMAX,276
TUM00017045,2015-08-30,TMAX,232
TUM00017045,2014-05-21,TMAX,205
TUM00017045,2013-11-01,TMIN,73
TUM00017045,2015-06-17,TMAX,250
TUM00017045,2014-02-28,TMAX,84
TUM00017045,2013-10-11,TMAX,249
TUM00017045,2014-03-01,TMIN,42
TUM00017045,2015-12-20,TMAX,70
TUM00017045,2013-10-11,TMIN,112
TUM00017045,2014-07-19,TMAX,278
TUM00017045,2013-09-11,TMAX,225
TUM00017045,2013-10-08,TMIN,58
TUM00017045,2014-05-29,TMIN,145
TUM00017045,2014-10-04,TMIN,119
TUM00017045,2015-07-31,TMAX,350
TUM00017045,2015-09-16,TMIN,166
TUM00017045,2013-06-10,TMAX,214
TUM00017045,2014-11-21,TMIN,82
TUM00017045,2015-06-17,TMIN,150
TUM00017045,2013-09-25,TMIN,107
TUM00017045,2013-07-30,TMIN,129
TUM00017045,2015-03-10,TMIN,40
TUM00017045,2015-02-22,TMAX,112
TUM00017045,2014-03-03,TMAX,197
TUM00017045,2014-12-05,TMIN,52
TUM00017045,2014-09-29,TMIN,132
TUM00017045,2014-04-21,TMAX,180
TUM00017045,2013-09-04,TMAX,264
TUM00017045,2014-12-05,TMAX,84
TUM00017045,2013-09-20,TMAX,300
TUM00017045,2015-12-27,TMIN,42
TUM00017045,2014-05-12,TMAX,213
TUM00017045,2013-07-08,TMIN,188
